with Neural balance and 2 hidden layers
Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.0001, n_layers=3, no_cuda=False, seed=-1, test_batch_size=1000, train_mode='DFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,0.6461543206022238,0.3245198917070961,90.48
2,0.28483821461989933,0.23455733789878477,92.96
3,0.2109071441701671,0.18134449318549625,94.51
4,0.16783811732221132,0.14553229487945984,95.5
5,0.14070947796328745,0.13907168465696132,95.31
6,0.12005689654594609,0.11076867244069934,96.56
7,0.10107938276141135,0.12510552071368583,96.0
8,0.08863090784914458,0.09253220239529611,97.14
9,0.07714716976842106,0.09442219783657284,97.06
10,0.06773262934884362,0.11548065197332258,96.49
11,0.061608457066335165,0.07923915600754501,97.65
12,0.05529580539337415,0.08616555240327807,97.39
13,0.048022485815727316,0.08117886211328797,97.57
14,0.04346922155234343,0.07447931432722442,97.72
15,0.03890207796263248,0.07157235771492602,97.91
16,0.03394677073060314,0.07067407514526625,97.86
17,0.029648384640780418,0.07195612425401204,97.92
18,0.026510682643956143,0.07763549861621266,97.72
19,0.02411233769309745,0.07066480052067656,98.08
20,0.02001691056519505,0.07152937152635683,98.0
21,0.0188182469084499,0.07290189896107194,98.14
22,0.016511638022858453,0.07063208033099101,97.98
23,0.014193753024169392,0.07277510084210459,98.06
24,0.011683038429166664,0.07105706504850329,98.1
25,0.01120972435289772,0.07532047412529487,98.0
26,0.010341312113786713,0.07266175925992308,98.17
27,0.008354966091760644,0.08673489302419181,97.8
28,0.007993362605124826,0.07760752564395175,98.15
29,0.0060711119245065856,0.08083328470417371,98.11
30,0.005839144967639882,0.09009866258575086,97.79
31,0.00525091980642189,0.08280806010771337,98.13
32,0.003895183656223845,0.0803833711193233,98.14
33,0.004103724181567271,0.08196253569954574,98.06
34,0.0029272936919392655,0.07913068836934248,98.17
35,0.003210839176315602,0.08487484982626858,98.06
36,0.0027319708464354814,0.08375619702053265,98.17
37,0.0018902390090856519,0.08170746311032867,98.25
38,0.002440396133689321,0.08784107740783731,98.17
39,0.00184216688127186,0.09570645042255521,98.03
40,0.0014065385601939979,0.08393504210302559,98.18
41,0.0008888552576763202,0.08649235499845521,98.18
42,0.0013646048396874027,0.08981363608651442,98.12
43,0.0012432112820497927,0.09129369393194903,98.1
44,0.0010137063068325553,0.08953770495646857,98.16
45,0.0007695336247539033,0.0900919693015946,98.13
46,0.0004710803595153731,0.09100984781976904,98.14
47,0.0008164541183470437,0.09376085733488487,98.16
48,0.0005585691205963122,0.09108848805675195,98.13
49,0.00032201306567245885,0.09241818482503489,98.23
50,0.0004458786639588167,0.09530153079513387,98.14
51,0.0005734856240703435,0.09250537468063073,98.25
52,0.00028954506408555256,0.09398923978567333,98.17
53,0.0003014138651086687,0.10038428893509575,98.08
54,0.0003076627956282622,0.09578273631433247,98.14
55,0.00023395099989467706,0.09605596744629698,98.17
56,0.00043493634952170197,0.09925722436617133,98.2
57,0.00026228803129325467,0.09833559102752572,98.18
58,0.00016609796292803885,0.09846470107928351,98.17
59,0.0001568668172788795,0.09865825050285257,98.27
60,0.00028925183513088656,0.10229634060035223,98.14
61,0.0001777396542581246,0.09900762463754785,98.17
62,0.00013826953838926118,0.10071457255607844,98.17
63,0.00012758936497636407,0.10159403369703365,98.23
64,0.00012677194110980006,0.10184466180588975,98.21
65,0.0001337877821811283,0.10302237815301116,98.23
66,0.00011826430525090511,0.10239467009126815,98.2
67,0.00011000998926708142,0.10450427916852173,98.23
68,0.00012033543019273913,0.10389434038342417,98.22
69,8.892142759206355e-05,0.10402453413786897,98.19
70,8.815973155751073e-05,0.10492239768605122,98.2
71,8.2415230431778e-05,0.10553517030261338,98.18
72,7.825592572752076e-05,0.10637809416124126,98.19
73,7.291382506568075e-05,0.10727513207298914,98.23
74,7.327337591295379e-05,0.10851867011252037,98.24
75,6.633148320966858e-05,0.10812083003482795,98.17
76,6.80680625226135e-05,0.10896752030439054,98.18
77,6.040046382165748e-05,0.10990175147339123,98.21
78,5.586243332957784e-05,0.1096489529283688,98.19
79,5.475259297534084e-05,0.10949994873807367,98.21
80,5.124157871929615e-05,0.11123742063539983,98.22
81,4.922898160649315e-05,0.11052170949148589,98.19
82,4.742537909144316e-05,0.11104909418147539,98.2
83,4.558676907115073e-05,0.11210922408810903,98.22
84,4.3669863738980273e-05,0.11261341311917525,98.21
85,4.199568755718491e-05,0.11172510242316545,98.17
86,4.120909787676675e-05,0.11251924249653858,98.18
87,3.85137754540495e-05,0.11300029025735184,98.21
88,3.7387941482412125e-05,0.11301391042301397,98.18
89,3.648420567866858e-05,0.11368936696085531,98.2
90,3.544960556769644e-05,0.11369475526125622,98.18
91,3.419165636904954e-05,0.11408847728053856,98.17
92,3.342981836064969e-05,0.11434836909846514,98.19
93,3.225402632525113e-05,0.11483560883739001,98.14
94,3.162009099864646e-05,0.11522104858966253,98.19
95,3.0594833470379416e-05,0.1154525674676347,98.16
96,2.9774707693758904e-05,0.11572913622401977,98.2
97,2.930337408947825e-05,0.11553787335387025,98.17
98,2.8731346438482058e-05,0.11576458018987788,98.18
99,2.776196859039066e-05,0.11646255403356373,98.18
100,2.7213613966513252e-05,0.11574773689476875,98.16
