Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.0001, n_layers=3, no_cuda=False, seed=-1, test_batch_size=1000, train_mode='DFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,0.6506242248009263,0.31995410724264234,90.41
2,0.2872257461822999,0.24335911591792372,92.99
3,0.22286533947581294,0.21015151822642916,93.22
4,0.17819445547876137,0.18038551970889236,94.71
5,0.14766149379328877,0.12905600623177235,95.96
6,0.12705114055305783,0.11504515037748808,96.26
7,0.11063902403142598,0.10892228061884973,96.57
8,0.09721633955500703,0.10488546369033777,96.71
9,0.08562024839337605,0.1031361644906674,96.77
10,0.07514009786534435,0.08777648290496165,97.32
11,0.06999351355735697,0.09262906864287694,97.08
12,0.06093673671740713,0.11305464882586021,96.32
13,0.05488658907747806,0.08034030604472822,97.48
14,0.049672126970581536,0.08333371282491395,97.45
15,0.04559941412267913,0.07821793512602587,97.54
16,0.0398868874022201,0.08861295609324533,97.33
17,0.037553845179529845,0.07734199273967256,97.44
18,0.031877921769089664,0.07505650466909909,97.62
19,0.029685539774286913,0.08499298548307545,97.43
20,0.027142656833873683,0.07264928901488807,97.71
21,0.02379320703309351,0.07758791884965842,97.73
22,0.021871200094262865,0.07425263475288027,97.8
23,0.019344322744347126,0.07070548438122196,97.99
24,0.017542865517155042,0.07653959350060108,97.74
25,0.01567647040553596,0.0826244394476214,97.61
26,0.013579145775873215,0.07899029298631408,97.79
27,0.013383261621466774,0.07792593779909894,97.87
28,0.010551839008956078,0.07801498505477866,97.86
29,0.009759875633315106,0.0829158617178364,97.83
30,0.008862916557582468,0.07773421141650566,97.95
31,0.007994147329238742,0.07973006146003636,97.96
32,0.006359958334679856,0.08214783045087544,97.99
33,0.006021929948687595,0.08157574324608052,97.85
34,0.006011729094613806,0.08197480575956584,97.95
35,0.004760350663946738,0.08293066600675099,97.91
36,0.004423766570372055,0.07990187994153003,97.97
37,0.003838229666591849,0.08131438733534295,97.89
38,0.0032408766959680334,0.0832179219169627,97.96
39,0.00285804518756707,0.08674653671108622,97.83
40,0.0026501499122198657,0.08571075747068749,97.97
41,0.002406706721174328,0.08565414460534759,97.97
42,0.0022954699912183397,0.08421176261993187,98.07
43,0.0019205251758868088,0.08530639382291584,98.06
44,0.0015902528518501819,0.08787144193962061,97.94
45,0.001584661786597544,0.08843880458198328,97.95
46,0.0015144798518696126,0.09148580995791171,97.94
47,0.0011803846857359093,0.09090179524155008,97.94
48,0.0010779939132915578,0.09145137262780674,98.01
49,0.0009472346744103577,0.09041122158325754,97.94
50,0.0010389342951530047,0.09458496006120828,97.97
51,0.0007624046181165181,0.09231532808456822,98.02
52,0.000769523628605869,0.09514440588580161,98.06
53,0.0008257543037254401,0.09295187289859613,98.0
54,0.0007000849622008919,0.10063194995543426,97.86
55,0.0005629616566492391,0.09721885853698013,97.92
56,0.000510644015195255,0.09642865074184089,98.01
57,0.0004663711055849129,0.09583409712953071,98.02
58,0.0005147288382187868,0.09630294200935917,98.01
59,0.00043178952293493843,0.09843950742269515,98.08
60,0.00039245317130058414,0.09765714236521579,98.06
61,0.000384346789363188,0.09913164143611157,98.04
62,0.0003252401534222942,0.09980227840678396,98.06
63,0.00032244421795224107,0.10008767586576227,98.06
64,0.0002929464924359008,0.10043878178122344,98.03
65,0.00029838774168647065,0.10093012308816017,98.02
66,0.00026397121918700855,0.10186074541849723,98.06
67,0.0002506868964036757,0.10189620412411096,98.08
68,0.00024552926553288965,0.10239467269803058,98.06
69,0.00022869437739808142,0.10227531167020165,98.12
70,0.00020857500835023794,0.10429257941085929,97.99
71,0.0002015102385953401,0.104414008002458,98.03
72,0.0001929290255318082,0.10438300013248689,98.03
73,0.00018576658298095826,0.10529677412804118,98.02
74,0.00017454512528292606,0.10571184824716137,98.03
75,0.00016602963163034695,0.10570355945627821,98.05
76,0.00016268624610492086,0.10504327649281081,98.09
77,0.00015415826509052578,0.10660905676574581,98.05
78,0.0001446650287392397,0.10676150855080792,98.07
79,0.00014549876771262056,0.10807349116066775,98.02
80,0.00013505538466302545,0.10743574036346436,98.07
81,0.00013178114377608517,0.10790173402855835,98.09
82,0.00012858582057769197,0.10886102092447139,98.07
83,0.00012398684293781655,0.10877801328815198,98.06
84,0.00011967711384046985,0.10910238309294878,98.06
85,0.00011650211451381453,0.10855105953560924,98.07
86,0.00011251832018569646,0.10911602191442209,98.06
87,0.00010962715928175974,0.10987723208119264,98.05
88,0.00010534700790442374,0.10994982788714791,98.05
89,0.00010322525374545354,0.11015124076664769,98.07
90,0.00010157149432529938,0.11093755895533164,98.07
91,9.94057404699491e-05,0.11061182000841081,98.06
92,9.624703309084128e-05,0.11044265916918847,98.07
93,9.476383091052383e-05,0.11129811893208288,98.06
94,9.341477551412203e-05,0.11105314010927979,98.07
95,9.169247484368427e-05,0.11144024970803547,98.05
96,8.930008867295578e-05,0.11177374621724083,98.05
97,8.850701170543115e-05,0.11191616519163956,98.06
98,8.615307173990811e-05,0.11196723482959031,98.06
99,8.53811631947304e-05,0.11163072594430647,98.08
100,8.310583659173066e-05,0.11261404033669596,98.06
