Namespace(batch_size=64, test_batch_size=1000, epochs=100, lr=0.01, b_lr=0.0001, gamma=0.95, weight_decay=0.0001, feedback_decay=0.0, no_cuda=False, dry_run=False, log_interval=100, train_mode='DFA', log_dir='results/', dataset='MNIST', conv=False, n_layers=2, seed=-1, nb=0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,31.18143438708299,60.014552310773524,78.96
2,67.32206833972606,71.56539011305304,88.84
3,146.38717634042197,195.178748720023,86.85
4,129.34595409100916,85.09057325618282,90.46
5,104.51644819346006,104.11019659564374,90.32
6,83.04663479170486,66.59747667373365,92.88
7,64.51117880560005,72.50769088330833,90.67
8,66.14277673835186,99.1798069522639,90.11
9,82.14175294494943,172.22765043358893,87.56
10,77.17340931377917,74.02439948527297,92.56
11,67.92311367122316,89.27575760586247,91.23
12,76.09852953044884,64.11995506951004,92.6
13,65.11091127168082,55.73314583971261,94.04
14,67.3211496384032,60.87113006859069,93.34
15,60.353071169947576,44.739333121040126,94.81
16,51.43093023095221,41.163394568665915,94.8
17,53.916180806674554,67.76883926740877,92.82
18,43.61589249635653,27.747936398134964,95.73
19,48.066856975645294,36.77111549438185,95.32
20,40.901112992316484,49.66321349022376,92.45
21,34.53976732710046,44.255286432281586,93.48
22,32.79242642033393,29.515455088251905,94.28
23,26.66240030012292,27.396609779962915,94.06
