Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.01, n_layers=7, nb=0, no_cuda=False, seed=42, test_batch_size=1000, train_mode='DFA', weight_decay=1e-05)
Epoch,Training Loss,Test Loss,Test Accuracy
1,1629649282.1548014,9186093983.796179,52.69
2,8665661163.257996,21577819566.471336,69.11
3,27112056336.375267,35274941759.592354,75.1
4,23906854449.1258,19021681331.363056,84.52
5,18543071631.556503,43305414238.57325,74.56
6,15354255781.390192,18963933934.063694,82.86
7,13062966771.99147,19002429009.528664,82.44
8,24658995608.289978,18333071620.89172,88.45
9,26267063208.665245,18721312376.662422,90.77
10,32777941016.01706,45285184975.0828,84.03
11,36569109672.1194,32611611850.191082,89.1
12,31847608012.14499,25390780363.821655,90.59
13,26775276467.58209,37424398649.07006,86.22
14,26080200184.358208,31718831619.261147,89.98
15,29885700558.8742,20957975936.815285,93.14
16,26022957213.20256,27758874650.089172,91.1
17,27822503123.78678,34288554505.78344,90.3
18,26370642068.46908,18754006126.878983,93.4
19,24429101815.812366,29550106976.203823,91.84
20,25938528915.3774,29015836815.490444,92.41
21,22872887012.16205,28708097474.038216,92.07
22,25914768932.025585,20119999820.636944,94.73
23,23531227694.942432,35275886226.751595,91.78
24,21039229045.90192,23845419490.64968,92.81
25,21263328755.99147,27630374364.127388,90.95
26,24101484408.63113,19416395906.445858,94.15
27,21272777564.247334,30678534313.579617,91.44
28,23190538798.942432,24754936968.96815,94.08
29,22849559820.55437,23497154768.713375,94.48
30,23412512540.929638,26563602053.707005,93.28
31,20274619402.916843,15495853988.687899,95.71
32,17644691704.904053,20257672589.85987,94.55
33,18693079026.899788,16983774879.796179,95.06
34,16382984157.066097,17302612581.095543,94.87
35,16315390231.471216,15506001502.573248,95.69
36,15183501298.899786,18013464745.579617,94.57
37,17021843595.735607,21319925760.0,94.74
38,14948755787.872068,14854339355.719746,96.02
39,13729039375.283583,15260089950.573248,95.43
40,12705822187.257996,18265135012.687897,95.03
41,11953889214.498934,15511599717.095541,95.17
42,11612374773.628998,15189773840.305733,95.48
43,10895716452.434969,11920324490.598726,95.89
44,10136801930.643923,17079633098.191082,93.85
45,9702150598.140724,10458061647.898088,96.32
46,9205290230.720682,11139864589.044586,96.14
47,8601074397.61194,10766821206.420382,96.15
48,7965831862.3113,12486198917.707006,95.87
49,7548007177.279318,10716863938.038216,96.09
50,7842381924.434968,15841015977.579618,95.31
51,6710551427.547975,11270995054.87898,95.76
52,6707536640.545842,11796839952.305733,95.5
53,6121866975.795309,9231029006.67516,96.36
54,6174245252.639659,11065070559.388535,95.89
55,5930746235.906183,10587273020.331211,96.38
56,6011870140.315565,14506350996.382166,94.88
57,5764984290.52452,11223298126.267515,94.94
58,5471897591.266524,9339556361.78344,95.99
59,5315260071.027719,9396085231.694267,96.23
60,4943975111.778252,10784098525.757961,95.46
61,4704289942.652452,8616997620.585987,96.05
62,4541299002.405117,8344237779.974523,96.45
63,4375394090.029851,7999487582.573249,96.38
64,4053997227.3944564,9046737887.388535,95.96
65,4101964666.814499,8052650114.44586,96.38
66,3726118147.8208957,7865970140.127389,96.45
67,3704299659.7356076,8214990613.197453,95.72
68,3473451601.8763328,7518515408.713376,96.25
69,3468616601.3816633,7026481425.936306,96.42
70,3303776941.577825,6635556785.732484,96.59
71,3119273617.19403,6203768258.038217,96.75
72,3078644899.752665,6332639636.382166,96.56
73,2850186093.714286,6551149600.6114645,96.43
74,2868993371.15565,7126656880.509554,95.95
75,2758768299.3944564,5763967641.273886,96.82
76,2642734326.720682,6636757696.407643,96.57
77,2506727196.9296374,6260652201.5796175,96.43
78,2453219048.5287848,6461816571.10828,96.45
79,2359465289.6886992,5688094302.573249,96.74
80,2275767935.727079,5863496814.878981,96.54
81,2285083925.2878466,5871092807.745223,96.5
82,2197024418.6609807,6103694133.808917,96.52
83,2155249231.6929636,5359666978.242038,96.74
84,2108233828.434968,6251930017.426751,96.25
85,2067117062.5501065,5184228619.414013,96.8
86,2008495796.1279318,5249556766.980892,96.76
87,1958400807.8464818,5394099806.573249,96.49
88,1901383845.9360342,5142328678.726114,96.83
89,1903024368.1705756,5438630605.4522295,96.59
90,1879925897.5522387,5047254074.700637,96.87
91,1817778429.270789,5185495561.78344,96.72
92,1762471914.1663113,4794047364.076433,96.71
93,1779946851.8891258,4884039510.4203825,96.88
94,1713216335.1471329,4833299775.592357,96.86
95,1693203161.2452025,4998521327.694267,96.65
96,1679914169.586354,4969946588.127389,96.77
97,1604873663.5906184,4798575844.280254,96.86
98,1610633329.5351813,4719654142.369427,96.9
99,1635693434.814499,4714526759.133758,96.67
100,1608966807.7441366,4830473170.343949,96.81
