Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.01, n_layers=7, nb=0, no_cuda=False, seed=512, test_batch_size=1000, train_mode='DFA', weight_decay=0.0001)
Epoch,Training Loss,Test Loss,Test Accuracy
1,13023767476.140646,97195336501.80891,60.37
2,45301502798.055435,17894943183.0828,82.89
3,120608199431.09595,87676054325.80891,81.16
4,407507505178.20044,341620674533.9108,86.71
5,221218936452.0938,198444399492.07645,81.48
6,169491279653.66312,156808564292.48407,87.81
7,360978376455.09595,552112384717.4523,83.64
8,383520324059.9744,397659962974.57324,85.5
9,334321705571.34326,314158703270.3185,87.66
10,352530997999.0789,443401762776.8663,88.11
11,334889370578.14923,287055838397.1465,87.99
12,409618823294.6354,297466402933.40125,88.72
13,344118441901.032,470849374560.2038,85.56
14,282680954137.6546,224687772874.19107,91.43
15,267673145370.20044,423917420752.7134,87.65
16,300649682773.6972,243006783174.92993,90.76
17,205639004343.40298,155520210643.97452,92.15
18,140830079521.84222,185875342720.81528,89.17
19,136050235501.16844,160652165120.0,90.14
20,119068551862.3113,131236457791.59236,90.17
21,105366821741.71428,124896549398.82802,92.46
22,99532320252.72495,114718232341.19745,91.48
23,81474742844.04265,71338943142.31847,94.65
24,72785475221.56076,80917402304.40764,92.67
25,63564671146.30277,59290129088.407646,94.36
26,68430294088.05117,74211939738.90446,93.54
27,68177762605.3049,56110493513.37579,95.07
28,57192050749.13433,66290163242.394905,92.76
29,44575202000.51173,69050488845.04459,92.13
30,45366967778.52452,90735117540.28026,89.82
31,41626185771.66737,68302402292.58599,91.48
32,33703114861.16844,25916547854.67516,96.24
33,29906237252.230278,28841771634.14013,95.56
34,26940624031.38593,20359726934.420383,96.55
35,30477357903.14712,47827133198.675156,92.86
36,24146764858.95096,19380950426.904457,96.68
37,22556649223.095947,22889936648.152866,95.74
38,22474248986.74627,17069120127.184713,96.77
39,19408027682.933903,28598461929.171974,94.9
40,15339826440.187634,20583345680.305733,94.84
41,14464387329.637527,17436782826.802547,95.71
42,12174141575.36887,10132823176.968153,97.03
43,12739661832.733475,14283761859.668789,95.55
44,10869062998.788912,11436821145.273886,96.35
45,9497285647.283583,15878802803.7707,95.0
46,7963355218.968017,8501503465.171974,96.72
47,6722601169.603412,8636446263.439491,96.48
48,7056842175.590618,7772518256.509554,96.66
49,6768844869.867804,10625600048.917198,95.1
50,5103101982.567164,15596629520.305733,93.0
51,5078124819.104478,9782429108.993631,95.34
52,4280938338.7974415,4971452742.11465,97.13
53,3903845889.0916843,5478384659.566879,96.74
54,3386939728.238806,6341938234.700637,96.19
55,3236904907.5991473,9891290979.464968,93.55
56,3122657764.707889,3727273331.7707005,97.26
57,2888088901.3219614,3923948224.4076433,96.98
58,2530273651.172708,4174556323.057325,96.69
59,2114651256.0852878,4702863881.78344,96.1
60,2053365838.6012793,4359399567.490446,96.56
61,1836356378.7462687,4229001920.4076433,95.95
62,1546373735.7100213,3301573077.6050954,96.58
63,1574865747.5138593,3374833559.643312,96.9
64,1271542615.880597,2979886021.299363,96.69
65,1281412735.727079,3505394159.6942677,96.21
66,1105268535.130064,2055206977.22293,97.54
67,922018726.4818764,3997182043.312102,95.85
68,1015528843.1897655,2834133070.267516,96.42
69,858492238.0554371,1871788775.5414014,97.56
70,712030797.5095949,2642162420.585987,96.6
71,674867291.7014925,2321795163.312102,96.79
72,674878540.4179105,2396074218.802548,96.59
73,553258352.989339,2193554099.363057,96.81
74,526380540.7249467,1613942705.732484,97.34
75,467657245.4754797,1939715900.3312101,97.02
76,433121153.36460555,1657771627.6178343,97.1
77,407050453.9701493,1777977644.0254776,97.33
78,389675815.84648186,1251768802.6496816,97.78
79,346694736.7846482,1424257076.178344,97.38
80,310074265.3816631,1938223443.1592357,96.4
81,329752667.70149255,1330565276.5350318,97.43
82,246490952.59701493,1235239903.388535,97.44
83,248636680.18763328,1269479019.6178343,97.17
84,198411602.42217484,1285696570.7006369,97.46
85,195938666.4392324,1055586212.687898,97.58
86,151332396.75906184,1177195487.388535,97.39
87,152798397.95309168,1169876613.7070065,97.42
88,134951230.771855,1242085284.6878982,97.2
89,132740892.92963752,1029935286.6242038,97.38
90,129891788.69083156,989168059.5159236,97.54
91,96734328.08528784,883167518.9808917,97.58
92,109273101.10021321,997624421.0955414,97.6
93,86059938.11513859,853907547.312102,97.7
94,68405649.73987207,898314500.8917197,97.43
95,72700244.6055437,917845533.3503184,97.3
96,85669446.95948827,897194701.4522293,97.35
97,60394092.07675906,840841516.0254776,97.5
98,55670211.95735608,834656503.8471338,97.72
99,43920115.445629,792791000.866242,97.73
100,46811328.13646056,953230172.9426751,97.12
