Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=0, no_cuda=False, seed=-1, test_batch_size=1000, train_mode='DFA', weight_decay=1e-05)
Epoch,Training Loss,Test Loss,Test Accuracy
1,42136.62666179275,196931.59071457008,67.86
2,146021.0020988806,141216.84295382164,82.23
3,293432.0213386194,495889.3365843949,78.82
4,449913.24726812367,742472.204816879,81.78
5,619120.1697761194,500577.9482484076,88.4
6,719814.4400652985,843801.3885350318,86.49
7,735515.5654650853,1558298.851910828,79.86
8,741698.4155450426,792117.7404458598,89.55
9,912783.0942164179,1136440.5402070063,88.46
10,1411669.1985607676,2173843.9044585987,86.56
11,1604803.337153518,1346469.7141719745,90.31
12,1688695.5943496802,2293344.048566879,90.02
13,1869553.917510661,1714756.0796178344,91.1
14,1865272.8219616204,3752150.020700637,84.9
15,2188105.699093817,2784215.6050955416,90.24
16,2033238.5682302772,1894104.101910828,92.0
17,1974183.9629530916,2468012.203821656,90.41
18,1786882.8803304904,1842815.851910828,92.08
19,1746395.7958422175,1583744.2022292993,93.47
20,1540765.368336887,2002205.4092356688,91.88
21,1563466.6036780383,1242065.5987261147,93.93
22,1398346.0581023453,1468788.423566879,93.62
23,1365016.416044776,1322838.703821656,93.74
24,1298254.188965885,1224129.423566879,94.31
25,1212486.6369936033,1372416.847133758,93.89
26,1145578.5831556504,1057069.5127388535,94.73
27,1087783.8406183368,1423131.6146496816,93.96
28,966623.0591684435,1390949.4585987262,92.36
29,910806.6564498934,916091.0621019108,94.86
30,894201.0767590618,830916.0127388535,95.16
31,785010.5700959489,1283961.8885350318,92.78
32,807993.5607675907,1115474.9968152866,93.14
33,752725.58608742,1324672.2579617833,92.56
34,731489.7995735607,975389.49522293,94.52
35,681002.2795842218,857012.0557324841,95.03
36,651596.8272921109,744187.6560509554,95.76
37,618010.4650852878,775281.7006369426,94.91
38,629305.6196695096,1069506.0843949046,94.33
39,546165.6964285715,785526.0445859872,94.96
40,565781.8424840085,761863.4171974523,94.97
41,536928.5501066098,569596.1417197452,96.06
42,488611.8121002132,617785.00477707,95.6
43,450046.11727078893,699280.7356687898,95.35
44,438344.480010661,644862.9649681528,95.05
45,411733.70335820894,543565.0621019108,95.9
46,396579.3459488273,631884.8964968153,94.86
47,383456.44296375266,665426.7707006369,94.81
48,352150.37979744136,531858.5780254777,95.5
49,367027.0772921109,613573.8821656051,95.38
50,332637.5141257996,520155.0923566879,95.72
51,316878.0927505331,448689.6337579618,96.12
52,302057.2734541578,458625.178343949,96.02
53,289309.1687100213,478867.7484076433,95.59
54,279295.51625799574,473933.8423566879,95.83
55,268565.05970149254,487088.5493630573,95.63
56,259015.33368869935,479456.36305732484,95.52
57,257162.29877398722,447751.6671974522,95.92
58,247540.0618336887,429044.16560509556,95.92
59,237525.20495735607,387182.03503184713,96.19
60,225294.63885927506,404922.0907643312,95.99
61,223050.77185501065,392652.4665605096,96.23
62,213510.07489339018,433224.9506369427,95.59
63,204008.44669509595,358643.1719745223,96.18
64,195837.28198294243,367815.2675159236,96.01
65,189774.50319829423,377147.74363057327,96.15
66,186903.09861407249,347557.7277070064,96.12
67,182617.18869936035,332465.43152866245,96.37
68,171428.61353944562,342636.9474522293,96.04
69,167875.76226012793,359297.89808917197,95.93
70,163010.30756929636,338831.4570063694,96.07
71,161835.07009594882,342891.1544585987,96.11
72,156023.95202558636,336447.4713375796,96.06
73,153676.79397654583,344162.5398089172,96.03
74,148732.32329424308,354743.2643312102,96.06
75,150030.24680170577,331262.0907643312,96.06
76,142455.2142857143,322695.7229299363,96.13
77,140884.93923240938,321219.9601910828,96.12
78,137823.0962153518,326201.08757961786,96.03
79,136077.30703624734,317877.58439490444,96.13
80,134448.2001599147,330478.7770700637,95.76
81,127789.41417910448,304765.41560509556,96.25
82,129614.30010660981,316906.9219745223,95.92
83,125820.039445629,302898.2229299363,96.17
84,124214.69962686567,311012.5015923567,96.17
85,122468.89872068231,319261.53662420384,95.95
86,120119.27558635395,303384.9824840764,96.17
87,119214.04584221749,312285.775477707,96.1
88,116978.53651385928,306413.67515923566,96.06
89,116694.1066098081,291672.6449044586,96.06
90,114069.49093816632,291130.4347133758,96.16
91,114368.58262260127,304013.1671974522,95.96
92,114324.16151385928,283977.53662420384,96.29
93,110900.42883795309,294601.9108280255,96.13
94,109893.19882729212,282684.08121019107,96.13
95,109413.23187633262,283278.428343949,96.3
96,108349.3408848614,301388.4617834395,96.11
97,106565.69509594883,290444.96496815287,96.2
98,105037.06130063966,282991.0127388535,96.28
99,104249.98400852879,286719.2738853503,96.18
100,104327.70015991472,282853.16560509556,96.25
