Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=1, no_cuda=False, seed=-1, test_batch_size=1000, train_mode='DFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,85707.10938693643,310882.72203423566,68.44
2,18494400.15181903,11400446.191082802,82.54
3,37127544.008528784,27316379.464968152,81.56
4,194634565.228145,454608505.0700637,64.84
5,620849548.0085288,1222530794.8025477,66.99
6,748416360.6652452,402830916.48407644,87.65
7,3042262030.464819,11787780643.872612,47.83
8,5058331030.106609,2317940612.076433,86.59
9,3395689608.4605546,3566188726.6242037,81.83
10,3202733232.8528786,3357386706.343949,81.93
11,5584339036.793177,4994008200.968153,82.1
12,4737586280.801705,3641320311.031847,87.63
13,3228017240.4264393,3490833362.343949,86.92
14,2876583243.8720684,2019285918.165605,88.91
15,1986375690.9168444,2319363032.866242,85.8
16,2123938665.347548,2146687889.1210191,88.66
17,2575415040.545842,2756041499.719745,87.0
18,2762978083.479744,2105287843.057325,89.17
19,2150089409.228145,2082759999.5923567,87.98
20,2406594102.584222,2344563940.280255,87.96
21,1871424955.2238805,1585353486.6751592,90.5
22,1407115657.0063965,1117270296.4585986,92.0
23,1107615330.251599,1179174181.5031848,91.18
24,944285523.5138593,877008615.5414013,91.79
25,838997759.4541578,734830983.3375796,92.11
26,747614262.5842217,647112208.3057325,92.4
27,563814407.641791,573777398.2165605,92.02
28,453392384.0,415595200.4076433,92.8
29,394273150.0895522,334080717.4522293,93.39
30,342148576.34115136,365580157.55414015,92.28
31,281399636.60554373,241188916.17834395,94.14
32,249637270.10660982,278758080.4076433,91.88
33,226807652.98081023,256672252.7388535,92.98
34,184613246.08955225,203124579.46496814,93.23
35,180904025.51812366,224589641.37579617,93.2
36,179358685.0660981,170851817.1719745,94.41
37,153992803.3432836,151118476.22929937,94.58
38,146809137.6716418,145668069.91082802,94.25
39,140051997.47547975,135309742.4713376,94.55
40,129613968.10234542,131653618.95541401,94.73
41,118432916.46908316,194490315.82165605,92.59
42,112553536.40938166,126193807.49044587,94.46
43,99405686.4477612,114222269.14649682,94.71
44,94565867.25799574,105422274.03821656,95.04
45,89600572.04264392,94205221.5031847,95.44
46,82042203.15565032,88054986.1910828,95.32
47,75968861.3390192,102255713.8343949,94.45
48,75351948.2814499,89809456.91719745,95.17
49,70321903.07889126,211480171.6178344,90.0
50,71079180.554371,91676058.9044586,94.8
51,62838449.9445629,89651565.24840765,94.95
52,63661014.51599147,75685157.5031847,95.35
53,60758278.00426439,68997550.47133759,95.83
54,58092548.36673774,85059362.24203822,95.11
55,56595032.42643923,74865892.28025478,95.27
56,53405248.409381665,76943920.91719745,94.99
57,49331472.921108745,66966064.91719745,95.7
58,49037702.823027715,75546871.84713376,95.07
59,45344748.34968017,62131376.10191083,95.87
60,44767356.452025585,75769073.32484077,94.92
61,42745076.53731343,63551396.68789809,95.65
62,42344714.37100213,66414800.7133758,95.71
63,39475534.0554371,60498272.20382166,95.6
64,39543342.942430705,56637413.910828024,95.72
65,38046178.524520256,57258975.38853503,95.78
66,36350334.08955224,50570116.07643312,96.07
67,34495439.965884864,53231563.82165605,95.98
68,34506479.078891255,52298523.719745226,95.88
69,33161661.407261014,51827848.968152866,95.84
70,32207160.2217484,49304673.8343949,95.95
71,32383124.469083156,48723211.41401274,96.18
72,30678496.341151386,48258693.70700637,96.02
73,29805054.908315565,47141398.828025475,96.15
74,29896721.46695096,52991426.03821656,95.77
75,28626254.0554371,52092693.19745223,95.52
76,28212208.71641791,45241128.76433121,96.16
77,27317900.82729211,45815977.579617836,96.02
78,26702671.147121534,45225083.92356688,96.05
79,26374668.008528784,45982269.96178344,95.99
80,26001571.752665244,43529509.50318471,96.23
81,25768977.46695096,43113491.56687898,96.19
82,24759820.008528784,44200079.49044586,96.08
83,24621748.12793177,44321328.91719745,96.0
84,24354095.48827292,42084625.93630573,96.17
85,23967719.982942432,43084167.337579615,96.13
86,23846067.036247335,42036882.75159235,96.27
87,23236210.62686567,43592854.01273885,96.0
88,22901159.573560767,43066113.63057325,96.0
89,22634447.96588486,42965905.12101911,95.89
90,22209175.74413646,40584576.81528662,96.18
91,22290776.97228145,42643286.420382164,95.98
92,21722463.52238806,40869157.50318471,96.18
93,21513375.385927506,42937585.32484076,95.98
94,21132421.185512614,41178914.24203822,96.13
95,21483910.82302772,40506113.63057325,96.16
96,21065603.547974415,39841713.73248408,96.23
97,21007349.08315565,41101155.46496815,96.06
98,20724827.701492537,39563237.910828024,96.21
99,20791164.997867804,39835256.662420385,96.11
100,20531846.2771855,42544499.77070063,95.9
