Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=1, no_cuda=False, seed=42, test_batch_size=1000, train_mode='DFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,63260.890731985506,1043645.405254777,48.31
2,45979142.432635926,52139545.42675159,72.73
3,114050996.40085287,51992590.87898089,84.84
4,35085217.89339019,24663110.82802548,86.01
5,17585552.25586354,13771534.47133758,86.14
6,12154477.543710021,10029760.101910828,88.68
7,19480315.974413645,62696586.598726116,70.71
8,579718587.1215352,277474971.7197452,75.93
9,213477465.4498934,221846228.78980893,82.13
10,210563909.52665246,142796630.42038217,86.6
11,144299251.24093816,89656069.70700637,89.74
12,114579844.36673774,106379078.52229299,86.82
13,133177468.86140725,101721863.33757962,88.09
14,97008950.03837954,81744094.5732484,89.29
15,97556613.86780384,74214118.72611465,87.33
16,83901799.57356077,64556586.39490446,90.61
17,82527523.07036248,99286979.6687898,87.51
18,85605196.00852878,71514283.21019109,91.29
19,61290485.76545842,133676190.1656051,80.93
20,61894008.358208954,56262691.05732484,90.97
21,69976956.31556503,85953032.15286624,89.18
22,58700939.59914712,51147265.63057325,91.41
23,52026098.081023455,66311365.299363054,90.0
24,42653644.69083156,38173625.070063695,92.96
25,42605501.68017057,46610863.2866242,91.15
26,36007094.99360341,38945357.4522293,92.02
27,32500819.513859276,46565960.560509555,89.12
28,32326782.635394458,36450607.2866242,92.96
29,27375925.901918977,29478254.06369427,93.25
30,24438059.121535182,21308921.477707006,94.43
31,23303895.74413646,23190896.50955414,93.43
32,21833031.7782516,23488158.98089172,93.56
33,19375676.452025585,20324241.12101911,94.03
34,19424171.39445629,22991806.777070064,93.12
35,17191713.97867804,16566372.280254778,94.86
36,15682809.859275054,39119148.02547771,88.8
37,15066169.040511727,15362501.299363058,95.1
38,14015152.579957357,17305788.331210192,94.25
39,13386037.765458422,12789305.070063693,95.58
40,11565356.213219617,11488564.993630573,95.54
41,10233244.656716418,11601891.464968152,95.48
42,9992216.97228145,13086393.070063693,94.81
43,10922285.850746268,13869594.9044586,94.34
44,8727706.336886993,10677265.936305733,95.2
45,8357088.47761194,10198596.484076433,95.96
46,7499507.445628998,7793619.159235668,96.29
47,7587739.701492538,9838286.267515924,95.08
48,7211957.628997868,8632840.968152866,95.58
49,6521530.678038379,8126865.121019108,95.96
50,5973279.113006396,9138799.694267515,95.16
51,5776796.793176972,9505765.0955414,95.17
52,5328122.541577825,7714392.866242038,95.45
53,5290775.198294243,12497965.656050956,93.13
54,5285332.332622602,9337842.140127389,95.08
55,4427324.315565032,7771854.267515924,95.56
56,4252661.2196162045,6499877.503184713,96.02
57,4218416.7164179105,8933952.407643313,94.69
58,4443894.584221749,6731002.29299363,95.79
59,4025527.539445629,12558088.152866242,93.3
60,3646047.522399606,9231972.280254778,94.36
61,3932422.277185501,5354802.5477707,96.54
62,3230208.2729211086,5368646.929936306,96.56
63,3387982.8742004265,5871902.165605095,96.15
64,3168275.3773987205,7311677.146496816,95.13
65,3303205.936034115,6060666.29299363,95.87
66,2922170.405117271,6644073.987261146,95.51
67,2800357.936034115,4727403.617834395,96.62
68,2699452.1791044776,4865026.445859873,96.36
69,2678496.4776119404,4658819.261146497,96.66
70,2470271.0447761193,4664622.471337579,96.49
71,2359981.987206823,4749404.127388535,96.59
72,2254653.9530916843,4630420.382165605,96.33
73,2345245.8848614073,5413910.012738854,95.83
74,2253832.0511727077,4229656.458598726,96.67
75,2186174.908323894,4250242.445859873,96.67
76,2064049.262260128,4201200.50955414,96.65
77,2066785.842217484,4639911.133757962,96.32
78,1934633.0746268656,4322362.700636943,96.6
79,1899923.5138708213,4312632.25477707,96.53
80,1825772.3496801706,4199222.624203822,96.6
81,1873910.447761194,4035244.840764331,96.76
82,1789562.9509594883,4146586.0891719745,96.55
83,1768738.2515991472,4193027.261146497,96.52
84,1700527.2153518123,4170449.5286624203,96.61
85,1646107.0191897654,4141287.541401274,96.55
86,1647875.8208955224,4158256.9171974524,96.64
87,1582111.2494784973,3898097.3248407645,96.81
88,1534750.5671641792,3809897.9872611463,96.69
89,1549314.0469083155,3710885.5031847134,96.81
90,1519177.142857143,3802123.414012739,96.59
91,1476492.144989339,3902736.305732484,96.67
92,1432651.7356307684,3949153.8343949043,96.52
93,1428182.7889241262,3793287.3375796177,96.82
94,1413912.289978678,3770812.331210191,96.56
95,1415824.3752665245,3730329.27388535,96.68
96,1403154.012793177,3665762.6496815286,96.64
97,1386422.3113006398,3806049.01910828,96.51
98,1349507.684434968,3616453.299363057,96.63
99,1329214.0895522388,3792051.3630573247,96.61
100,1323353.381663113,3680876.433121019,96.58
