Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=0, no_cuda=False, seed=512, test_batch_size=1000, train_mode='DFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,38399.359970663405,103531.99188893312,71.92
2,361780.2042868803,483357.1732683121,76.82
3,553403.8560101279,595804.9261544585,78.2
4,869415.4361007463,1765297.9000796177,79.61
5,1595730.9844749467,1104868.0047770701,89.34
6,1514863.1000799574,1420647.789012739,87.88
7,1523761.9357675905,3192171.8574840766,84.54
8,2273183.7370735607,2116673.8455414013,89.99
9,2139167.1609808104,2178965.659235669,88.36
10,1853435.2036247335,1536477.0589171974,92.0
11,1724302.7995735607,1393462.4171974522,91.94
12,1643857.330357143,1846663.3805732485,89.72
13,1581215.9968017058,1156976.5175159236,93.38
14,1483064.7404051172,1518009.036624204,90.93
15,1316068.5994136462,1298273.347133758,92.58
16,1294492.9496268656,1425452.6671974522,92.27
17,1230188.223347548,1500934.5636942675,92.14
18,1194449.07782516,1466594.3089171974,91.79
19,1128731.1431236675,1194473.1003184714,92.86
20,999308.8272921109,1228802.627388535,93.01
21,966442.7534648188,1041108.3121019108,94.22
22,944034.8251599147,1027396.2420382166,93.94
23,861496.4117803838,997389.5366242038,94.12
24,820813.5879530917,898854.9378980892,94.24
25,809256.4378997867,1115408.710191083,93.53
26,756221.5021321962,929445.3184713376,94.5
27,643028.2750533049,1141458.5031847134,92.21
28,652954.6910980811,746072.2898089172,94.78
29,592457.3483475479,754826.4203821656,94.89
30,573222.9754797441,624119.8710191083,95.83
31,531828.7049573561,873566.9442675159,94.41
32,504344.973347548,572328.4378980892,95.65
33,460905.0298507463,708752.5445859872,94.44
34,423817.0618336887,555617.1910828026,95.14
35,409125.33928571426,661354.1321656051,94.63
36,382568.7539978678,530301.5270700637,96.0
37,357905.33368869935,619214.3041401274,94.33
38,345839.72254797444,639384.9331210192,94.25
39,327006.93736673775,446629.5015923567,95.81
40,306300.8214285714,795381.50477707,91.95
41,286698.0671641791,448019.0668789809,95.68
42,275437.8779317697,464930.699044586,95.61
43,274343.5093283582,439696.7324840764,95.55
44,246910.2014925373,450844.0127388535,95.15
45,241887.08049040512,538421.4363057325,94.07
46,225731.12819829423,406953.2929936306,96.1
47,213257.78971215352,362080.0780254777,96.08
48,202506.48480810234,400150.19267515925,95.29
49,203750.85607675905,382209.63057324843,95.79
50,198304.37206823027,382919.73089171975,95.21
51,187026.29450959488,348762.50796178344,95.88
52,177577.64765458423,309099.678343949,96.38
53,164051.51226012793,335283.24363057327,95.97
54,165103.91871002133,333643.0939490446,95.67
55,153089.56529850746,338567.7643312102,95.74
56,144496.58475479746,321159.5923566879,95.83
57,138949.38619402985,330573.9601910828,95.4
58,135978.27771855012,287948.43630573247,96.21
59,124003.87046908315,269139.00636942673,96.34
60,126524.92004264392,278339.0493630573,96.17
61,122279.27505330491,269858.31847133755,96.32
62,119131.1039445629,267650.17993630574,95.89
63,110435.43256929638,281413.1066878981,95.98
64,107149.47841151386,259188.2611464968,96.34
65,107783.2025586354,264176.2738853503,95.93
66,102793.03198294243,259588.6560509554,95.98
67,98197.1815031983,251904.07006369426,96.34
68,93658.1617803838,245176.89331210192,96.2
69,94118.8947228145,235745.32324840763,96.36
70,93486.46375266525,231562.1082802548,96.36
71,91541.93496801706,243720.27070063693,96.12
72,96849.40511727078,253454.4219745223,95.98
73,100568.44189765459,250976.0891719745,96.04
74,105325.66924307037,245931.9108280255,96.46
75,103225.40111940299,235683.5127388535,96.48
76,99765.9184434968,238746.73407643312,96.32
77,99680.13113006396,229939.97929936307,96.41
78,97057.91897654584,227547.12579617836,96.43
79,95387.55117270788,227684.99363057324,96.36
80,95059.35074626865,221750.9331210191,96.33
81,94201.83795309169,223608.62261146496,96.36
82,93599.64685501067,222349.9219745223,96.4
83,90525.04237739873,231118.55095541402,96.28
84,92152.82729211087,225889.25318471337,96.02
85,90571.17270788913,218476.81528662422,96.35
86,88629.26892324093,220095.6608280255,96.22
87,90653.46428571429,229153.36305732484,95.99
88,87505.90671641791,217357.83757961783,96.39
89,86260.42350746269,214643.48089171975,96.27
90,86015.96695095948,218874.74203821656,96.28
91,85740.29237739873,214784.16719745222,96.21
92,84897.52078891257,216417.84554140127,96.4
93,84534.45335820895,214859.67356687898,96.23
94,83686.52078891257,210858.54617834394,96.37
95,84093.28171641791,210699.6162420382,96.42
96,82043.75586353945,214486.29936305733,96.23
97,82159.58502132197,211573.5939490446,96.27
98,82148.97841151386,212436.91401273885,96.32
99,81538.7841151386,213089.29777070065,96.22
100,82069.74253731343,205722.79458598726,96.34
