Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=0, no_cuda=False, seed=512, test_batch_size=1000, train_mode='DFA', weight_decay=1e-05)
Epoch,Training Loss,Test Loss,Test Accuracy
1,110186.5580753538,195686.16242038217,77.57
2,584382.528867937,1155395.2691082803,78.69
3,923697.7928438167,956105.5939490446,83.54
4,1216713.9683502133,1252098.1186305732,84.75
5,1462074.250533049,1312990.6297770701,89.17
6,4267801.636993604,3138142.8757961784,90.2
7,3427483.1385927508,4219290.450636943,86.96
8,3123946.278251599,2348259.111464968,89.37
9,3135626.6641791044,2637768.493630573,90.68
10,3232958.5135927508,3110776.7898089173,90.91
11,4366498.631663113,5351517.343949044,89.94
12,5981769.692430704,6873031.74522293,88.74
13,5939112.691897655,5400067.197452229,90.92
14,5848332.272921109,4510268.6751592355,91.69
15,5338151.464818764,4564014.445859873,92.69
16,5049143.178038379,7778437.29299363,87.06
17,4988800.382729211,3209481.0891719745,94.23
18,4735479.200426439,6043490.471337579,89.86
19,4618621.149253732,3586086.3375796177,93.7
20,4413090.056503198,3921803.2675159234,93.64
21,3807393.0053304904,4729753.522292994,92.2
22,3745237.1407249467,3328353.3694267515,93.86
23,3663132.68336887,4078485.738853503,92.22
24,3475580.5980810234,2644939.439490446,95.1
25,3157098.7654584222,3196999.4840764333,94.01
26,3045982.932835821,2961916.0573248407,94.27
27,2676752.024520256,4507926.815286624,90.54
28,2736866.1716417912,2450600.0382165606,94.85
29,2442233.0703624734,2324373.872611465,95.16
30,2304818.423240938,3956134.426751592,92.31
31,2233665.789978678,2411816.1974522294,94.72
32,2140686.5138592753,2252814.5095541403,94.88
33,2019520.3326226012,2415439.407643312,94.97
34,1912717.9968017058,1998488.5732484076,95.22
35,1764992.4402985075,2450589.6496815286,93.93
36,1818231.1641791044,1924761.5732484076,95.25
37,1670112.7430703624,1791503.8917197452,95.22
38,1549142.8614072495,1658047.1910828026,95.48
39,1496135.0692963754,1927578.5477707007,95.11
40,1356299.369936034,2267633.585987261,93.87
41,1271849.3219616204,1508539.6624203823,95.66
42,1279117.2547974414,1894946.4968152866,94.87
43,1211985.0,1905562.7070063695,94.38
44,1157663.7430703624,2194827.439490446,93.67
45,1104680.6663113006,2124701.0573248407,93.21
46,1067526.722814499,1469058.4522292993,95.42
47,968950.7910447761,1175839.7388535033,96.28
48,922183.8891257995,1426244.1847133758,95.2
49,902066.2665245202,1322464.8789808918,95.51
50,859076.4957356077,1465467.3821656052,95.08
51,838178.1162046909,1125636.7770700636,96.04
52,799531.3667377399,1145859.713375796,96.04
53,744074.7953091684,1164870.5159235669,95.71
54,723919.9317697228,1260539.1656050954,95.42
55,708151.7164179104,1171201.7834394905,95.47
56,700291.4189765458,1228618.847133758,95.44
57,665651.0063965885,1179385.1146496816,95.18
58,666654.5575692963,1162111.8152866242,95.23
59,637972.4520255864,1003835.1082802548,95.96
60,599840.144989339,877774.8343949044,96.28
61,603083.6727078891,1012257.3248407643,95.83
62,589643.0117270789,957221.8789808917,95.98
63,554511.3731343284,972117.5286624203,95.94
64,530180.7217484008,954052.9617834395,95.75
65,523327.5298507463,907006.8853503185,95.93
66,514853.7185501066,856407.5477707007,96.27
67,493407.83475479746,936737.8598726115,96.09
68,471562.487206823,870509.4522292993,96.13
69,464693.2515991471,862004.2420382166,96.09
70,454121.2196162047,825435.3630573249,96.14
71,449441.7484008529,803199.5477707007,96.15
72,426822.70149253734,805590.9808917197,95.99
73,415147.54584221746,753150.9363057325,96.21
74,410157.3710021322,807540.8662420382,96.09
75,400121.03731343284,783695.8535031847,96.07
76,397787.64925373136,813903.4840764331,95.79
77,390413.4680170576,741501.8598726115,96.3
78,377157.1950959488,743627.0318471338,96.14
79,372156.1513859275,732608.356687898,96.14
80,368007.15351812367,751385.5541401274,96.19
81,363268.29850746266,746409.847133758,96.33
82,355075.03304904053,736525.7770700637,96.18
83,343270.84754797444,731713.9299363057,96.07
84,348385.026652452,700613.0700636943,96.18
85,345270.30277185503,771634.3757961784,95.92
86,333051.5277185501,692721.25477707,96.35
87,338369.7089552239,716712.7643312102,96.26
88,325301.98507462686,692276.2675159236,96.26
89,324142.13219616207,677693.3694267516,96.16
90,320039.7825159915,685655.5796178344,96.31
91,318326.881663113,695017.6305732484,96.24
92,317260.7132196162,684603.4713375797,96.21
93,309146.83475479746,687590.6242038216,96.18
94,309630.39232409385,673628.5605095541,96.38
95,307093.89552238805,660019.9617834395,96.34
96,305144.81769722817,653828.7070063695,96.27
97,302691.14925373136,653785.1974522293,96.33
98,301979.72388059704,655218.5477707007,96.31
99,296570.69296375266,672914.356687898,96.29
100,296607.13113006396,653504.8535031847,96.32
