Namespace(batch_size=64, test_batch_size=1000, epochs=100, lr=0.01, b_lr=0.0001, gamma=0.95, weight_decay=1e-05, feedback_decay=0.0, no_cuda=False, dry_run=False, log_interval=100, train_mode='DFA', log_dir='results/', dataset='MNIST', conv=False, n_layers=2, seed=168, nb=0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,31.788456216295646,34.395499465571845,83.53
2,50.65792915968498,70.4904254887514,85.03
3,58.227152279190925,77.36513510099641,87.36
4,73.63434773416661,76.9766546358728,91.75
5,69.64461469141615,74.66752930659398,90.13
6,83.27485655504013,82.71440133926974,92.59
7,80.163834869064,95.72843319623713,91.77
8,82.60104944044876,79.67650813281915,93.96
9,85.50424672011881,65.77350381012322,95.43
10,91.41229990245436,146.37925365472296,92.63
11,98.32537140541349,145.9503249856436,92.92
12,93.87475194299675,98.1676747034286,95.82
13,92.31986993966149,107.28481917168683,95.58
14,78.88658937517164,92.64944382382046,95.97
15,80.66700450443764,100.76153976858183,95.59
16,82.27738923341344,86.24015927770336,96.1
17,70.56119079520899,85.67901334693107,96.53
18,63.37329441534622,111.45671018369639,95.09
19,67.11328112991892,78.4165416644637,96.46
20,56.439937466800004,86.69903902187468,95.55
21,55.732386207658585,110.4683482662128,95.3
22,51.97466391882996,70.21771134249866,96.5
23,46.452667479515384,69.57239576206086,96.75
24,45.87224513465471,59.389961127262964,97.28
25,41.97505136821439,71.88662651693745,96.83
26,39.0143825447569,73.11453762783367,96.36
27,35.54861683534987,64.15792392559682,96.9
28,32.979329857411784,60.14168550254433,96.75
29,34.77466700937696,126.26205319204148,94.31
30,29.778041289635354,73.44694934529105,96.44
31,27.486207126507853,73.97414160078498,96.2
32,25.135805251587392,77.05229612514614,96.35
33,26.39621130821713,78.01695611522456,95.75
34,22.58236910442887,59.900802417925206,96.75
35,19.953316403409776,39.17550992586051,97.82
36,17.209839663126345,43.60420752103162,97.75
37,17.88857307895826,54.8406337188012,97.04
38,15.36553786719125,55.22921109710862,96.88
39,15.044466961393633,45.92246100249564,97.26
40,12.91562672310964,44.47398449255118,97.32
41,13.0249947155935,43.22633114727629,97.7
42,11.797895699181673,37.08419024716517,97.86
43,9.615770452130784,46.814734276692576,97.15
44,9.563448923280962,50.84795634761738,96.59
45,8.248574098649756,44.082511598256175,97.31
46,7.99567046999345,46.36236020410137,97.07
47,7.038687016993089,39.524711675704665,97.76
48,5.478618868933951,36.874784318694644,97.45
49,6.0494899388839505,39.59545726713481,97.46
50,5.7484533319949085,34.17180759904633,97.72
51,4.368361347963222,36.93909993914852,97.39
52,4.547684383586254,30.62844036631039,97.91
53,3.8449816086768536,29.8229860439422,97.94
54,3.532933453492891,31.224991075647104,97.73
55,3.4699237616476566,33.98410102717753,97.67
56,2.540032456130145,31.46379810242006,97.74
57,3.257338293251668,25.25630394516477,98.06
58,2.213020288982313,34.15537339050299,97.48
59,3.019159591259214,27.823566951373724,98.03
60,1.9739501971753326,30.49423791774531,97.68
61,1.8445500196450495,28.202843180127964,97.85
62,1.6850615403012486,30.88363101983526,97.75
63,1.6711049379120877,27.408409070057473,98.08
64,1.2091525312155538,27.350723991229845,97.8
65,1.4025784876020784,28.328888657396575,97.89
66,1.2371015220092394,28.17800790890399,97.85
67,1.13057497069882,26.987150738759215,97.83
68,0.783336962090113,25.332727201425346,97.96
69,0.7254013433647342,24.663475299239536,97.99
70,0.8631611743404818,24.409096962754514,97.87
71,0.7581050616577691,25.97525216269993,97.91
72,0.7050685069447469,23.273523716410253,97.92
73,0.38988806688771166,23.81218454584974,97.94
74,0.6146899894935323,24.654489626550372,97.95
75,0.40555141830597585,23.579557262408507,98.03
76,0.38173401271799956,24.915597739872545,97.91
77,0.4390307892439589,20.686161758045955,98.16
78,0.3560541356761859,22.41896274878056,97.88
79,0.23203104453281032,22.998152963437473,97.87
80,0.2746975085383053,22.653403251793733,98.0
81,0.2654104197951916,22.14745310234681,97.99
82,0.17368112356387833,22.134656804261372,97.89
83,0.196325028848713,21.891358770394497,98.04
84,0.21788730644088752,21.245699809551194,97.92
85,0.13955246213423797,21.5884680392125,97.94
86,0.11055652457172731,21.151506138253648,98.11
87,0.14807395272233434,23.135439903113493,97.72
88,0.12103582894811078,20.786500713785472,98.03
89,0.09206175646019563,20.67459821698676,97.95
90,0.05832952644159058,20.49953813917318,97.95
91,0.05523536464671369,20.013175622625337,98.03
92,0.07093794814077027,21.335838698586112,97.91
93,0.059512948413788125,19.711629600281928,97.98
94,0.0557415091331664,20.88797422505136,97.81
95,0.008950528473278678,19.915373820408135,98.03
96,0.023298881029264595,20.655837991134785,97.94
97,0.0524989966319683,19.330589413642883,97.9
98,0.0463339289501497,19.32325418891421,97.88
99,0.0331618804523068,19.13311456012166,97.96
100,0.020549137170239037,19.32827315903026,98.07
