,epoch,test_accuracy,train_loss,test_loss
0,0,11.15,"tensor(540.5369, device='cuda:4', grad_fn=<AddBackward0>)",91.67874646186829
1,1,19.92,"tensor(536.7593, device='cuda:4', grad_fn=<AddBackward0>)",91.02609014511108
2,2,28.0,"tensor(532.7665, device='cuda:4', grad_fn=<AddBackward0>)",90.32828617095949
3,3,30.95,"tensor(528.5030, device='cuda:4', grad_fn=<AddBackward0>)",89.58041906356812
4,4,31.74,"tensor(523.8792, device='cuda:4', grad_fn=<AddBackward0>)",88.74529576301575
5,5,32.19,"tensor(518.4359, device='cuda:4', grad_fn=<AddBackward0>)",87.73205161094666
6,6,32.46,"tensor(511.9404, device='cuda:4', grad_fn=<AddBackward0>)",86.53234195709229
7,7,32.68,"tensor(503.9160, device='cuda:4', grad_fn=<AddBackward0>)",84.97396326065063
8,8,32.88,"tensor(493.2676, device='cuda:4', grad_fn=<AddBackward0>)",82.90707588195801
9,9,33.83,"tensor(479.3514, device='cuda:4', grad_fn=<AddBackward0>)",80.2330652475357
10,10,35.7,"tensor(461.5445, device='cuda:4', grad_fn=<AddBackward0>)",76.82926845550537
11,11,45.71,"tensor(439.4124, device='cuda:4', grad_fn=<AddBackward0>)",72.74458515644073
12,12,50.46,"tensor(414.0746, device='cuda:4', grad_fn=<AddBackward0>)",68.22672998905182
13,13,50.46,"tensor(387.0833, device='cuda:4', grad_fn=<AddBackward0>)",63.59993231296539
14,14,54.18,"tensor(360.5302, device='cuda:4', grad_fn=<AddBackward0>)",59.15217614173889
15,15,57.7,"tensor(334.8834, device='cuda:4', grad_fn=<AddBackward0>)",54.87308597564697
16,16,61.14,"tensor(311.1317, device='cuda:4', grad_fn=<AddBackward0>)",50.99733769893646
17,17,63.01,"tensor(289.1786, device='cuda:4', grad_fn=<AddBackward0>)",47.386348724365234
18,18,64.59,"tensor(269.2521, device='cuda:4', grad_fn=<AddBackward0>)",44.18995022773743
19,19,65.93,"tensor(251.7492, device='cuda:4', grad_fn=<AddBackward0>)",41.44100505113602
20,20,67.12,"tensor(236.7015, device='cuda:4', grad_fn=<AddBackward0>)",39.07802653312683
21,21,67.57,"tensor(223.7611, device='cuda:4', grad_fn=<AddBackward0>)",37.08652490377426
22,22,68.79,"tensor(213.0827, device='cuda:4', grad_fn=<AddBackward0>)",35.456992864608765
23,23,69.56,"tensor(204.1355, device='cuda:4', grad_fn=<AddBackward0>)",34.093640863895416
