,epoch,test_accuracy,train_loss,test_loss
0,0,43.2,"tensor(526.9893, device='cuda:2', grad_fn=<AddBackward0>)",85.43054962158203
1,1,49.88,"tensor(468.4824, device='cuda:2', grad_fn=<AddBackward0>)",73.05414617061615
2,2,56.23,"tensor(385.1112, device='cuda:2', grad_fn=<AddBackward0>)",58.243203997612
3,3,65.17,"tensor(303.3083, device='cuda:2', grad_fn=<AddBackward0>)",45.53147578239441
4,4,70.26,"tensor(237.6084, device='cuda:2', grad_fn=<AddBackward0>)",36.77570271492005
5,5,72.33,"tensor(199.4708, device='cuda:2', grad_fn=<AddBackward0>)",32.148663341999054
6,6,73.91,"tensor(178.3971, device='cuda:2', grad_fn=<AddBackward0>)",29.55453124642372
7,7,75.68,"tensor(164.8638, device='cuda:2', grad_fn=<AddBackward0>)",27.56795370578766
8,8,76.57,"tensor(154.9958, device='cuda:2', grad_fn=<AddBackward0>)",26.233252316713333
9,9,77.65,"tensor(147.2695, device='cuda:2', grad_fn=<AddBackward0>)",25.05480521917343
10,10,78.18,"tensor(140.7519, device='cuda:2', grad_fn=<AddBackward0>)",24.16018781065941
11,11,79.06,"tensor(135.3169, device='cuda:2', grad_fn=<AddBackward0>)",23.285422027111053
12,12,79.53,"tensor(130.8370, device='cuda:2', grad_fn=<AddBackward0>)",22.709089666605
13,13,80.06,"tensor(126.8895, device='cuda:2', grad_fn=<AddBackward0>)",22.171916037797928
14,14,80.68,"tensor(123.3972, device='cuda:2', grad_fn=<AddBackward0>)",21.652105271816254
15,15,81.17,"tensor(120.4126, device='cuda:2', grad_fn=<AddBackward0>)",21.209940999746323
16,16,81.02,"tensor(117.8193, device='cuda:2', grad_fn=<AddBackward0>)",20.92776429653168
17,17,81.47,"tensor(115.5630, device='cuda:2', grad_fn=<AddBackward0>)",20.547768980264664
18,18,81.94,"tensor(113.6823, device='cuda:2', grad_fn=<AddBackward0>)",20.20430612564087
19,19,81.8,"tensor(111.9649, device='cuda:2', grad_fn=<AddBackward0>)",20.0237355530262
20,20,82.28,"tensor(110.2570, device='cuda:2', grad_fn=<AddBackward0>)",19.754340440034863
21,21,82.47,"tensor(109.0687, device='cuda:2', grad_fn=<AddBackward0>)",19.60914373397827
22,22,82.72,"tensor(107.5791, device='cuda:2', grad_fn=<AddBackward0>)",19.36986419558525
23,23,82.77,"tensor(106.4925, device='cuda:2', grad_fn=<AddBackward0>)",19.240729838609692
24,24,82.7,"tensor(105.2699, device='cuda:2', grad_fn=<AddBackward0>)",19.078065901994705
25,25,82.65,"tensor(104.4448, device='cuda:2', grad_fn=<AddBackward0>)",18.97952574491501
26,26,82.92,"tensor(103.3396, device='cuda:2', grad_fn=<AddBackward0>)",18.867160081863403
27,27,83.3,"tensor(102.4043, device='cuda:2', grad_fn=<AddBackward0>)",18.6125912964344
28,28,83.04,"tensor(101.5094, device='cuda:2', grad_fn=<AddBackward0>)",18.564936995506287
29,29,83.3,"tensor(100.8338, device='cuda:2', grad_fn=<AddBackward0>)",18.41991686820984
30,30,83.4,"tensor(99.9895, device='cuda:2', grad_fn=<AddBackward0>)",18.265990048646927
31,31,83.59,"tensor(99.3169, device='cuda:2', grad_fn=<AddBackward0>)",18.343980878591537
32,32,83.6,"tensor(98.4827, device='cuda:2', grad_fn=<AddBackward0>)",18.110869735479355
33,33,83.8,"tensor(97.8832, device='cuda:2', grad_fn=<AddBackward0>)",18.08515977859497
34,34,83.9,"tensor(97.2487, device='cuda:2', grad_fn=<AddBackward0>)",17.865758895874023
35,35,83.06,"tensor(96.7356, device='cuda:2', grad_fn=<AddBackward0>)",18.349838435649872
36,36,83.82,"tensor(95.9401, device='cuda:2', grad_fn=<AddBackward0>)",17.77637368440628
37,37,83.02,"tensor(95.3344, device='cuda:2', grad_fn=<AddBackward0>)",18.377452701330185
38,38,84.12,"tensor(94.8654, device='cuda:2', grad_fn=<AddBackward0>)",17.607279419898987
39,39,84.27,"tensor(94.0285, device='cuda:2', grad_fn=<AddBackward0>)",17.51583856344223
40,40,84.21,"tensor(93.6046, device='cuda:2', grad_fn=<AddBackward0>)",17.507964998483658
41,41,84.23,"tensor(92.9457, device='cuda:2', grad_fn=<AddBackward0>)",17.373308837413788
42,42,84.22,"tensor(92.3685, device='cuda:2', grad_fn=<AddBackward0>)",17.62351205945015
43,43,84.39,"tensor(91.9654, device='cuda:2', grad_fn=<AddBackward0>)",17.23058757185936
44,44,84.68,"tensor(91.3587, device='cuda:2', grad_fn=<AddBackward0>)",17.059762805700302
45,45,84.48,"tensor(90.9330, device='cuda:2', grad_fn=<AddBackward0>)",17.230824261903763
46,46,84.56,"tensor(90.4049, device='cuda:2', grad_fn=<AddBackward0>)",16.918282091617584
47,47,84.87,"tensor(89.9202, device='cuda:2', grad_fn=<AddBackward0>)",16.861075222492218
48,48,84.81,"tensor(89.4947, device='cuda:2', grad_fn=<AddBackward0>)",16.78856399655342
49,49,84.91,"tensor(88.9885, device='cuda:2', grad_fn=<AddBackward0>)",16.732416227459908
50,50,84.47,"tensor(88.5520, device='cuda:2', grad_fn=<AddBackward0>)",16.81550082564354
51,51,84.92,"tensor(88.0530, device='cuda:2', grad_fn=<AddBackward0>)",16.535316050052643
52,52,84.99,"tensor(87.8110, device='cuda:2', grad_fn=<AddBackward0>)",16.718312203884125
53,53,85.11,"tensor(87.2794, device='cuda:2', grad_fn=<AddBackward0>)",16.420322477817535
54,54,85.03,"tensor(86.7116, device='cuda:2', grad_fn=<AddBackward0>)",16.561126574873924
55,55,85.26,"tensor(86.3066, device='cuda:2', grad_fn=<AddBackward0>)",16.328353598713875
56,56,85.33,"tensor(86.0459, device='cuda:2', grad_fn=<AddBackward0>)",16.309010043740273
57,57,85.25,"tensor(85.5330, device='cuda:2', grad_fn=<AddBackward0>)",16.147675096988678
58,58,85.59,"tensor(85.1325, device='cuda:2', grad_fn=<AddBackward0>)",16.11037202179432
59,59,85.46,"tensor(84.6279, device='cuda:2', grad_fn=<AddBackward0>)",16.180064991116524
60,60,85.63,"tensor(84.3416, device='cuda:2', grad_fn=<AddBackward0>)",16.01407779753208
61,61,85.51,"tensor(83.9643, device='cuda:2', grad_fn=<AddBackward0>)",16.077369168400764
62,62,84.89,"tensor(83.5223, device='cuda:2', grad_fn=<AddBackward0>)",16.404793098568916
63,63,85.76,"tensor(83.2289, device='cuda:2', grad_fn=<AddBackward0>)",15.850101798772812
64,64,85.77,"tensor(82.7900, device='cuda:2', grad_fn=<AddBackward0>)",15.796409726142883
65,65,85.69,"tensor(82.2785, device='cuda:2', grad_fn=<AddBackward0>)",15.806545287370682
66,66,85.88,"tensor(82.0755, device='cuda:2', grad_fn=<AddBackward0>)",15.65977880358696
67,67,86.08,"tensor(81.6887, device='cuda:2', grad_fn=<AddBackward0>)",15.57679921388626
68,68,85.97,"tensor(81.3896, device='cuda:2', grad_fn=<AddBackward0>)",15.660847321152689
69,69,86.12,"tensor(80.9357, device='cuda:2', grad_fn=<AddBackward0>)",15.488896071910858
70,70,85.61,"tensor(80.6849, device='cuda:2', grad_fn=<AddBackward0>)",16.326624512672424
71,71,85.9,"tensor(80.3681, device='cuda:2', grad_fn=<AddBackward0>)",15.950552120804788
72,72,85.47,"tensor(79.9240, device='cuda:2', grad_fn=<AddBackward0>)",15.809105902910233
73,73,86.0,"tensor(79.6531, device='cuda:2', grad_fn=<AddBackward0>)",15.384118884801865
74,74,86.07,"tensor(79.2800, device='cuda:2', grad_fn=<AddBackward0>)",15.697094604372978
75,75,86.17,"tensor(78.8718, device='cuda:2', grad_fn=<AddBackward0>)",15.404415890574455
76,76,86.05,"tensor(78.6242, device='cuda:2', grad_fn=<AddBackward0>)",15.43212467432022
