,epoch,test_accuracy,train_loss,test_loss
0,0,11.14,"tensor(540.6782, device='cuda:0', grad_fn=<AddBackward0>)",91.77457237243652
1,1,19.3,"tensor(537.6474, device='cuda:0', grad_fn=<AddBackward0>)",91.24596166610718
2,2,29.66,"tensor(534.4159, device='cuda:0', grad_fn=<AddBackward0>)",90.68154215812685
3,3,34.87,"tensor(530.9139, device='cuda:0', grad_fn=<AddBackward0>)",90.04733562469482
4,4,36.32,"tensor(526.9838, device='cuda:0', grad_fn=<AddBackward0>)",89.347980260849
5,5,35.54,"tensor(522.5892, device='cuda:0', grad_fn=<AddBackward0>)",88.5496473312378
6,6,33.43,"tensor(517.4340, device='cuda:0', grad_fn=<AddBackward0>)",87.57512021064758
7,7,32.45,"tensor(510.8677, device='cuda:0', grad_fn=<AddBackward0>)",86.31348538398743
8,8,31.52,"tensor(502.4323, device='cuda:0', grad_fn=<AddBackward0>)",84.64785242080688
9,9,29.04,"tensor(490.7875, device='cuda:0', grad_fn=<AddBackward0>)",82.36857581138611
10,10,25.96,"tensor(475.8065, device='cuda:0', grad_fn=<AddBackward0>)",79.5243558883667
11,11,25.2,"tensor(457.7911, device='cuda:0', grad_fn=<AddBackward0>)",76.32995617389679
12,12,26.05,"tensor(438.8814, device='cuda:0', grad_fn=<AddBackward0>)",73.0741935968399
13,13,29.69,"tensor(419.7509, device='cuda:0', grad_fn=<AddBackward0>)",69.79112160205841
14,14,37.08,"tensor(400.4201, device='cuda:0', grad_fn=<AddBackward0>)",66.48118948936462
15,15,45.32,"tensor(380.7537, device='cuda:0', grad_fn=<AddBackward0>)",63.12927448749542
16,16,49.57,"tensor(361.3412, device='cuda:0', grad_fn=<AddBackward0>)",59.85897481441498
17,17,52.74,"tensor(342.1666, device='cuda:0', grad_fn=<AddBackward0>)",56.63146531581879
18,18,55.46,"tensor(323.4667, device='cuda:0', grad_fn=<AddBackward0>)",53.51061236858368
19,19,57.89,"tensor(305.3443, device='cuda:0', grad_fn=<AddBackward0>)",50.51763987541199
20,20,59.19,"tensor(288.1942, device='cuda:0', grad_fn=<AddBackward0>)",47.73283779621124
21,21,61.89,"tensor(272.6146, device='cuda:0', grad_fn=<AddBackward0>)",45.20858347415924
22,22,64.12,"tensor(258.3265, device='cuda:0', grad_fn=<AddBackward0>)",42.943018674850464
23,23,66.34,"tensor(246.1491, device='cuda:0', grad_fn=<AddBackward0>)",41.09249967336655
24,24,68.18,"tensor(236.0216, device='cuda:0', grad_fn=<AddBackward0>)",39.51390826702118
25,25,68.68,"tensor(227.3685, device='cuda:0', grad_fn=<AddBackward0>)",38.19047451019287
26,26,70.45,"tensor(220.0638, device='cuda:0', grad_fn=<AddBackward0>)",37.051530838012695
27,27,70.61,"tensor(213.6647, device='cuda:0', grad_fn=<AddBackward0>)",36.021862506866455
28,28,71.13,"tensor(207.9972, device='cuda:0', grad_fn=<AddBackward0>)",35.11832094192505
29,29,71.52,"tensor(202.9748, device='cuda:0', grad_fn=<AddBackward0>)",34.30392676591873
30,30,72.16,"tensor(198.2122, device='cuda:0', grad_fn=<AddBackward0>)",33.562494814395905
31,31,72.28,"tensor(193.9104, device='cuda:0', grad_fn=<AddBackward0>)",32.89433163404465
32,32,72.54,"tensor(190.0103, device='cuda:0', grad_fn=<AddBackward0>)",32.264474391937256
33,33,72.79,"tensor(186.4612, device='cuda:0', grad_fn=<AddBackward0>)",31.69710105657577
34,34,73.25,"tensor(183.1160, device='cuda:0', grad_fn=<AddBackward0>)",31.1534463763237
35,35,73.25,"tensor(180.0379, device='cuda:0', grad_fn=<AddBackward0>)",30.66255617141724
36,36,73.28,"tensor(177.3047, device='cuda:0', grad_fn=<AddBackward0>)",30.22999691963196
37,37,73.65,"tensor(174.8527, device='cuda:0', grad_fn=<AddBackward0>)",29.83106803894043
38,38,73.76,"tensor(172.5386, device='cuda:0', grad_fn=<AddBackward0>)",29.47436219453812
39,39,73.78,"tensor(170.4045, device='cuda:0', grad_fn=<AddBackward0>)",29.121755570173264
40,40,74.25,"tensor(168.4122, device='cuda:0', grad_fn=<AddBackward0>)",28.862850546836853
41,41,74.24,"tensor(166.6763, device='cuda:0', grad_fn=<AddBackward0>)",28.534738451242447
42,42,74.45,"tensor(164.9285, device='cuda:0', grad_fn=<AddBackward0>)",28.26722371578217
43,43,74.57,"tensor(163.3652, device='cuda:0', grad_fn=<AddBackward0>)",28.0093594789505
44,44,74.76,"tensor(161.9151, device='cuda:0', grad_fn=<AddBackward0>)",27.78553932905197
45,45,75.03,"tensor(160.4866, device='cuda:0', grad_fn=<AddBackward0>)",27.57577446103096
46,46,75.0,"tensor(159.3253, device='cuda:0', grad_fn=<AddBackward0>)",27.37201714515686
47,47,75.22,"tensor(157.9841, device='cuda:0', grad_fn=<AddBackward0>)",27.179776579141617
48,48,75.62,"tensor(156.7430, device='cuda:0', grad_fn=<AddBackward0>)",26.99156817793846
49,49,75.57,"tensor(155.7080, device='cuda:0', grad_fn=<AddBackward0>)",26.8070684671402
50,50,75.85,"tensor(154.5266, device='cuda:0', grad_fn=<AddBackward0>)",26.627362072467804
51,51,75.76,"tensor(153.4751, device='cuda:0', grad_fn=<AddBackward0>)",26.478696763515472
52,52,76.04,"tensor(152.5370, device='cuda:0', grad_fn=<AddBackward0>)",26.3035209774971
53,53,76.0,"tensor(151.6098, device='cuda:0', grad_fn=<AddBackward0>)",26.15393340587616
54,54,76.08,"tensor(150.6853, device='cuda:0', grad_fn=<AddBackward0>)",26.00449115037918
55,55,76.34,"tensor(149.7204, device='cuda:0', grad_fn=<AddBackward0>)",25.885077476501465
56,56,76.59,"tensor(148.8229, device='cuda:0', grad_fn=<AddBackward0>)",25.750567197799683
57,57,76.73,"tensor(148.0630, device='cuda:0', grad_fn=<AddBackward0>)",25.60614049434662
58,58,76.67,"tensor(147.2127, device='cuda:0', grad_fn=<AddBackward0>)",25.487825334072117
59,59,76.92,"tensor(146.4499, device='cuda:0', grad_fn=<AddBackward0>)",25.342273086309437
60,60,77.01,"tensor(145.6848, device='cuda:0', grad_fn=<AddBackward0>)",25.214266657829285
61,61,77.04,"tensor(144.9317, device='cuda:0', grad_fn=<AddBackward0>)",25.12856948375702
62,62,77.32,"tensor(144.2453, device='cuda:0', grad_fn=<AddBackward0>)",25.010324120521545
63,63,77.36,"tensor(143.5794, device='cuda:0', grad_fn=<AddBackward0>)",24.910872757434845
64,64,77.43,"tensor(142.9185, device='cuda:0', grad_fn=<AddBackward0>)",24.804360061883926
65,65,77.52,"tensor(142.1088, device='cuda:0', grad_fn=<AddBackward0>)",24.689363837242126
66,66,77.64,"tensor(141.5982, device='cuda:0', grad_fn=<AddBackward0>)",24.60679456591606
67,67,77.47,"tensor(141.0348, device='cuda:0', grad_fn=<AddBackward0>)",24.495919406414032
68,68,77.62,"tensor(140.4018, device='cuda:0', grad_fn=<AddBackward0>)",24.39380058646202
69,69,77.9,"tensor(139.8303, device='cuda:0', grad_fn=<AddBackward0>)",24.32080516219139
70,70,78.04,"tensor(139.3032, device='cuda:0', grad_fn=<AddBackward0>)",24.235135078430176
71,71,78.01,"tensor(138.7025, device='cuda:0', grad_fn=<AddBackward0>)",24.12951841950417
72,72,78.11,"tensor(138.0493, device='cuda:0', grad_fn=<AddBackward0>)",24.074422001838684
73,73,78.27,"tensor(137.6348, device='cuda:0', grad_fn=<AddBackward0>)",23.9730136692524
74,74,78.21,"tensor(137.0679, device='cuda:0', grad_fn=<AddBackward0>)",23.89289191365242
75,75,78.29,"tensor(136.6156, device='cuda:0', grad_fn=<AddBackward0>)",23.82369965314865
76,76,78.4,"tensor(136.1013, device='cuda:0', grad_fn=<AddBackward0>)",23.747413635253903
77,77,78.48,"tensor(135.5431, device='cuda:0', grad_fn=<AddBackward0>)",23.6740540266037
78,78,78.59,"tensor(135.1357, device='cuda:0', grad_fn=<AddBackward0>)",23.59912171959877
79,79,78.42,"tensor(134.6508, device='cuda:0', grad_fn=<AddBackward0>)",23.55946591496468
80,80,78.59,"tensor(134.2510, device='cuda:0', grad_fn=<AddBackward0>)",23.490146309137344
81,81,78.63,"tensor(133.8585, device='cuda:0', grad_fn=<AddBackward0>)",23.383840918540955
82,82,78.91,"tensor(133.3432, device='cuda:0', grad_fn=<AddBackward0>)",23.33301874995232
83,83,79.08,"tensor(132.9126, device='cuda:0', grad_fn=<AddBackward0>)",23.274351865053177
84,84,79.07,"tensor(132.5324, device='cuda:0', grad_fn=<AddBackward0>)",23.21465140581131
85,85,79.09,"tensor(132.0932, device='cuda:0', grad_fn=<AddBackward0>)",23.13679960370064
86,86,79.11,"tensor(131.6800, device='cuda:0', grad_fn=<AddBackward0>)",23.078227788209915
87,87,79.28,"tensor(131.2842, device='cuda:0', grad_fn=<AddBackward0>)",23.01469177007675
88,88,79.37,"tensor(130.9844, device='cuda:0', grad_fn=<AddBackward0>)",23.00720790028572
89,89,79.37,"tensor(130.6852, device='cuda:0', grad_fn=<AddBackward0>)",22.897423058748245
90,90,79.44,"tensor(130.2405, device='cuda:0', grad_fn=<AddBackward0>)",22.854048550128937
91,91,79.47,"tensor(129.8437, device='cuda:0', grad_fn=<AddBackward0>)",22.7897030711174
92,92,79.43,"tensor(129.4673, device='cuda:0', grad_fn=<AddBackward0>)",22.75065252184868
93,93,79.54,"tensor(129.1641, device='cuda:0', grad_fn=<AddBackward0>)",22.74179607629776
94,94,79.56,"tensor(128.7579, device='cuda:0', grad_fn=<AddBackward0>)",22.64378398656845
95,95,79.58,"tensor(128.4768, device='cuda:0', grad_fn=<AddBackward0>)",22.580469846725464
96,96,79.73,"tensor(128.2358, device='cuda:0', grad_fn=<AddBackward0>)",22.528878331184387
97,97,79.66,"tensor(127.8422, device='cuda:0', grad_fn=<AddBackward0>)",22.47743174433708
98,98,79.82,"tensor(127.5890, device='cuda:0', grad_fn=<AddBackward0>)",22.45508709549904
99,99,79.95,"tensor(127.2290, device='cuda:0', grad_fn=<AddBackward0>)",22.40884730219841
