,epoch,test_accuracy,train_loss,test_loss
0,0,48.69,"tensor(505.5058, device='cuda:4', grad_fn=<AddBackward0>)",80.29250192642212
1,1,59.14,"tensor(435.2455, device='cuda:4', grad_fn=<AddBackward0>)",67.95947408676147
2,2,65.48,"tensor(366.1713, device='cuda:4', grad_fn=<AddBackward0>)",57.289355397224426
3,3,69.07,"tensor(311.1075, device='cuda:4', grad_fn=<AddBackward0>)",49.25037932395935
4,4,70.86,"tensor(270.8146, device='cuda:4', grad_fn=<AddBackward0>)",43.57051730155945
5,5,71.55,"tensor(242.6648, device='cuda:4', grad_fn=<AddBackward0>)",39.60411459207535
6,6,72.22,"tensor(222.5911, device='cuda:4', grad_fn=<AddBackward0>)",36.72736817598343
7,7,72.52,"tensor(207.9042, device='cuda:4', grad_fn=<AddBackward0>)",34.57697582244873
8,8,73.14,"tensor(196.5907, device='cuda:4', grad_fn=<AddBackward0>)",32.91454553604126
9,9,73.75,"tensor(187.7453, device='cuda:4', grad_fn=<AddBackward0>)",31.610633492469788
10,10,74.04,"tensor(180.7066, device='cuda:4', grad_fn=<AddBackward0>)",30.530250132083893
11,11,74.57,"tensor(174.8124, device='cuda:4', grad_fn=<AddBackward0>)",29.63983362913132
12,12,74.97,"tensor(169.8801, device='cuda:4', grad_fn=<AddBackward0>)",28.891384810209274
13,13,75.34,"tensor(165.6975, device='cuda:4', grad_fn=<AddBackward0>)",28.228311359882355
14,14,75.49,"tensor(162.0469, device='cuda:4', grad_fn=<AddBackward0>)",27.65766727924347
15,15,76.01,"tensor(158.6918, device='cuda:4', grad_fn=<AddBackward0>)",27.141446232795715
16,16,76.23,"tensor(155.7769, device='cuda:4', grad_fn=<AddBackward0>)",26.67411270737648
17,17,76.46,"tensor(153.0739, device='cuda:4', grad_fn=<AddBackward0>)",26.256334900856015
18,18,76.58,"tensor(150.6860, device='cuda:4', grad_fn=<AddBackward0>)",25.876890927553177
19,19,77.02,"tensor(148.4159, device='cuda:4', grad_fn=<AddBackward0>)",25.530690908432007
20,20,77.33,"tensor(146.4467, device='cuda:4', grad_fn=<AddBackward0>)",25.21109288930893
21,21,77.52,"tensor(144.5366, device='cuda:4', grad_fn=<AddBackward0>)",24.88504728674889
22,22,77.8,"tensor(142.7603, device='cuda:4', grad_fn=<AddBackward0>)",24.60198026895523
23,23,78.08,"tensor(140.9980, device='cuda:4', grad_fn=<AddBackward0>)",24.3433410525322
24,24,78.29,"tensor(139.4357, device='cuda:4', grad_fn=<AddBackward0>)",24.08171182870865
25,25,78.52,"tensor(137.8432, device='cuda:4', grad_fn=<AddBackward0>)",23.84150469303131
26,26,78.66,"tensor(136.4315, device='cuda:4', grad_fn=<AddBackward0>)",23.613708347082135
27,27,78.95,"tensor(135.0899, device='cuda:4', grad_fn=<AddBackward0>)",23.40466579794884
28,28,79.09,"tensor(133.8306, device='cuda:4', grad_fn=<AddBackward0>)",23.216383516788483
29,29,79.27,"tensor(132.6361, device='cuda:4', grad_fn=<AddBackward0>)",23.016305088996887
30,30,79.39,"tensor(131.5084, device='cuda:4', grad_fn=<AddBackward0>)",22.853657752275467
31,31,79.61,"tensor(130.4015, device='cuda:4', grad_fn=<AddBackward0>)",22.67306232452393
32,32,79.68,"tensor(129.3205, device='cuda:4', grad_fn=<AddBackward0>)",22.500369042158127
33,33,79.93,"tensor(128.4136, device='cuda:4', grad_fn=<AddBackward0>)",22.348565697669983
34,34,79.92,"tensor(127.4448, device='cuda:4', grad_fn=<AddBackward0>)",22.209993451833725
35,35,80.25,"tensor(126.6467, device='cuda:4', grad_fn=<AddBackward0>)",22.06797629594803
36,36,80.21,"tensor(125.6207, device='cuda:4', grad_fn=<AddBackward0>)",21.924675226211548
37,37,80.43,"tensor(124.8304, device='cuda:4', grad_fn=<AddBackward0>)",21.80044838786125
38,38,80.35,"tensor(123.9929, device='cuda:4', grad_fn=<AddBackward0>)",21.71279349923134
39,39,80.56,"tensor(123.3154, device='cuda:4', grad_fn=<AddBackward0>)",21.57758605480194
