,epoch,test_accuracy,train_loss,test_loss
0,0,71.83,"tensor(368.0863, device='cuda:2', grad_fn=<AddBackward0>)",44.35622197389603
1,1,74.63,"tensor(218.6020, device='cuda:2', grad_fn=<AddBackward0>)",32.75821727514267
2,2,76.52,"tensor(176.2092, device='cuda:2', grad_fn=<AddBackward0>)",28.41915401816368
3,3,77.63,"tensor(157.4109, device='cuda:2', grad_fn=<AddBackward0>)",26.1760536134243
4,4,78.59,"tensor(146.3535, device='cuda:2', grad_fn=<AddBackward0>)",24.6719528734684
5,5,79.42,"tensor(138.5844, device='cuda:2', grad_fn=<AddBackward0>)",23.643172085285187
6,6,80.13,"tensor(132.9282, device='cuda:2', grad_fn=<AddBackward0>)",22.853627651929852
7,7,80.29,"tensor(128.4090, device='cuda:2', grad_fn=<AddBackward0>)",22.25919258594513
8,8,80.78,"tensor(124.6497, device='cuda:2', grad_fn=<AddBackward0>)",21.66887909173965
9,9,81.12,"tensor(121.6046, device='cuda:2', grad_fn=<AddBackward0>)",21.266746282577515
10,10,81.68,"tensor(119.0037, device='cuda:2', grad_fn=<AddBackward0>)",20.88418483734131
11,11,81.57,"tensor(116.7932, device='cuda:2', grad_fn=<AddBackward0>)",20.52873116731644
12,12,81.76,"tensor(114.7701, device='cuda:2', grad_fn=<AddBackward0>)",20.31728246808052
13,13,82.12,"tensor(113.1275, device='cuda:2', grad_fn=<AddBackward0>)",20.03199416399002
14,14,82.17,"tensor(111.4054, device='cuda:2', grad_fn=<AddBackward0>)",19.79378306865692
15,15,82.27,"tensor(109.9727, device='cuda:2', grad_fn=<AddBackward0>)",19.591713845729828
16,16,82.54,"tensor(108.7670, device='cuda:2', grad_fn=<AddBackward0>)",19.40536469221115
17,17,82.87,"tensor(107.5414, device='cuda:2', grad_fn=<AddBackward0>)",19.241053700447083
18,18,82.93,"tensor(106.2946, device='cuda:2', grad_fn=<AddBackward0>)",19.08454743027687
19,19,83.09,"tensor(105.3825, device='cuda:2', grad_fn=<AddBackward0>)",18.92530390620232
20,20,83.12,"tensor(104.4877, device='cuda:2', grad_fn=<AddBackward0>)",18.87663426995277
21,21,83.27,"tensor(103.5778, device='cuda:2', grad_fn=<AddBackward0>)",18.657686471939087
22,22,83.33,"tensor(102.6880, device='cuda:2', grad_fn=<AddBackward0>)",18.5338890850544
23,23,83.4,"tensor(101.8051, device='cuda:2', grad_fn=<AddBackward0>)",18.40238326787949
24,24,83.62,"tensor(101.0417, device='cuda:2', grad_fn=<AddBackward0>)",18.33855965733528
25,25,83.51,"tensor(100.3150, device='cuda:2', grad_fn=<AddBackward0>)",18.194131895899773
26,26,83.29,"tensor(99.6808, device='cuda:2', grad_fn=<AddBackward0>)",18.202219367027283
27,27,83.62,"tensor(98.9021, device='cuda:2', grad_fn=<AddBackward0>)",18.009622663259506
28,28,83.76,"tensor(98.3574, device='cuda:2', grad_fn=<AddBackward0>)",17.913922399282455
29,29,83.93,"tensor(97.7160, device='cuda:2', grad_fn=<AddBackward0>)",17.8102687895298
30,30,83.85,"tensor(97.0314, device='cuda:2', grad_fn=<AddBackward0>)",17.735713869333267
31,31,83.51,"tensor(96.5450, device='cuda:2', grad_fn=<AddBackward0>)",17.85400202870369
32,32,84.05,"tensor(95.9680, device='cuda:2', grad_fn=<AddBackward0>)",17.573553681373596
33,33,83.9,"tensor(95.4421, device='cuda:2', grad_fn=<AddBackward0>)",17.634144231677055
34,34,84.17,"tensor(94.8694, device='cuda:2', grad_fn=<AddBackward0>)",17.489599972963333
35,35,84.12,"tensor(94.4771, device='cuda:2', grad_fn=<AddBackward0>)",17.379920691251755
36,36,84.11,"tensor(93.9519, device='cuda:2', grad_fn=<AddBackward0>)",17.32509481906891
37,37,84.29,"tensor(93.5260, device='cuda:2', grad_fn=<AddBackward0>)",17.271727055311203
38,38,84.38,"tensor(93.0349, device='cuda:2', grad_fn=<AddBackward0>)",17.15119081735611
39,39,84.56,"tensor(92.5574, device='cuda:2', grad_fn=<AddBackward0>)",17.126431316137314
40,40,84.44,"tensor(92.0646, device='cuda:2', grad_fn=<AddBackward0>)",17.076206982135773
