,epoch,test_accuracy,train_loss,test_loss
0,0,53.18,"tensor(512.1193, device='cuda:0', grad_fn=<AddBackward0>)",82.22885131835938
1,1,62.42,"tensor(449.2150, device='cuda:0', grad_fn=<AddBackward0>)",70.53309607505798
2,2,66.32,"tensor(378.9041, device='cuda:0', grad_fn=<AddBackward0>)",59.07199954986572
3,3,67.91,"tensor(318.5737, device='cuda:0', grad_fn=<AddBackward0>)",50.27241730690002
4,4,69.6,"tensor(274.9679, device='cuda:0', grad_fn=<AddBackward0>)",44.184714674949646
5,5,70.66,"tensor(244.9687, device='cuda:0', grad_fn=<AddBackward0>)",39.95497077703476
6,6,71.66,"tensor(223.7106, device='cuda:0', grad_fn=<AddBackward0>)",36.88206046819687
7,7,72.91,"tensor(207.9150, device='cuda:0', grad_fn=<AddBackward0>)",34.58594620227814
8,8,73.48,"tensor(195.9660, device='cuda:0', grad_fn=<AddBackward0>)",32.831884145736694
9,9,74.05,"tensor(186.7675, device='cuda:0', grad_fn=<AddBackward0>)",31.470896124839783
10,10,74.67,"tensor(179.4203, device='cuda:0', grad_fn=<AddBackward0>)",30.362268567085263
11,11,75.09,"tensor(173.3933, device='cuda:0', grad_fn=<AddBackward0>)",29.46200895309448
12,12,75.42,"tensor(168.3883, device='cuda:0', grad_fn=<AddBackward0>)",28.69375205039978
13,13,75.79,"tensor(164.2478, device='cuda:0', grad_fn=<AddBackward0>)",28.042065978050232
14,14,76.16,"tensor(160.5562, device='cuda:0', grad_fn=<AddBackward0>)",27.46279686689377
15,15,76.46,"tensor(157.1741, device='cuda:0', grad_fn=<AddBackward0>)",26.96200767159462
16,16,76.68,"tensor(154.3133, device='cuda:0', grad_fn=<AddBackward0>)",26.49429413676262
17,17,77.04,"tensor(151.6498, device='cuda:0', grad_fn=<AddBackward0>)",26.080399930477142
18,18,77.26,"tensor(149.2430, device='cuda:0', grad_fn=<AddBackward0>)",25.70652338862419
19,19,77.5,"tensor(147.0287, device='cuda:0', grad_fn=<AddBackward0>)",25.35892128944397
20,20,77.79,"tensor(144.9894, device='cuda:0', grad_fn=<AddBackward0>)",25.04843983054161
21,21,77.96,"tensor(143.0413, device='cuda:0', grad_fn=<AddBackward0>)",24.747382670640945
22,22,78.38,"tensor(141.3340, device='cuda:0', grad_fn=<AddBackward0>)",24.47839695215225
23,23,78.47,"tensor(139.7032, device='cuda:0', grad_fn=<AddBackward0>)",24.2152898311615
24,24,78.73,"tensor(138.0794, device='cuda:0', grad_fn=<AddBackward0>)",23.97982722520828
25,25,78.8,"tensor(136.7504, device='cuda:0', grad_fn=<AddBackward0>)",23.75379914045334
26,26,79.02,"tensor(135.2679, device='cuda:0', grad_fn=<AddBackward0>)",23.537501364946365
27,27,79.31,"tensor(133.9744, device='cuda:0', grad_fn=<AddBackward0>)",23.33493009209633
28,28,79.42,"tensor(132.6484, device='cuda:0', grad_fn=<AddBackward0>)",23.1391980946064
29,29,79.47,"tensor(131.5616, device='cuda:0', grad_fn=<AddBackward0>)",22.970288455486298
30,30,79.76,"tensor(130.3982, device='cuda:0', grad_fn=<AddBackward0>)",22.810415655374527
31,31,79.8,"tensor(129.3922, device='cuda:0', grad_fn=<AddBackward0>)",22.6359760761261
32,32,79.85,"tensor(128.2952, device='cuda:0', grad_fn=<AddBackward0>)",22.478432089090347
33,33,79.95,"tensor(127.3968, device='cuda:0', grad_fn=<AddBackward0>)",22.32486119866371
34,34,80.06,"tensor(126.4245, device='cuda:0', grad_fn=<AddBackward0>)",22.193169862031937
35,35,80.26,"tensor(125.5307, device='cuda:0', grad_fn=<AddBackward0>)",22.051393568515778
36,36,80.25,"tensor(124.7457, device='cuda:0', grad_fn=<AddBackward0>)",21.932488292455677
37,37,80.32,"tensor(123.7882, device='cuda:0', grad_fn=<AddBackward0>)",21.79907470941544
38,38,80.52,"tensor(123.0573, device='cuda:0', grad_fn=<AddBackward0>)",21.68480935692787
39,39,80.6,"tensor(122.3495, device='cuda:0', grad_fn=<AddBackward0>)",21.577592134475708
40,40,80.66,"tensor(121.5743, device='cuda:0', grad_fn=<AddBackward0>)",21.47112363576889
41,41,80.73,"tensor(120.8259, device='cuda:0', grad_fn=<AddBackward0>)",21.3682342171669
42,42,80.82,"tensor(120.2083, device='cuda:0', grad_fn=<AddBackward0>)",21.25756251811981
43,43,80.95,"tensor(119.6199, device='cuda:0', grad_fn=<AddBackward0>)",21.15849795937538
44,44,81.13,"tensor(118.9420, device='cuda:0', grad_fn=<AddBackward0>)",21.073711097240448
45,45,81.06,"tensor(118.3203, device='cuda:0', grad_fn=<AddBackward0>)",20.9799542427063
46,46,81.13,"tensor(117.8088, device='cuda:0', grad_fn=<AddBackward0>)",20.8916808962822
47,47,81.27,"tensor(117.2764, device='cuda:0', grad_fn=<AddBackward0>)",20.809021830558777
48,48,81.42,"tensor(116.7386, device='cuda:0', grad_fn=<AddBackward0>)",20.733802050352097
49,49,81.39,"tensor(116.1672, device='cuda:0', grad_fn=<AddBackward0>)",20.657786637544632
50,50,81.46,"tensor(115.6039, device='cuda:0', grad_fn=<AddBackward0>)",20.59519535303116
51,51,81.61,"tensor(115.0903, device='cuda:0', grad_fn=<AddBackward0>)",20.51144567131996
52,52,81.54,"tensor(114.6682, device='cuda:0', grad_fn=<AddBackward0>)",20.4514302611351
53,53,81.63,"tensor(114.2777, device='cuda:0', grad_fn=<AddBackward0>)",20.36410018801689
54,54,81.72,"tensor(113.9030, device='cuda:0', grad_fn=<AddBackward0>)",20.29820391535759
55,55,81.76,"tensor(113.4580, device='cuda:0', grad_fn=<AddBackward0>)",20.247079968452454
56,56,81.83,"tensor(113.0286, device='cuda:0', grad_fn=<AddBackward0>)",20.20147129893303
57,57,81.86,"tensor(112.4501, device='cuda:0', grad_fn=<AddBackward0>)",20.148158013820648
58,58,81.93,"tensor(112.1989, device='cuda:0', grad_fn=<AddBackward0>)",20.0594724714756
