,epoch,test_accuracy,train_loss,test_loss
0,0,35.6,"tensor(510.7337, device='cuda:0', grad_fn=<AddBackward0>)",81.49709558486938
1,1,51.69,"tensor(444.2414, device='cuda:0', grad_fn=<AddBackward0>)",70.00410008430481
2,2,63.94,"tensor(379.5718, device='cuda:0', grad_fn=<AddBackward0>)",59.77543520927429
3,3,68.27,"tensor(325.1029, device='cuda:0', grad_fn=<AddBackward0>)",51.59028697013855
4,4,70.02,"tensor(283.1757, device='cuda:0', grad_fn=<AddBackward0>)",45.50190663337708
5,5,70.97,"tensor(252.2649, device='cuda:0', grad_fn=<AddBackward0>)",41.069059908390045
6,6,71.69,"tensor(229.8999, device='cuda:0', grad_fn=<AddBackward0>)",37.88221716880798
7,7,72.28,"tensor(213.7238, device='cuda:0', grad_fn=<AddBackward0>)",35.53501206636429
8,8,72.51,"tensor(201.5671, device='cuda:0', grad_fn=<AddBackward0>)",33.76399374008179
9,9,73.29,"tensor(192.2441, device='cuda:0', grad_fn=<AddBackward0>)",32.3790842294693
10,10,73.89,"tensor(185.0054, device='cuda:0', grad_fn=<AddBackward0>)",31.27798998355865
11,11,74.29,"tensor(179.0609, device='cuda:0', grad_fn=<AddBackward0>)",30.37493616342545
12,12,74.55,"tensor(174.1285, device='cuda:0', grad_fn=<AddBackward0>)",29.62201392650604
13,13,75.02,"tensor(169.9055, device='cuda:0', grad_fn=<AddBackward0>)",28.97411298751831
14,14,75.22,"tensor(166.3116, device='cuda:0', grad_fn=<AddBackward0>)",28.416329324245453
15,15,75.35,"tensor(163.0902, device='cuda:0', grad_fn=<AddBackward0>)",27.922396659851078
16,16,75.74,"tensor(160.2926, device='cuda:0', grad_fn=<AddBackward0>)",27.4687696993351
17,17,76.05,"tensor(157.6860, device='cuda:0', grad_fn=<AddBackward0>)",27.07763370871544
18,18,76.24,"tensor(155.4500, device='cuda:0', grad_fn=<AddBackward0>)",26.71347203850746
19,19,76.47,"tensor(153.5110, device='cuda:0', grad_fn=<AddBackward0>)",26.404893189668652
20,20,76.7,"tensor(151.6238, device='cuda:0', grad_fn=<AddBackward0>)",26.09664568305016
21,21,76.84,"tensor(149.9252, device='cuda:0', grad_fn=<AddBackward0>)",25.82592859864235
22,22,77.13,"tensor(148.2809, device='cuda:0', grad_fn=<AddBackward0>)",25.582019686698917
23,23,77.16,"tensor(146.7620, device='cuda:0', grad_fn=<AddBackward0>)",25.335751354694366
24,24,77.28,"tensor(145.4355, device='cuda:0', grad_fn=<AddBackward0>)",25.118825644254684
25,25,77.63,"tensor(144.0748, device='cuda:0', grad_fn=<AddBackward0>)",24.918924272060394
26,26,77.8,"tensor(142.8220, device='cuda:0', grad_fn=<AddBackward0>)",24.71455344557762
27,27,78.04,"tensor(141.6837, device='cuda:0', grad_fn=<AddBackward0>)",24.532716661691666
28,28,78.25,"tensor(140.5316, device='cuda:0', grad_fn=<AddBackward0>)",24.363735049963
29,29,78.42,"tensor(139.5116, device='cuda:0', grad_fn=<AddBackward0>)",24.18698751926422
30,30,78.51,"tensor(138.5070, device='cuda:0', grad_fn=<AddBackward0>)",24.0291186273098
31,31,78.62,"tensor(137.5400, device='cuda:0', grad_fn=<AddBackward0>)",23.896649301052094
32,32,78.81,"tensor(136.7037, device='cuda:0', grad_fn=<AddBackward0>)",23.746735870838165
33,33,78.89,"tensor(135.8018, device='cuda:0', grad_fn=<AddBackward0>)",23.61717519164085
34,34,79.01,"tensor(135.0515, device='cuda:0', grad_fn=<AddBackward0>)",23.484573423862457
35,35,79.07,"tensor(134.2527, device='cuda:0', grad_fn=<AddBackward0>)",23.380599290132523
36,36,79.34,"tensor(133.4280, device='cuda:0', grad_fn=<AddBackward0>)",23.24102994799614
