,epoch,test_accuracy,train_loss,test_loss
0,0,67.12,"tensor(409.2651, device='cuda:2', grad_fn=<AddBackward0>)",54.34254014492035
1,1,70.85,"tensor(275.7601, device='cuda:2', grad_fn=<AddBackward0>)",41.94085764884949
2,2,72.5,"tensor(226.1716, device='cuda:2', grad_fn=<AddBackward0>)",36.35687571763992
3,3,73.73,"tensor(201.1100, device='cuda:2', grad_fn=<AddBackward0>)",33.18434005975723
4,4,74.9,"tensor(185.8909, device='cuda:2', grad_fn=<AddBackward0>)",31.099225759506226
5,5,75.49,"tensor(175.3381, device='cuda:2', grad_fn=<AddBackward0>)",29.603645026683807
6,6,76.14,"tensor(167.5288, device='cuda:2', grad_fn=<AddBackward0>)",28.460200130939484
7,7,76.6,"tensor(161.4301, device='cuda:2', grad_fn=<AddBackward0>)",27.553370237350464
8,8,77.15,"tensor(156.4035, device='cuda:2', grad_fn=<AddBackward0>)",26.81254488229752
9,9,77.62,"tensor(152.3775, device='cuda:2', grad_fn=<AddBackward0>)",26.197695910930637
10,10,78.08,"tensor(148.8241, device='cuda:2', grad_fn=<AddBackward0>)",25.65161296725273
11,11,78.38,"tensor(145.9364, device='cuda:2', grad_fn=<AddBackward0>)",25.18346711993217
12,12,78.8,"tensor(143.0966, device='cuda:2', grad_fn=<AddBackward0>)",24.763790398836136
13,13,78.94,"tensor(140.7105, device='cuda:2', grad_fn=<AddBackward0>)",24.393585443496704
14,14,79.17,"tensor(138.6584, device='cuda:2', grad_fn=<AddBackward0>)",24.06659865379333
15,15,79.52,"tensor(136.6423, device='cuda:2', grad_fn=<AddBackward0>)",23.767401695251465
16,16,79.8,"tensor(134.8630, device='cuda:2', grad_fn=<AddBackward0>)",23.496292620897293
17,17,79.95,"tensor(133.3576, device='cuda:2', grad_fn=<AddBackward0>)",23.239127218723297
18,18,80.08,"tensor(131.7823, device='cuda:2', grad_fn=<AddBackward0>)",23.006792664527893
19,19,80.16,"tensor(130.4427, device='cuda:2', grad_fn=<AddBackward0>)",22.799716532230377
20,20,80.27,"tensor(129.1229, device='cuda:2', grad_fn=<AddBackward0>)",22.599046409130096
21,21,80.22,"tensor(127.8978, device='cuda:2', grad_fn=<AddBackward0>)",22.414125204086304
22,22,80.45,"tensor(126.7982, device='cuda:2', grad_fn=<AddBackward0>)",22.24368366599083
23,23,80.52,"tensor(126.0098, device='cuda:2', grad_fn=<AddBackward0>)",22.083237886428837
24,24,80.74,"tensor(124.7986, device='cuda:2', grad_fn=<AddBackward0>)",21.945436477661133
25,25,80.69,"tensor(123.8282, device='cuda:2', grad_fn=<AddBackward0>)",21.79416847229004
26,26,80.74,"tensor(122.9694, device='cuda:2', grad_fn=<AddBackward0>)",21.656429141759872
27,27,80.92,"tensor(122.1020, device='cuda:2', grad_fn=<AddBackward0>)",21.52930447459221
28,28,80.91,"tensor(121.2958, device='cuda:2', grad_fn=<AddBackward0>)",21.41241717338562
29,29,81.06,"tensor(120.5551, device='cuda:2', grad_fn=<AddBackward0>)",21.300815910100937
30,30,81.07,"tensor(119.8547, device='cuda:2', grad_fn=<AddBackward0>)",21.187862247228622
31,31,81.17,"tensor(119.1936, device='cuda:2', grad_fn=<AddBackward0>)",21.07580238580704
32,32,81.28,"tensor(118.4909, device='cuda:2', grad_fn=<AddBackward0>)",20.97948235273361
33,33,81.4,"tensor(117.9703, device='cuda:2', grad_fn=<AddBackward0>)",20.88681384921074
34,34,81.44,"tensor(117.3051, device='cuda:2', grad_fn=<AddBackward0>)",20.800392746925358
35,35,81.6,"tensor(116.7819, device='cuda:2', grad_fn=<AddBackward0>)",20.714691758155823
36,36,81.59,"tensor(116.1541, device='cuda:2', grad_fn=<AddBackward0>)",20.629356414079663
37,37,81.77,"tensor(115.6815, device='cuda:2', grad_fn=<AddBackward0>)",20.542338579893112
38,38,81.76,"tensor(115.2116, device='cuda:2', grad_fn=<AddBackward0>)",20.47763493657112
39,39,81.83,"tensor(114.5657, device='cuda:2', grad_fn=<AddBackward0>)",20.39848792552948
40,40,81.88,"tensor(114.1311, device='cuda:2', grad_fn=<AddBackward0>)",20.319269329309464
41,41,81.77,"tensor(113.7571, device='cuda:2', grad_fn=<AddBackward0>)",20.247049748897552
42,42,82.03,"tensor(113.1760, device='cuda:2', grad_fn=<AddBackward0>)",20.179961144924164
43,43,82.0,"tensor(112.7943, device='cuda:2', grad_fn=<AddBackward0>)",20.108169317245483
44,44,82.0,"tensor(112.3642, device='cuda:2', grad_fn=<AddBackward0>)",20.048981189727783
45,45,82.05,"tensor(111.9075, device='cuda:2', grad_fn=<AddBackward0>)",19.996610909700397
46,46,82.1,"tensor(111.5152, device='cuda:2', grad_fn=<AddBackward0>)",19.9309116601944
47,47,82.16,"tensor(111.1067, device='cuda:2', grad_fn=<AddBackward0>)",19.87153047323227
48,48,82.2,"tensor(110.7384, device='cuda:2', grad_fn=<AddBackward0>)",19.811705887317657
49,49,82.13,"tensor(110.4329, device='cuda:2', grad_fn=<AddBackward0>)",19.77190682291985
50,50,82.24,"tensor(110.0772, device='cuda:2', grad_fn=<AddBackward0>)",19.69829422235489
51,51,82.39,"tensor(109.6659, device='cuda:2', grad_fn=<AddBackward0>)",19.658291161060333
52,52,82.37,"tensor(109.4458, device='cuda:2', grad_fn=<AddBackward0>)",19.59810820221901
53,53,82.35,"tensor(109.0209, device='cuda:2', grad_fn=<AddBackward0>)",19.55063557624817
54,54,82.43,"tensor(108.6958, device='cuda:2', grad_fn=<AddBackward0>)",19.500844031572345
55,55,82.41,"tensor(108.4093, device='cuda:2', grad_fn=<AddBackward0>)",19.45968380570412
56,56,82.55,"tensor(108.0766, device='cuda:2', grad_fn=<AddBackward0>)",19.404047280550003
57,57,82.57,"tensor(107.8424, device='cuda:2', grad_fn=<AddBackward0>)",19.36031910777092
58,58,82.54,"tensor(107.4584, device='cuda:2', grad_fn=<AddBackward0>)",19.31884464621544
59,59,82.77,"tensor(107.1345, device='cuda:2', grad_fn=<AddBackward0>)",19.277089178562164
60,60,82.8,"tensor(106.8866, device='cuda:2', grad_fn=<AddBackward0>)",19.227308452129364
61,61,82.76,"tensor(106.6731, device='cuda:2', grad_fn=<AddBackward0>)",19.189460515975952
62,62,82.74,"tensor(106.3531, device='cuda:2', grad_fn=<AddBackward0>)",19.15149587392807
63,63,82.79,"tensor(106.1412, device='cuda:2', grad_fn=<AddBackward0>)",19.10727274417877
64,64,82.86,"tensor(105.7976, device='cuda:2', grad_fn=<AddBackward0>)",19.06494584679604
65,65,82.85,"tensor(105.5477, device='cuda:2', grad_fn=<AddBackward0>)",19.043865978717804
66,66,82.91,"tensor(105.3365, device='cuda:2', grad_fn=<AddBackward0>)",19.00447648763657
67,67,83.05,"tensor(105.0881, device='cuda:2', grad_fn=<AddBackward0>)",18.949560314416885
68,68,82.98,"tensor(104.8241, device='cuda:2', grad_fn=<AddBackward0>)",18.92918491363525
69,69,83.06,"tensor(104.5317, device='cuda:2', grad_fn=<AddBackward0>)",18.890228748321533
70,70,83.08,"tensor(104.3776, device='cuda:2', grad_fn=<AddBackward0>)",18.851895600557327
71,71,83.15,"tensor(104.0822, device='cuda:2', grad_fn=<AddBackward0>)",18.80968677997589
72,72,83.15,"tensor(103.9149, device='cuda:2', grad_fn=<AddBackward0>)",18.776902198791504
73,73,83.19,"tensor(103.6953, device='cuda:2', grad_fn=<AddBackward0>)",18.7421897649765
74,74,83.21,"tensor(103.4403, device='cuda:2', grad_fn=<AddBackward0>)",18.71376734972
75,75,83.28,"tensor(103.2537, device='cuda:2', grad_fn=<AddBackward0>)",18.673624843358997
76,76,83.19,"tensor(102.9609, device='cuda:2', grad_fn=<AddBackward0>)",18.64441093802452
77,77,83.38,"tensor(102.8280, device='cuda:2', grad_fn=<AddBackward0>)",18.60955971479416
78,78,83.41,"tensor(102.6396, device='cuda:2', grad_fn=<AddBackward0>)",18.580121278762817
79,79,83.39,"tensor(102.3318, device='cuda:2', grad_fn=<AddBackward0>)",18.558094799518585
80,80,83.36,"tensor(102.1914, device='cuda:2', grad_fn=<AddBackward0>)",18.52432531118393
81,81,83.37,"tensor(101.9630, device='cuda:2', grad_fn=<AddBackward0>)",18.48816892504692
82,82,83.4,"tensor(101.7610, device='cuda:2', grad_fn=<AddBackward0>)",18.46708956360817
83,83,83.51,"tensor(101.6001, device='cuda:2', grad_fn=<AddBackward0>)",18.43332776427269
84,84,83.49,"tensor(101.3913, device='cuda:2', grad_fn=<AddBackward0>)",18.401950418949127
85,85,83.6,"tensor(101.3544, device='cuda:2', grad_fn=<AddBackward0>)",18.377187818288803
86,86,83.59,"tensor(100.9903, device='cuda:2', grad_fn=<AddBackward0>)",18.348737448453903
87,87,83.58,"tensor(100.8596, device='cuda:2', grad_fn=<AddBackward0>)",18.32703787088394
88,88,83.55,"tensor(100.6489, device='cuda:2', grad_fn=<AddBackward0>)",18.301041692495343
89,89,83.54,"tensor(100.4117, device='cuda:2', grad_fn=<AddBackward0>)",18.27390030026436
90,90,83.61,"tensor(100.2479, device='cuda:2', grad_fn=<AddBackward0>)",18.2496477663517
91,91,83.65,"tensor(100.0918, device='cuda:2', grad_fn=<AddBackward0>)",18.22361621260643
92,92,83.66,"tensor(99.9832, device='cuda:2', grad_fn=<AddBackward0>)",18.19681394100189
93,93,83.68,"tensor(99.7645, device='cuda:2', grad_fn=<AddBackward0>)",18.165434390306476
94,94,83.72,"tensor(99.6328, device='cuda:2', grad_fn=<AddBackward0>)",18.145303398370743
95,95,83.75,"tensor(99.3590, device='cuda:2', grad_fn=<AddBackward0>)",18.1182573735714
96,96,83.83,"tensor(99.2885, device='cuda:2', grad_fn=<AddBackward0>)",18.094823837280277
97,97,83.75,"tensor(99.1799, device='cuda:2', grad_fn=<AddBackward0>)",18.082119703292847
98,98,83.75,"tensor(98.9521, device='cuda:2', grad_fn=<AddBackward0>)",18.042952597141262
99,99,83.78,"tensor(98.7974, device='cuda:2', grad_fn=<AddBackward0>)",18.021792769432068
