,epoch,test_accuracy,train_loss,test_loss
0,0,67.47,"tensor(399.8188, device='cuda:0', grad_fn=<AddBackward0>)",53.26949334144592
1,1,71.36,"tensor(272.5072, device='cuda:0', grad_fn=<AddBackward0>)",41.5245925784111
2,2,73.17,"tensor(225.3886, device='cuda:0', grad_fn=<AddBackward0>)",36.17966711521149
3,3,74.36,"tensor(201.2661, device='cuda:0', grad_fn=<AddBackward0>)",33.13415992259979
4,4,74.84,"tensor(186.5751, device='cuda:0', grad_fn=<AddBackward0>)",31.13445127010345
5,5,75.65,"tensor(176.6078, device='cuda:0', grad_fn=<AddBackward0>)",29.732144951820374
6,6,76.35,"tensor(169.2403, device='cuda:0', grad_fn=<AddBackward0>)",28.65044116973877
7,7,76.79,"tensor(163.4486, device='cuda:0', grad_fn=<AddBackward0>)",27.789867103099823
8,8,77.19,"tensor(158.7563, device='cuda:0', grad_fn=<AddBackward0>)",27.090822398662567
9,9,77.62,"tensor(154.8159, device='cuda:0', grad_fn=<AddBackward0>)",26.4989353120327
10,10,78.04,"tensor(151.4474, device='cuda:0', grad_fn=<AddBackward0>)",25.9909787774086
11,11,78.27,"tensor(148.6493, device='cuda:0', grad_fn=<AddBackward0>)",25.55057281255722
12,12,78.59,"tensor(145.9921, device='cuda:0', grad_fn=<AddBackward0>)",25.175211936235428
13,13,78.84,"tensor(143.8868, device='cuda:0', grad_fn=<AddBackward0>)",24.81930249929428
14,14,79.14,"tensor(141.8334, device='cuda:0', grad_fn=<AddBackward0>)",24.514228105545044
15,15,79.37,"tensor(140.0587, device='cuda:0', grad_fn=<AddBackward0>)",24.233595430850983
16,16,79.6,"tensor(138.4339, device='cuda:0', grad_fn=<AddBackward0>)",23.987866640090942
17,17,79.83,"tensor(136.9512, device='cuda:0', grad_fn=<AddBackward0>)",23.75311237573624
18,18,80.04,"tensor(135.5999, device='cuda:0', grad_fn=<AddBackward0>)",23.550541162490845
19,19,80.1,"tensor(134.3848, device='cuda:0', grad_fn=<AddBackward0>)",23.357948899269104
20,20,80.16,"tensor(133.1691, device='cuda:0', grad_fn=<AddBackward0>)",23.17883989214897
21,21,80.41,"tensor(132.1642, device='cuda:0', grad_fn=<AddBackward0>)",23.01281249523163
22,22,80.5,"tensor(131.2033, device='cuda:0', grad_fn=<AddBackward0>)",22.86618465185165
23,23,80.54,"tensor(130.1542, device='cuda:0', grad_fn=<AddBackward0>)",22.717343866825104
24,24,80.68,"tensor(129.2720, device='cuda:0', grad_fn=<AddBackward0>)",22.58830776810646
25,25,80.71,"tensor(128.4081, device='cuda:0', grad_fn=<AddBackward0>)",22.46411308646202
26,26,80.85,"tensor(127.7944, device='cuda:0', grad_fn=<AddBackward0>)",22.341888517141346
27,27,80.79,"tensor(126.9115, device='cuda:0', grad_fn=<AddBackward0>)",22.2260200381279
28,28,80.94,"tensor(126.3080, device='cuda:0', grad_fn=<AddBackward0>)",22.115912228822708
29,29,80.92,"tensor(125.5603, device='cuda:0', grad_fn=<AddBackward0>)",22.016300559043884
30,30,81.03,"tensor(124.9857, device='cuda:0', grad_fn=<AddBackward0>)",21.92753502726555
