,epoch,test_accuracy,train_loss,test_loss
0,0,7.86,"tensor(55.3912, device='cuda:4', grad_fn=<AddBackward0>)",92.26232528686523
1,1,8.73,"tensor(55.3671, device='cuda:4', grad_fn=<AddBackward0>)",92.22551274299622
2,2,9.6,"tensor(55.3501, device='cuda:4', grad_fn=<AddBackward0>)",92.18897461891174
3,3,10.85,"tensor(55.3275, device='cuda:4', grad_fn=<AddBackward0>)",92.15327048301695
4,4,11.86,"tensor(55.2992, device='cuda:4', grad_fn=<AddBackward0>)",92.11869502067566
5,5,12.82,"tensor(55.2738, device='cuda:4', grad_fn=<AddBackward0>)",92.08467864990234
6,6,13.43,"tensor(55.2645, device='cuda:4', grad_fn=<AddBackward0>)",92.05080580711363
7,7,13.9,"tensor(55.2435, device='cuda:4', grad_fn=<AddBackward0>)",92.01734733581544
8,8,14.34,"tensor(55.2257, device='cuda:4', grad_fn=<AddBackward0>)",91.98404574394226
9,9,14.65,"tensor(55.2050, device='cuda:4', grad_fn=<AddBackward0>)",91.9511902332306
10,10,14.86,"tensor(55.1851, device='cuda:4', grad_fn=<AddBackward0>)",91.91824054718018
11,11,14.97,"tensor(55.1600, device='cuda:4', grad_fn=<AddBackward0>)",91.885174036026
12,12,15.23,"tensor(55.1409, device='cuda:4', grad_fn=<AddBackward0>)",91.85220527648926
13,13,15.3,"tensor(55.1279, device='cuda:4', grad_fn=<AddBackward0>)",91.8184986114502
14,14,15.35,"tensor(55.1054, device='cuda:4', grad_fn=<AddBackward0>)",91.78433632850648
15,15,15.5,"tensor(55.0807, device='cuda:4', grad_fn=<AddBackward0>)",91.74967455863953
16,16,15.71,"tensor(55.0606, device='cuda:4', grad_fn=<AddBackward0>)",91.71470189094543
17,17,15.85,"tensor(55.0331, device='cuda:4', grad_fn=<AddBackward0>)",91.67891550064088
18,18,16.01,"tensor(55.0149, device='cuda:4', grad_fn=<AddBackward0>)",91.64257526397704
19,19,16.24,"tensor(54.9937, device='cuda:4', grad_fn=<AddBackward0>)",91.60557007789612
20,20,16.49,"tensor(54.9724, device='cuda:4', grad_fn=<AddBackward0>)",91.56798434257507
21,21,16.83,"tensor(54.9505, device='cuda:4', grad_fn=<AddBackward0>)",91.530170917511
22,22,17.28,"tensor(54.9251, device='cuda:4', grad_fn=<AddBackward0>)",91.49143123626708
23,23,17.73,"tensor(54.9056, device='cuda:4', grad_fn=<AddBackward0>)",91.45179653167725
24,24,18.21,"tensor(54.8778, device='cuda:4', grad_fn=<AddBackward0>)",91.4114556312561
25,25,18.9,"tensor(54.8568, device='cuda:4', grad_fn=<AddBackward0>)",91.3707354068756
26,26,19.3,"tensor(54.8381, device='cuda:4', grad_fn=<AddBackward0>)",91.33015823364258
27,27,19.88,"tensor(54.8049, device='cuda:4', grad_fn=<AddBackward0>)",91.2888560295105
28,28,20.51,"tensor(54.7835, device='cuda:4', grad_fn=<AddBackward0>)",91.24678206443788
29,29,20.95,"tensor(54.7617, device='cuda:4', grad_fn=<AddBackward0>)",91.20420360565186
30,30,21.36,"tensor(54.7368, device='cuda:4', grad_fn=<AddBackward0>)",91.16059136390686
31,31,21.58,"tensor(54.7099, device='cuda:4', grad_fn=<AddBackward0>)",91.11532378196716
32,32,21.9,"tensor(54.6732, device='cuda:4', grad_fn=<AddBackward0>)",91.06846618652344
33,33,22.17,"tensor(54.6477, device='cuda:4', grad_fn=<AddBackward0>)",91.02119898796082
34,34,22.52,"tensor(54.6160, device='cuda:4', grad_fn=<AddBackward0>)",90.9749994277954
35,35,22.87,"tensor(54.5919, device='cuda:4', grad_fn=<AddBackward0>)",90.92922973632812
36,36,23.35,"tensor(54.5678, device='cuda:4', grad_fn=<AddBackward0>)",90.8837549686432
37,37,24.01,"tensor(54.5420, device='cuda:4', grad_fn=<AddBackward0>)",90.83782529830933
38,38,24.76,"tensor(54.5152, device='cuda:4', grad_fn=<AddBackward0>)",90.79128360748292
39,39,25.5,"tensor(54.4828, device='cuda:4', grad_fn=<AddBackward0>)",90.74394488334656
40,40,26.19,"tensor(54.4571, device='cuda:4', grad_fn=<AddBackward0>)",90.69538950920104
41,41,26.74,"tensor(54.4333, device='cuda:4', grad_fn=<AddBackward0>)",90.64617133140564
42,42,27.29,"tensor(54.3939, device='cuda:4', grad_fn=<AddBackward0>)",90.59615468978882
43,43,28.08,"tensor(54.3712, device='cuda:4', grad_fn=<AddBackward0>)",90.5455358028412
44,44,28.83,"tensor(54.3415, device='cuda:4', grad_fn=<AddBackward0>)",90.49428796768188
45,45,29.35,"tensor(54.3083, device='cuda:4', grad_fn=<AddBackward0>)",90.44237804412842
46,46,29.71,"tensor(54.2753, device='cuda:4', grad_fn=<AddBackward0>)",90.3896780014038
47,47,30.18,"tensor(54.2434, device='cuda:4', grad_fn=<AddBackward0>)",90.33620643615724
48,48,30.58,"tensor(54.2115, device='cuda:4', grad_fn=<AddBackward0>)",90.28216171264648
49,49,31.24,"tensor(54.1836, device='cuda:4', grad_fn=<AddBackward0>)",90.22769021987916
50,50,31.8,"tensor(54.1498, device='cuda:4', grad_fn=<AddBackward0>)",90.17259693145752
51,51,32.29,"tensor(54.1177, device='cuda:4', grad_fn=<AddBackward0>)",90.1167733669281
52,52,32.8,"tensor(54.0888, device='cuda:4', grad_fn=<AddBackward0>)",90.06052136421204
53,53,33.24,"tensor(54.0591, device='cuda:4', grad_fn=<AddBackward0>)",90.00351762771606
54,54,33.5,"tensor(54.0231, device='cuda:4', grad_fn=<AddBackward0>)",89.94609570503235
55,55,33.84,"tensor(53.9796, device='cuda:4', grad_fn=<AddBackward0>)",89.88744306564331
56,56,34.16,"tensor(53.9436, device='cuda:4', grad_fn=<AddBackward0>)",89.82802772521973
57,57,34.42,"tensor(53.9057, device='cuda:4', grad_fn=<AddBackward0>)",89.7677173614502
58,58,34.55,"tensor(53.8672, device='cuda:4', grad_fn=<AddBackward0>)",89.70639324188232
59,59,34.73,"tensor(53.8437, device='cuda:4', grad_fn=<AddBackward0>)",89.64425945281982
60,60,34.93,"tensor(53.7986, device='cuda:4', grad_fn=<AddBackward0>)",89.58108472824097
61,61,35.01,"tensor(53.7564, device='cuda:4', grad_fn=<AddBackward0>)",89.51675200462341
62,62,35.11,"tensor(53.7182, device='cuda:4', grad_fn=<AddBackward0>)",89.45125985145569
63,63,35.14,"tensor(53.6871, device='cuda:4', grad_fn=<AddBackward0>)",89.38441348075867
64,64,35.2,"tensor(53.6362, device='cuda:4', grad_fn=<AddBackward0>)",89.31660056114197
65,65,35.26,"tensor(53.6042, device='cuda:4', grad_fn=<AddBackward0>)",89.2474136352539
66,66,35.19,"tensor(53.5644, device='cuda:4', grad_fn=<AddBackward0>)",89.17683434486389
67,67,35.17,"tensor(53.5252, device='cuda:4', grad_fn=<AddBackward0>)",89.10413765907288
68,68,35.18,"tensor(53.4757, device='cuda:4', grad_fn=<AddBackward0>)",89.02947735786438
69,69,35.14,"tensor(53.4305, device='cuda:4', grad_fn=<AddBackward0>)",88.95332860946655
70,70,35.08,"tensor(53.3862, device='cuda:4', grad_fn=<AddBackward0>)",88.87584185600281
71,71,35.15,"tensor(53.3405, device='cuda:4', grad_fn=<AddBackward0>)",88.79728746414185
72,72,35.13,"tensor(53.2970, device='cuda:4', grad_fn=<AddBackward0>)",88.71781849861145
73,73,35.14,"tensor(53.2432, device='cuda:4', grad_fn=<AddBackward0>)",88.63697624206543
74,74,35.12,"tensor(53.1935, device='cuda:4', grad_fn=<AddBackward0>)",88.55488991737366
75,75,35.11,"tensor(53.1501, device='cuda:4', grad_fn=<AddBackward0>)",88.47136449813843
76,76,35.07,"tensor(53.0972, device='cuda:4', grad_fn=<AddBackward0>)",88.38654017448425
77,77,35.08,"tensor(53.0465, device='cuda:4', grad_fn=<AddBackward0>)",88.30014824867249
78,78,35.1,"tensor(53.0040, device='cuda:4', grad_fn=<AddBackward0>)",88.21270942687988
79,79,35.09,"tensor(52.9537, device='cuda:4', grad_fn=<AddBackward0>)",88.12377190589905
80,80,35.18,"tensor(52.8896, device='cuda:4', grad_fn=<AddBackward0>)",88.03239941596985
81,81,35.16,"tensor(52.8361, device='cuda:4', grad_fn=<AddBackward0>)",87.93975234031677
82,82,35.22,"tensor(52.7874, device='cuda:4', grad_fn=<AddBackward0>)",87.84561657905579
83,83,35.28,"tensor(52.7181, device='cuda:4', grad_fn=<AddBackward0>)",87.74925899505615
84,84,35.33,"tensor(52.6545, device='cuda:4', grad_fn=<AddBackward0>)",87.65088987350464
85,85,35.3,"tensor(52.5962, device='cuda:4', grad_fn=<AddBackward0>)",87.55082845687866
86,86,35.36,"tensor(52.5391, device='cuda:4', grad_fn=<AddBackward0>)",87.44935059547424
87,87,35.38,"tensor(52.4853, device='cuda:4', grad_fn=<AddBackward0>)",87.3460590839386
88,88,35.43,"tensor(52.4070, device='cuda:4', grad_fn=<AddBackward0>)",87.2405846118927
89,89,35.49,"tensor(52.3480, device='cuda:4', grad_fn=<AddBackward0>)",87.13340902328491
90,90,35.51,"tensor(52.2930, device='cuda:4', grad_fn=<AddBackward0>)",87.02473425865173
91,91,35.53,"tensor(52.2242, device='cuda:4', grad_fn=<AddBackward0>)",86.91421151161194
92,92,35.48,"tensor(52.1621, device='cuda:4', grad_fn=<AddBackward0>)",86.80186104774475
93,93,35.55,"tensor(52.0806, device='cuda:4', grad_fn=<AddBackward0>)",86.687739610672
94,94,35.63,"tensor(52.0209, device='cuda:4', grad_fn=<AddBackward0>)",86.57171440124512
95,95,35.61,"tensor(51.9438, device='cuda:4', grad_fn=<AddBackward0>)",86.4536304473877
96,96,35.68,"tensor(51.8764, device='cuda:4', grad_fn=<AddBackward0>)",86.3336865901947
97,97,35.82,"tensor(51.7982, device='cuda:4', grad_fn=<AddBackward0>)",86.21134185791016
98,98,36.01,"tensor(51.7319, device='cuda:4', grad_fn=<AddBackward0>)",86.0865638256073
99,99,36.13,"tensor(51.6530, device='cuda:4', grad_fn=<AddBackward0>)",85.95885610580444
100,100,36.14,"tensor(51.5723, device='cuda:4', grad_fn=<AddBackward0>)",85.8271861076355
101,101,36.35,"tensor(51.5095, device='cuda:4', grad_fn=<AddBackward0>)",85.69310903549194
102,102,36.51,"tensor(51.4323, device='cuda:4', grad_fn=<AddBackward0>)",85.55616116523743
103,103,36.66,"tensor(51.3492, device='cuda:4', grad_fn=<AddBackward0>)",85.41516852378845
104,104,36.78,"tensor(51.2526, device='cuda:4', grad_fn=<AddBackward0>)",85.26997709274292
105,105,36.9,"tensor(51.1597, device='cuda:4', grad_fn=<AddBackward0>)",85.12015080451965
106,106,37.05,"tensor(51.0600, device='cuda:4', grad_fn=<AddBackward0>)",84.96728229522705
107,107,37.24,"tensor(50.9897, device='cuda:4', grad_fn=<AddBackward0>)",84.81113648414612
108,108,37.36,"tensor(50.9015, device='cuda:4', grad_fn=<AddBackward0>)",84.65087008476257
109,109,37.5,"tensor(50.7909, device='cuda:4', grad_fn=<AddBackward0>)",84.486501455307
110,110,37.56,"tensor(50.6772, device='cuda:4', grad_fn=<AddBackward0>)",84.31746459007263
111,111,37.68,"tensor(50.5825, device='cuda:4', grad_fn=<AddBackward0>)",84.14344239234924
112,112,38.02,"tensor(50.4765, device='cuda:4', grad_fn=<AddBackward0>)",83.96432709693909
113,113,38.25,"tensor(50.3680, device='cuda:4', grad_fn=<AddBackward0>)",83.77905035018921
114,114,38.48,"tensor(50.2593, device='cuda:4', grad_fn=<AddBackward0>)",83.5878438949585
115,115,38.8,"tensor(50.1471, device='cuda:4', grad_fn=<AddBackward0>)",83.38951420783997
116,116,39.01,"tensor(50.0152, device='cuda:4', grad_fn=<AddBackward0>)",83.18153524398804
117,117,39.25,"tensor(49.9045, device='cuda:4', grad_fn=<AddBackward0>)",82.96687054634094
118,118,39.77,"tensor(49.7664, device='cuda:4', grad_fn=<AddBackward0>)",82.74883079528809
119,119,40.11,"tensor(49.6431, device='cuda:4', grad_fn=<AddBackward0>)",82.5271384716034
120,120,40.37,"tensor(49.5051, device='cuda:4', grad_fn=<AddBackward0>)",82.3042985200882
121,121,40.63,"tensor(49.3766, device='cuda:4', grad_fn=<AddBackward0>)",82.07705509662628
122,122,40.74,"tensor(49.2504, device='cuda:4', grad_fn=<AddBackward0>)",81.84600305557251
123,123,40.92,"tensor(49.0915, device='cuda:4', grad_fn=<AddBackward0>)",81.60896420478821
124,124,41.29,"tensor(48.9440, device='cuda:4', grad_fn=<AddBackward0>)",81.3662132024765
125,125,41.52,"tensor(48.8136, device='cuda:4', grad_fn=<AddBackward0>)",81.11812913417816
126,126,41.52,"tensor(48.6624, device='cuda:4', grad_fn=<AddBackward0>)",80.86431992053986
127,127,41.6,"tensor(48.4921, device='cuda:4', grad_fn=<AddBackward0>)",80.60322034358978
128,128,41.79,"tensor(48.3397, device='cuda:4', grad_fn=<AddBackward0>)",80.33705472946167
129,129,41.92,"tensor(48.1865, device='cuda:4', grad_fn=<AddBackward0>)",80.0616546869278
130,130,42.13,"tensor(48.0126, device='cuda:4', grad_fn=<AddBackward0>)",79.77889323234558
131,131,42.28,"tensor(47.8374, device='cuda:4', grad_fn=<AddBackward0>)",79.48912525177002
132,132,42.26,"tensor(47.6631, device='cuda:4', grad_fn=<AddBackward0>)",79.19248986244202
133,133,42.56,"tensor(47.5063, device='cuda:4', grad_fn=<AddBackward0>)",78.89352345466614
134,134,42.59,"tensor(47.3015, device='cuda:4', grad_fn=<AddBackward0>)",78.58282887935638
135,135,42.79,"tensor(47.1052, device='cuda:4', grad_fn=<AddBackward0>)",78.26930105686188
136,136,42.85,"tensor(46.9436, device='cuda:4', grad_fn=<AddBackward0>)",77.94724190235138
137,137,42.85,"tensor(46.7160, device='cuda:4', grad_fn=<AddBackward0>)",77.61508810520172
138,138,42.98,"tensor(46.5212, device='cuda:4', grad_fn=<AddBackward0>)",77.27725481987
139,139,43.01,"tensor(46.3551, device='cuda:4', grad_fn=<AddBackward0>)",76.93505454063416
