,epoch,test_accuracy,train_loss,test_loss
0,0,9.65,"tensor(541.0255, device='cuda:4', grad_fn=<AddBackward0>)",92.0690894126892
1,1,9.72,"tensor(540.9756, device='cuda:4', grad_fn=<AddBackward0>)",92.05976033210754
2,2,9.79,"tensor(540.9108, device='cuda:4', grad_fn=<AddBackward0>)",92.05035352706908
3,3,9.93,"tensor(540.8663, device='cuda:4', grad_fn=<AddBackward0>)",92.040864944458
4,4,10.08,"tensor(540.8031, device='cuda:4', grad_fn=<AddBackward0>)",92.0312922000885
5,5,10.17,"tensor(540.7499, device='cuda:4', grad_fn=<AddBackward0>)",92.0216314792633
6,6,10.27,"tensor(540.6976, device='cuda:4', grad_fn=<AddBackward0>)",92.01187777519226
7,7,10.45,"tensor(540.6377, device='cuda:4', grad_fn=<AddBackward0>)",92.00205612182616
8,8,10.6,"tensor(540.5736, device='cuda:4', grad_fn=<AddBackward0>)",91.99216151237488
9,9,10.72,"tensor(540.5169, device='cuda:4', grad_fn=<AddBackward0>)",91.98221969604492
10,10,10.78,"tensor(540.4594, device='cuda:4', grad_fn=<AddBackward0>)",91.97224116325378
11,11,10.91,"tensor(540.4055, device='cuda:4', grad_fn=<AddBackward0>)",91.9622151851654
12,12,10.9,"tensor(540.3390, device='cuda:4', grad_fn=<AddBackward0>)",91.95216631889345
13,13,11.01,"tensor(540.2884, device='cuda:4', grad_fn=<AddBackward0>)",91.94208765029909
14,14,11.21,"tensor(540.2267, device='cuda:4', grad_fn=<AddBackward0>)",91.93196034431458
15,15,11.36,"tensor(540.1656, device='cuda:4', grad_fn=<AddBackward0>)",91.92181754112244
16,16,11.58,"tensor(540.1077, device='cuda:4', grad_fn=<AddBackward0>)",91.91166114807127
17,17,11.51,"tensor(540.0458, device='cuda:4', grad_fn=<AddBackward0>)",91.9014687538147
18,18,11.61,"tensor(539.9887, device='cuda:4', grad_fn=<AddBackward0>)",91.89122819900513
19,19,11.68,"tensor(539.9291, device='cuda:4', grad_fn=<AddBackward0>)",91.88096404075624
20,20,11.79,"tensor(539.8717, device='cuda:4', grad_fn=<AddBackward0>)",91.87065649032591
21,21,11.92,"tensor(539.8135, device='cuda:4', grad_fn=<AddBackward0>)",91.86030077934264
22,22,11.92,"tensor(539.7527, device='cuda:4', grad_fn=<AddBackward0>)",91.84991145133972
23,23,11.97,"tensor(539.6956, device='cuda:4', grad_fn=<AddBackward0>)",91.83944606781006
24,24,12.06,"tensor(539.6329, device='cuda:4', grad_fn=<AddBackward0>)",91.82892179489136
25,25,12.05,"tensor(539.5751, device='cuda:4', grad_fn=<AddBackward0>)",91.81834936141968
26,26,12.07,"tensor(539.5075, device='cuda:4', grad_fn=<AddBackward0>)",91.8077039718628
27,27,12.09,"tensor(539.4481, device='cuda:4', grad_fn=<AddBackward0>)",91.7969856262207
28,28,12.23,"tensor(539.3835, device='cuda:4', grad_fn=<AddBackward0>)",91.78619742393494
29,29,12.26,"tensor(539.3256, device='cuda:4', grad_fn=<AddBackward0>)",91.77530455589294
30,30,12.29,"tensor(539.2537, device='cuda:4', grad_fn=<AddBackward0>)",91.7643585205078
31,31,12.34,"tensor(539.1973, device='cuda:4', grad_fn=<AddBackward0>)",91.75332307815552
32,32,12.36,"tensor(539.1318, device='cuda:4', grad_fn=<AddBackward0>)",91.74221110343932
33,33,12.4,"tensor(539.0694, device='cuda:4', grad_fn=<AddBackward0>)",91.73100471496582
34,34,12.44,"tensor(539.0089, device='cuda:4', grad_fn=<AddBackward0>)",91.7197265625
35,35,12.48,"tensor(538.9392, device='cuda:4', grad_fn=<AddBackward0>)",91.7083818912506
36,36,12.53,"tensor(538.8726, device='cuda:4', grad_fn=<AddBackward0>)",91.69693398475648
37,37,12.58,"tensor(538.8025, device='cuda:4', grad_fn=<AddBackward0>)",91.68541097640993
38,38,12.64,"tensor(538.7371, device='cuda:4', grad_fn=<AddBackward0>)",91.67383122444151
39,39,12.73,"tensor(538.6670, device='cuda:4', grad_fn=<AddBackward0>)",91.66217255592346
40,40,12.82,"tensor(538.6115, device='cuda:4', grad_fn=<AddBackward0>)",91.65045404434204
41,41,12.91,"tensor(538.5408, device='cuda:4', grad_fn=<AddBackward0>)",91.63865852355956
42,42,13.06,"tensor(538.4745, device='cuda:4', grad_fn=<AddBackward0>)",91.62681031227112
43,43,13.21,"tensor(538.4026, device='cuda:4', grad_fn=<AddBackward0>)",91.6148841381073
44,44,13.48,"tensor(538.3300, device='cuda:4', grad_fn=<AddBackward0>)",91.60289549827576
45,45,13.84,"tensor(538.2704, device='cuda:4', grad_fn=<AddBackward0>)",91.59084868431091
46,46,14.21,"tensor(538.1889, device='cuda:4', grad_fn=<AddBackward0>)",91.57873845100404
47,47,14.6,"tensor(538.1285, device='cuda:4', grad_fn=<AddBackward0>)",91.56654191017152
