,epoch,test_accuracy,train_loss,test_loss
0,0,8.26,"tensor(55.2830, device='cuda:0', grad_fn=<AddBackward0>)",92.2714033126831
1,1,10.03,"tensor(55.3656, device='cuda:0', grad_fn=<AddBackward0>)",92.5435745716095
2,2,10.1,"tensor(55.5244, device='cuda:0', grad_fn=<AddBackward0>)",92.98806405067444
3,3,10.1,"tensor(55.7122, device='cuda:0', grad_fn=<AddBackward0>)",93.50139927864076
4,4,10.1,"tensor(55.9661, device='cuda:0', grad_fn=<AddBackward0>)",93.66308617591858
5,5,10.1,"tensor(55.9605, device='cuda:0', grad_fn=<AddBackward0>)",93.3037178516388
6,6,10.1,"tensor(55.7409, device='cuda:0', grad_fn=<AddBackward0>)",92.6703236103058
7,7,10.94,"tensor(55.3529, device='cuda:0', grad_fn=<AddBackward0>)",91.98020243644714
8,8,17.64,"tensor(54.9806, device='cuda:0', grad_fn=<AddBackward0>)",91.24911952018738
9,9,30.22,"tensor(54.5521, device='cuda:0', grad_fn=<AddBackward0>)",90.46092414855956
10,10,35.41,"tensor(54.0905, device='cuda:0', grad_fn=<AddBackward0>)",89.67592263221741
11,11,43.65,"tensor(53.6256, device='cuda:0', grad_fn=<AddBackward0>)",88.88158583641052
12,12,47.05,"tensor(53.1667, device='cuda:0', grad_fn=<AddBackward0>)",88.08707356452942
13,13,48.68,"tensor(52.6888, device='cuda:0', grad_fn=<AddBackward0>)",87.27827787399292
14,14,50.25,"tensor(52.2122, device='cuda:0', grad_fn=<AddBackward0>)",86.4347312450409
15,15,49.98,"tensor(51.6996, device='cuda:0', grad_fn=<AddBackward0>)",85.55474543571472
16,16,51.54,"tensor(51.1835, device='cuda:0', grad_fn=<AddBackward0>)",84.64232063293457
17,17,49.52,"tensor(50.6192, device='cuda:0', grad_fn=<AddBackward0>)",83.685955286026
18,18,52.78,"tensor(50.0344, device='cuda:0', grad_fn=<AddBackward0>)",82.65350341796875
19,19,52.75,"tensor(49.3942, device='cuda:0', grad_fn=<AddBackward0>)",81.51875162124634
20,20,51.05,"tensor(48.6911, device='cuda:0', grad_fn=<AddBackward0>)",80.21581304073334
21,21,49.84,"tensor(47.9452, device='cuda:0', grad_fn=<AddBackward0>)",78.96381556987762
22,22,48.86,"tensor(47.1903, device='cuda:0', grad_fn=<AddBackward0>)",77.66587901115417
23,23,50.52,"tensor(46.3885, device='cuda:0', grad_fn=<AddBackward0>)",76.21623361110687
24,24,49.68,"tensor(45.4686, device='cuda:0', grad_fn=<AddBackward0>)",74.68456983566284
25,25,51.31,"tensor(44.5812, device='cuda:0', grad_fn=<AddBackward0>)",73.1103765964508
26,26,52.45,"tensor(43.5677, device='cuda:0', grad_fn=<AddBackward0>)",71.42125403881073
27,27,52.12,"tensor(42.5459, device='cuda:0', grad_fn=<AddBackward0>)",69.71046662330627
28,28,52.96,"tensor(41.5545, device='cuda:0', grad_fn=<AddBackward0>)",68.09716248512268
29,29,56.27,"tensor(40.5529, device='cuda:0', grad_fn=<AddBackward0>)",66.35956764221191
30,30,58.49,"tensor(39.4433, device='cuda:0', grad_fn=<AddBackward0>)",64.49117290973663
31,31,60.62,"tensor(38.3311, device='cuda:0', grad_fn=<AddBackward0>)",62.601216077804565
32,32,59.98,"tensor(37.1826, device='cuda:0', grad_fn=<AddBackward0>)",60.76437795162201
33,33,63.25,"tensor(36.1002, device='cuda:0', grad_fn=<AddBackward0>)",58.88716876506805
34,34,63.22,"tensor(35.0023, device='cuda:0', grad_fn=<AddBackward0>)",57.049386858940125
35,35,64.79,"tensor(33.8748, device='cuda:0', grad_fn=<AddBackward0>)",55.26573657989502
36,36,66.44,"tensor(32.8063, device='cuda:0', grad_fn=<AddBackward0>)",53.45604693889618
37,37,68.5,"tensor(31.7446, device='cuda:0', grad_fn=<AddBackward0>)",51.69581997394562
38,38,70.13,"tensor(30.7342, device='cuda:0', grad_fn=<AddBackward0>)",49.9643394947052
