,epoch,test_accuracy,train_loss,test_loss
0,0,9.74,"tensor(541.6266, device='cuda:4', grad_fn=<AddBackward0>)",92.23204016685486
1,1,9.74,"tensor(541.5518, device='cuda:4', grad_fn=<AddBackward0>)",92.24570202827454
2,2,9.74,"tensor(541.5015, device='cuda:4', grad_fn=<AddBackward0>)",92.29326558113098
3,3,9.77,"tensor(541.6099, device='cuda:4', grad_fn=<AddBackward0>)",92.33494305610655
4,4,13.83,"tensor(541.6465, device='cuda:4', grad_fn=<AddBackward0>)",92.29291725158691
5,5,10.1,"tensor(541.1847, device='cuda:4', grad_fn=<AddBackward0>)",92.11243319511414
6,6,10.1,"tensor(539.9603, device='cuda:4', grad_fn=<AddBackward0>)",91.8013961315155
7,7,10.1,"tensor(538.0967, device='cuda:4', grad_fn=<AddBackward0>)",91.41289567947388
8,8,10.1,"tensor(535.8214, device='cuda:4', grad_fn=<AddBackward0>)",90.97421789169312
9,9,10.27,"tensor(533.2836, device='cuda:4', grad_fn=<AddBackward0>)",90.51494908332825
10,10,12.97,"tensor(530.5565, device='cuda:4', grad_fn=<AddBackward0>)",90.01833510398865
11,11,27.39,"tensor(527.6097, device='cuda:4', grad_fn=<AddBackward0>)",89.49692845344543
12,12,31.51,"tensor(524.5283, device='cuda:4', grad_fn=<AddBackward0>)",88.94543385505676
13,13,33.75,"tensor(521.2211, device='cuda:4', grad_fn=<AddBackward0>)",88.36250925064087
14,14,35.1,"tensor(517.7379, device='cuda:4', grad_fn=<AddBackward0>)",87.73963022232056
15,15,37.18,"tensor(513.9958, device='cuda:4', grad_fn=<AddBackward0>)",87.07587385177612
16,16,40.8,"tensor(509.9953, device='cuda:4', grad_fn=<AddBackward0>)",86.35947227478027
17,17,44.7,"tensor(505.6555, device='cuda:4', grad_fn=<AddBackward0>)",85.58388423919678
18,18,46.7,"tensor(500.9487, device='cuda:4', grad_fn=<AddBackward0>)",84.73894381523132
19,19,48.71,"tensor(495.7562, device='cuda:4', grad_fn=<AddBackward0>)",83.78438925743103
20,20,49.87,"tensor(490.0109, device='cuda:4', grad_fn=<AddBackward0>)",82.77804636955261
21,21,50.93,"tensor(483.9124, device='cuda:4', grad_fn=<AddBackward0>)",81.69575846195221
22,22,51.19,"tensor(477.4402, device='cuda:4', grad_fn=<AddBackward0>)",80.55917680263519
23,23,51.1,"tensor(470.7707, device='cuda:4', grad_fn=<AddBackward0>)",79.39563369750977
24,24,51.15,"tensor(463.8245, device='cuda:4', grad_fn=<AddBackward0>)",78.17897117137909
25,25,51.52,"tensor(456.5814, device='cuda:4', grad_fn=<AddBackward0>)",76.87387561798096
26,26,51.36,"tensor(448.5119, device='cuda:4', grad_fn=<AddBackward0>)",75.39832532405853
27,27,51.59,"tensor(439.9421, device='cuda:4', grad_fn=<AddBackward0>)",73.93617641925812
28,28,51.84,"tensor(431.5193, device='cuda:4', grad_fn=<AddBackward0>)",72.49408841133118
29,29,52.09,"tensor(423.1747, device='cuda:4', grad_fn=<AddBackward0>)",71.06914973258972
30,30,52.39,"tensor(414.8690, device='cuda:4', grad_fn=<AddBackward0>)",69.61364483833313
31,31,52.78,"tensor(406.2304, device='cuda:4', grad_fn=<AddBackward0>)",68.12928283214569
32,32,53.16,"tensor(397.6778, device='cuda:4', grad_fn=<AddBackward0>)",66.64793491363525
33,33,53.9,"tensor(389.0492, device='cuda:4', grad_fn=<AddBackward0>)",65.18408346176147
34,34,55.05,"tensor(380.5537, device='cuda:4', grad_fn=<AddBackward0>)",63.71518325805664
35,35,56.15,"tensor(372.0252, device='cuda:4', grad_fn=<AddBackward0>)",62.25391495227814
36,36,57.24,"tensor(363.6587, device='cuda:4', grad_fn=<AddBackward0>)",60.84111213684082
37,37,58.8,"tensor(355.5273, device='cuda:4', grad_fn=<AddBackward0>)",59.45421206951141
38,38,60.57,"tensor(347.4331, device='cuda:4', grad_fn=<AddBackward0>)",58.08771622180939
39,39,61.74,"tensor(339.5444, device='cuda:4', grad_fn=<AddBackward0>)",56.73534500598908
40,40,63.13,"tensor(331.7561, device='cuda:4', grad_fn=<AddBackward0>)",55.39101409912109
41,41,64.45,"tensor(323.9213, device='cuda:4', grad_fn=<AddBackward0>)",54.03826439380646
42,42,66.51,"tensor(316.0521, device='cuda:4', grad_fn=<AddBackward0>)",52.71117854118347
43,43,67.82,"tensor(308.2836, device='cuda:4', grad_fn=<AddBackward0>)",51.4032016992569
44,44,69.04,"tensor(300.8042, device='cuda:4', grad_fn=<AddBackward0>)",50.12698268890381
45,45,70.22,"tensor(293.5553, device='cuda:4', grad_fn=<AddBackward0>)",48.86413013935089
46,46,71.46,"tensor(286.1888, device='cuda:4', grad_fn=<AddBackward0>)",47.62263453006744
47,47,72.21,"tensor(279.0211, device='cuda:4', grad_fn=<AddBackward0>)",46.37382966279984
48,48,73.49,"tensor(271.7328, device='cuda:4', grad_fn=<AddBackward0>)",45.13025778532028
49,49,74.64,"tensor(264.5846, device='cuda:4', grad_fn=<AddBackward0>)",43.90555995702744
50,50,75.17,"tensor(257.5871, device='cuda:4', grad_fn=<AddBackward0>)",42.70276343822479
51,51,76.1,"tensor(250.7569, device='cuda:4', grad_fn=<AddBackward0>)",41.52581644058228
52,52,76.66,"tensor(243.8171, device='cuda:4', grad_fn=<AddBackward0>)",40.358215272426605
53,53,77.25,"tensor(237.2350, device='cuda:4', grad_fn=<AddBackward0>)",39.21314179897308
54,54,77.96,"tensor(230.5771, device='cuda:4', grad_fn=<AddBackward0>)",38.07519406080246
55,55,78.56,"tensor(224.0260, device='cuda:4', grad_fn=<AddBackward0>)",36.94743770360947
56,56,79.27,"tensor(217.5773, device='cuda:4', grad_fn=<AddBackward0>)",35.84623408317566
57,57,79.77,"tensor(211.3917, device='cuda:4', grad_fn=<AddBackward0>)",34.81875139474869
58,58,80.34,"tensor(205.5728, device='cuda:4', grad_fn=<AddBackward0>)",33.820564687252045
59,59,80.85,"tensor(199.9605, device='cuda:4', grad_fn=<AddBackward0>)",32.87672945857048
60,60,81.39,"tensor(194.5812, device='cuda:4', grad_fn=<AddBackward0>)",31.963374108076096
61,61,81.82,"tensor(189.2478, device='cuda:4', grad_fn=<AddBackward0>)",31.070106834173203
62,62,82.22,"tensor(184.1123, device='cuda:4', grad_fn=<AddBackward0>)",30.1992324590683
63,63,82.7,"tensor(179.1188, device='cuda:4', grad_fn=<AddBackward0>)",29.35598012804985
64,64,82.97,"tensor(174.4818, device='cuda:4', grad_fn=<AddBackward0>)",28.58600017428398
65,65,83.21,"tensor(170.1254, device='cuda:4', grad_fn=<AddBackward0>)",27.860823154449463
66,66,83.44,"tensor(166.0375, device='cuda:4', grad_fn=<AddBackward0>)",27.187269777059555
67,67,83.91,"tensor(162.1656, device='cuda:4', grad_fn=<AddBackward0>)",26.529538363218307
68,68,84.12,"tensor(158.4666, device='cuda:4', grad_fn=<AddBackward0>)",25.92067822813988
69,69,84.24,"tensor(154.9922, device='cuda:4', grad_fn=<AddBackward0>)",25.336470276117325
70,70,84.43,"tensor(151.7492, device='cuda:4', grad_fn=<AddBackward0>)",24.792566150426865
71,71,84.66,"tensor(148.6528, device='cuda:4', grad_fn=<AddBackward0>)",24.28352400660515
72,72,84.86,"tensor(145.6647, device='cuda:4', grad_fn=<AddBackward0>)",23.784711450338364
73,73,85.13,"tensor(142.8788, device='cuda:4', grad_fn=<AddBackward0>)",23.333104342222214
74,74,85.43,"tensor(140.2915, device='cuda:4', grad_fn=<AddBackward0>)",22.901344656944275
75,75,85.66,"tensor(137.7981, device='cuda:4', grad_fn=<AddBackward0>)",22.498631820082664
76,76,85.83,"tensor(135.5948, device='cuda:4', grad_fn=<AddBackward0>)",22.106057196855545
77,77,85.81,"tensor(133.3793, device='cuda:4', grad_fn=<AddBackward0>)",21.757630094885823
78,78,85.97,"tensor(131.3394, device='cuda:4', grad_fn=<AddBackward0>)",21.41294427216053
79,79,86.14,"tensor(129.3604, device='cuda:4', grad_fn=<AddBackward0>)",21.06875179708004
80,80,86.33,"tensor(127.4618, device='cuda:4', grad_fn=<AddBackward0>)",20.75024425983429
81,81,86.36,"tensor(125.7222, device='cuda:4', grad_fn=<AddBackward0>)",20.46142689883709
82,82,86.48,"tensor(123.9717, device='cuda:4', grad_fn=<AddBackward0>)",20.189633056521416
83,83,86.46,"tensor(122.3121, device='cuda:4', grad_fn=<AddBackward0>)",19.920738205313683
84,84,86.69,"tensor(120.8587, device='cuda:4', grad_fn=<AddBackward0>)",19.656806528568268
85,85,86.81,"tensor(119.3517, device='cuda:4', grad_fn=<AddBackward0>)",19.42218144237995
86,86,86.85,"tensor(118.0009, device='cuda:4', grad_fn=<AddBackward0>)",19.197053477168083
87,87,86.95,"tensor(116.6745, device='cuda:4', grad_fn=<AddBackward0>)",18.965466558933255
88,88,86.99,"tensor(115.3955, device='cuda:4', grad_fn=<AddBackward0>)",18.75657631456852
89,89,87.08,"tensor(114.2217, device='cuda:4', grad_fn=<AddBackward0>)",18.561105594038963
90,90,87.2,"tensor(113.0623, device='cuda:4', grad_fn=<AddBackward0>)",18.3650653809309
91,91,87.3,"tensor(111.8959, device='cuda:4', grad_fn=<AddBackward0>)",18.19434478878975
92,92,87.37,"tensor(110.9515, device='cuda:4', grad_fn=<AddBackward0>)",18.014686822891235
93,93,87.4,"tensor(109.8752, device='cuda:4', grad_fn=<AddBackward0>)",17.83393682539463
94,94,87.47,"tensor(108.8057, device='cuda:4', grad_fn=<AddBackward0>)",17.677498497068882
95,95,87.53,"tensor(107.9470, device='cuda:4', grad_fn=<AddBackward0>)",17.523040667176247
96,96,87.6,"tensor(107.0650, device='cuda:4', grad_fn=<AddBackward0>)",17.368204332888126
97,97,87.69,"tensor(106.1257, device='cuda:4', grad_fn=<AddBackward0>)",17.227171055972576
98,98,87.69,"tensor(105.3275, device='cuda:4', grad_fn=<AddBackward0>)",17.099391169846058
99,99,87.82,"tensor(104.4851, device='cuda:4', grad_fn=<AddBackward0>)",16.95413228869438
100,100,87.87,"tensor(103.7886, device='cuda:4', grad_fn=<AddBackward0>)",16.83907564729452
101,101,87.93,"tensor(102.9496, device='cuda:4', grad_fn=<AddBackward0>)",16.710847407579422
102,102,88.03,"tensor(102.2151, device='cuda:4', grad_fn=<AddBackward0>)",16.592920742928982
103,103,88.1,"tensor(101.5437, device='cuda:4', grad_fn=<AddBackward0>)",16.475794836878777
104,104,88.19,"tensor(100.7984, device='cuda:4', grad_fn=<AddBackward0>)",16.372549019753933
105,105,88.28,"tensor(100.2288, device='cuda:4', grad_fn=<AddBackward0>)",16.25221113860607
106,106,88.41,"tensor(99.5204, device='cuda:4', grad_fn=<AddBackward0>)",16.15944328159094
107,107,88.37,"tensor(98.9316, device='cuda:4', grad_fn=<AddBackward0>)",16.04403243213892
108,108,88.39,"tensor(98.3069, device='cuda:4', grad_fn=<AddBackward0>)",15.94277497380972
109,109,88.6,"tensor(97.7645, device='cuda:4', grad_fn=<AddBackward0>)",15.853717267513275
110,110,88.54,"tensor(97.1679, device='cuda:4', grad_fn=<AddBackward0>)",15.75401021540165
111,111,88.59,"tensor(96.5921, device='cuda:4', grad_fn=<AddBackward0>)",15.667016476392746
112,112,88.84,"tensor(96.1360, device='cuda:4', grad_fn=<AddBackward0>)",15.58437706530094
113,113,88.76,"tensor(95.5481, device='cuda:4', grad_fn=<AddBackward0>)",15.492701344192028
114,114,88.9,"tensor(94.9980, device='cuda:4', grad_fn=<AddBackward0>)",15.416434198617935
115,115,88.95,"tensor(94.5365, device='cuda:4', grad_fn=<AddBackward0>)",15.34245990216732
116,116,89.06,"tensor(94.0725, device='cuda:4', grad_fn=<AddBackward0>)",15.258933790028095
117,117,89.1,"tensor(93.6672, device='cuda:4', grad_fn=<AddBackward0>)",15.185454733669758
118,118,89.17,"tensor(93.0773, device='cuda:4', grad_fn=<AddBackward0>)",15.1077883169055
119,119,89.13,"tensor(92.7423, device='cuda:4', grad_fn=<AddBackward0>)",15.053400740027428
120,120,89.24,"tensor(92.2592, device='cuda:4', grad_fn=<AddBackward0>)",14.971360504627228
121,121,89.23,"tensor(91.8345, device='cuda:4', grad_fn=<AddBackward0>)",14.908750884234903
122,122,89.29,"tensor(91.3668, device='cuda:4', grad_fn=<AddBackward0>)",14.822515450417995
123,123,89.26,"tensor(91.0954, device='cuda:4', grad_fn=<AddBackward0>)",14.759229771792889
124,124,89.4,"tensor(90.6083, device='cuda:4', grad_fn=<AddBackward0>)",14.697355806827543
125,125,89.41,"tensor(90.1777, device='cuda:4', grad_fn=<AddBackward0>)",14.648135639727116
126,126,89.44,"tensor(89.8477, device='cuda:4', grad_fn=<AddBackward0>)",14.58476796746254
127,127,89.5,"tensor(89.4874, device='cuda:4', grad_fn=<AddBackward0>)",14.51917488873005
128,128,89.57,"tensor(89.1288, device='cuda:4', grad_fn=<AddBackward0>)",14.47154238075018
129,129,89.56,"tensor(88.8065, device='cuda:4', grad_fn=<AddBackward0>)",14.409896165132524
130,130,89.63,"tensor(88.4408, device='cuda:4', grad_fn=<AddBackward0>)",14.35283960402012
131,131,89.67,"tensor(88.1140, device='cuda:4', grad_fn=<AddBackward0>)",14.304687023162842
132,132,89.71,"tensor(87.7047, device='cuda:4', grad_fn=<AddBackward0>)",14.246172823011875
133,133,89.78,"tensor(87.4246, device='cuda:4', grad_fn=<AddBackward0>)",14.192367441952229
134,134,89.85,"tensor(87.1382, device='cuda:4', grad_fn=<AddBackward0>)",14.144603289663792
135,135,89.79,"tensor(86.8374, device='cuda:4', grad_fn=<AddBackward0>)",14.09667094051838
136,136,89.84,"tensor(86.5309, device='cuda:4', grad_fn=<AddBackward0>)",14.043712802231312
137,137,89.9,"tensor(86.2065, device='cuda:4', grad_fn=<AddBackward0>)",13.987224083393812
138,138,89.87,"tensor(86.0290, device='cuda:4', grad_fn=<AddBackward0>)",13.943478263914583
139,139,89.97,"tensor(85.5988, device='cuda:4', grad_fn=<AddBackward0>)",13.900647584348915
140,140,89.93,"tensor(85.2831, device='cuda:4', grad_fn=<AddBackward0>)",13.852638587355614
141,141,90.01,"tensor(84.9962, device='cuda:4', grad_fn=<AddBackward0>)",13.812926281243564
142,142,90.1,"tensor(84.7173, device='cuda:4', grad_fn=<AddBackward0>)",13.774547889828682
143,143,90.1,"tensor(84.3846, device='cuda:4', grad_fn=<AddBackward0>)",13.72330069169402
144,144,90.04,"tensor(84.1608, device='cuda:4', grad_fn=<AddBackward0>)",13.679423961788416
145,145,90.08,"tensor(83.9398, device='cuda:4', grad_fn=<AddBackward0>)",13.646227061748505
146,146,90.15,"tensor(83.6658, device='cuda:4', grad_fn=<AddBackward0>)",13.586633127182722
147,147,90.17,"tensor(83.4408, device='cuda:4', grad_fn=<AddBackward0>)",13.550139799714088
148,148,90.16,"tensor(83.0931, device='cuda:4', grad_fn=<AddBackward0>)",13.514507174491882
149,149,90.19,"tensor(82.8704, device='cuda:4', grad_fn=<AddBackward0>)",13.470308441668749
150,150,90.25,"tensor(82.6609, device='cuda:4', grad_fn=<AddBackward0>)",13.42750733718276
151,151,90.22,"tensor(82.3361, device='cuda:4', grad_fn=<AddBackward0>)",13.39559592679143
152,152,90.28,"tensor(82.1867, device='cuda:4', grad_fn=<AddBackward0>)",13.35661556199193
153,153,90.33,"tensor(81.9445, device='cuda:4', grad_fn=<AddBackward0>)",13.313739724457264
154,154,90.32,"tensor(81.6794, device='cuda:4', grad_fn=<AddBackward0>)",13.28410292044282
155,155,90.3,"tensor(81.4765, device='cuda:4', grad_fn=<AddBackward0>)",13.24104842916131
156,156,90.34,"tensor(81.3007, device='cuda:4', grad_fn=<AddBackward0>)",13.20941922441125
157,157,90.33,"tensor(81.0077, device='cuda:4', grad_fn=<AddBackward0>)",13.165004178881643
158,158,90.31,"tensor(80.8020, device='cuda:4', grad_fn=<AddBackward0>)",13.141691502183676
159,159,90.39,"tensor(80.6090, device='cuda:4', grad_fn=<AddBackward0>)",13.109319604933262
160,160,90.39,"tensor(80.3740, device='cuda:4', grad_fn=<AddBackward0>)",13.08372512832284
161,161,90.43,"tensor(80.2133, device='cuda:4', grad_fn=<AddBackward0>)",13.038599610328674
162,162,90.34,"tensor(80.0438, device='cuda:4', grad_fn=<AddBackward0>)",13.013215195387602
163,163,90.46,"tensor(79.7595, device='cuda:4', grad_fn=<AddBackward0>)",12.97868026793003
164,164,90.48,"tensor(79.4789, device='cuda:4', grad_fn=<AddBackward0>)",12.93072972074151
165,165,90.57,"tensor(79.3263, device='cuda:4', grad_fn=<AddBackward0>)",12.907845556735992
166,166,90.51,"tensor(79.1309, device='cuda:4', grad_fn=<AddBackward0>)",12.88098955154419
167,167,90.47,"tensor(78.9533, device='cuda:4', grad_fn=<AddBackward0>)",12.848905988037586
168,168,90.5,"tensor(78.7740, device='cuda:4', grad_fn=<AddBackward0>)",12.81519640982151
169,169,90.55,"tensor(78.5383, device='cuda:4', grad_fn=<AddBackward0>)",12.771835163235664
170,170,90.61,"tensor(78.3502, device='cuda:4', grad_fn=<AddBackward0>)",12.746146135032175
171,171,90.6,"tensor(78.2380, device='cuda:4', grad_fn=<AddBackward0>)",12.72063609212637
172,172,90.67,"tensor(78.0599, device='cuda:4', grad_fn=<AddBackward0>)",12.702172465622423
173,173,90.63,"tensor(77.8413, device='cuda:4', grad_fn=<AddBackward0>)",12.658662665635347
174,174,90.66,"tensor(77.6934, device='cuda:4', grad_fn=<AddBackward0>)",12.634258791804314
175,175,90.7,"tensor(77.5298, device='cuda:4', grad_fn=<AddBackward0>)",12.592572808265686
176,176,90.7,"tensor(77.2109, device='cuda:4', grad_fn=<AddBackward0>)",12.584837317466736
177,177,90.72,"tensor(77.0091, device='cuda:4', grad_fn=<AddBackward0>)",12.555881466716528
178,178,90.76,"tensor(76.8705, device='cuda:4', grad_fn=<AddBackward0>)",12.51884426549077
179,179,90.75,"tensor(76.6805, device='cuda:4', grad_fn=<AddBackward0>)",12.498711816966534
180,180,90.76,"tensor(76.6698, device='cuda:4', grad_fn=<AddBackward0>)",12.469148699194193
181,181,90.78,"tensor(76.4031, device='cuda:4', grad_fn=<AddBackward0>)",12.441200818866491
