,epoch,test_accuracy,train_loss,test_loss
0,0,10.08,"tensor(541.3179, device='cuda:0', grad_fn=<AddBackward0>)",92.12220692634584
1,1,11.14,"tensor(541.2508, device='cuda:0', grad_fn=<AddBackward0>)",92.1108386516571
2,2,12.06,"tensor(541.1871, device='cuda:0', grad_fn=<AddBackward0>)",92.0993790626526
3,3,13.16,"tensor(541.1213, device='cuda:0', grad_fn=<AddBackward0>)",92.08783388137816
4,4,14.12,"tensor(541.0549, device='cuda:0', grad_fn=<AddBackward0>)",92.07620763778688
5,5,14.48,"tensor(540.9860, device='cuda:0', grad_fn=<AddBackward0>)",92.06454634666444
6,6,14.75,"tensor(540.9249, device='cuda:0', grad_fn=<AddBackward0>)",92.0528974533081
7,7,14.93,"tensor(540.8493, device='cuda:0', grad_fn=<AddBackward0>)",92.04127311706544
8,8,14.97,"tensor(540.7846, device='cuda:0', grad_fn=<AddBackward0>)",92.0296711921692
9,9,14.92,"tensor(540.7227, device='cuda:0', grad_fn=<AddBackward0>)",92.01812601089478
10,10,14.86,"tensor(540.6563, device='cuda:0', grad_fn=<AddBackward0>)",92.00663137435912
11,11,14.73,"tensor(540.5865, device='cuda:0', grad_fn=<AddBackward0>)",91.99519181251526
12,12,14.68,"tensor(540.5284, device='cuda:0', grad_fn=<AddBackward0>)",91.98381972312929
13,13,14.51,"tensor(540.4641, device='cuda:0', grad_fn=<AddBackward0>)",91.97251534461977
14,14,14.31,"tensor(540.3989, device='cuda:0', grad_fn=<AddBackward0>)",91.96126794815063
15,15,14.2,"tensor(540.3277, device='cuda:0', grad_fn=<AddBackward0>)",91.95007467269896
16,16,14.0,"tensor(540.2668, device='cuda:0', grad_fn=<AddBackward0>)",91.93893146514893
17,17,13.8,"tensor(540.2017, device='cuda:0', grad_fn=<AddBackward0>)",91.92780184745789
18,18,13.57,"tensor(540.1397, device='cuda:0', grad_fn=<AddBackward0>)",91.91672587394714
19,19,13.39,"tensor(540.0739, device='cuda:0', grad_fn=<AddBackward0>)",91.9056715965271
20,20,13.21,"tensor(540.0104, device='cuda:0', grad_fn=<AddBackward0>)",91.8946635723114
21,21,13.12,"tensor(539.9528, device='cuda:0', grad_fn=<AddBackward0>)",91.88366508483888
22,22,13.02,"tensor(539.8882, device='cuda:0', grad_fn=<AddBackward0>)",91.87269258499146
23,23,12.91,"tensor(539.8267, device='cuda:0', grad_fn=<AddBackward0>)",91.8617024421692
24,24,12.8,"tensor(539.7659, device='cuda:0', grad_fn=<AddBackward0>)",91.85074949264526
25,25,12.75,"tensor(539.6999, device='cuda:0', grad_fn=<AddBackward0>)",91.83977961540222
26,26,12.65,"tensor(539.6387, device='cuda:0', grad_fn=<AddBackward0>)",91.82882952690125
27,27,12.59,"tensor(539.5724, device='cuda:0', grad_fn=<AddBackward0>)",91.81789445877077
28,28,12.53,"tensor(539.5083, device='cuda:0', grad_fn=<AddBackward0>)",91.80695986747742
29,29,12.48,"tensor(539.4485, device='cuda:0', grad_fn=<AddBackward0>)",91.7960352897644
30,30,12.43,"tensor(539.3921, device='cuda:0', grad_fn=<AddBackward0>)",91.78513383865356
31,31,12.39,"tensor(539.3304, device='cuda:0', grad_fn=<AddBackward0>)",91.7742247581482
32,32,12.37,"tensor(539.2610, device='cuda:0', grad_fn=<AddBackward0>)",91.76330471038818
33,33,12.34,"tensor(539.2027, device='cuda:0', grad_fn=<AddBackward0>)",91.75237202644348
34,34,12.29,"tensor(539.1411, device='cuda:0', grad_fn=<AddBackward0>)",91.74142718315125
35,35,12.29,"tensor(539.0737, device='cuda:0', grad_fn=<AddBackward0>)",91.73045659065248
36,36,12.29,"tensor(539.0070, device='cuda:0', grad_fn=<AddBackward0>)",91.7194287776947
37,37,12.28,"tensor(538.9459, device='cuda:0', grad_fn=<AddBackward0>)",91.70837998390198
38,38,12.28,"tensor(538.8917, device='cuda:0', grad_fn=<AddBackward0>)",91.697279214859
39,39,12.27,"tensor(538.8239, device='cuda:0', grad_fn=<AddBackward0>)",91.68616318702698
40,40,12.26,"tensor(538.7590, device='cuda:0', grad_fn=<AddBackward0>)",91.67497253417967
41,41,12.25,"tensor(538.7003, device='cuda:0', grad_fn=<AddBackward0>)",91.66374731063844
42,42,12.24,"tensor(538.6322, device='cuda:0', grad_fn=<AddBackward0>)",91.65246057510376
43,43,12.23,"tensor(538.5682, device='cuda:0', grad_fn=<AddBackward0>)",91.64110326766968
44,44,12.22,"tensor(538.4996, device='cuda:0', grad_fn=<AddBackward0>)",91.62968802452087
45,45,12.25,"tensor(538.4351, device='cuda:0', grad_fn=<AddBackward0>)",91.61820793151855
46,46,12.27,"tensor(538.3667, device='cuda:0', grad_fn=<AddBackward0>)",91.60665392875671
47,47,12.29,"tensor(538.3015, device='cuda:0', grad_fn=<AddBackward0>)",91.59503078460692
48,48,12.31,"tensor(538.2385, device='cuda:0', grad_fn=<AddBackward0>)",91.58331847190856
49,49,12.32,"tensor(538.1725, device='cuda:0', grad_fn=<AddBackward0>)",91.57153797149658
50,50,12.35,"tensor(538.1044, device='cuda:0', grad_fn=<AddBackward0>)",91.55966424942017
51,51,12.35,"tensor(538.0380, device='cuda:0', grad_fn=<AddBackward0>)",91.5477192401886
52,52,12.38,"tensor(537.9720, device='cuda:0', grad_fn=<AddBackward0>)",91.53567457199097
53,53,12.39,"tensor(537.9014, device='cuda:0', grad_fn=<AddBackward0>)",91.52355551719666
54,54,12.43,"tensor(537.8343, device='cuda:0', grad_fn=<AddBackward0>)",91.51135063171388
55,55,12.45,"tensor(537.7621, device='cuda:0', grad_fn=<AddBackward0>)",91.49904799461363
56,56,12.48,"tensor(537.6899, device='cuda:0', grad_fn=<AddBackward0>)",91.48665165901184
57,57,12.5,"tensor(537.6093, device='cuda:0', grad_fn=<AddBackward0>)",91.47414970397948
58,58,12.51,"tensor(537.5394, device='cuda:0', grad_fn=<AddBackward0>)",91.46155023574828
59,59,12.56,"tensor(537.4730, device='cuda:0', grad_fn=<AddBackward0>)",91.44885492324828
60,60,12.6,"tensor(537.4016, device='cuda:0', grad_fn=<AddBackward0>)",91.4360613822937
61,61,12.64,"tensor(537.3280, device='cuda:0', grad_fn=<AddBackward0>)",91.4231595993042
62,62,12.66,"tensor(537.2508, device='cuda:0', grad_fn=<AddBackward0>)",91.41013598442078
63,63,12.67,"tensor(537.1798, device='cuda:0', grad_fn=<AddBackward0>)",91.3969943523407
64,64,12.7,"tensor(537.1011, device='cuda:0', grad_fn=<AddBackward0>)",91.38373064994812
65,65,12.71,"tensor(537.0234, device='cuda:0', grad_fn=<AddBackward0>)",91.3703589439392
66,66,12.71,"tensor(536.9512, device='cuda:0', grad_fn=<AddBackward0>)",91.35685634613036
