,epoch,test_accuracy,train_loss,test_loss
0,0,10.28,"tensor(55.3265, device='cuda:0', grad_fn=<AddBackward0>)",92.2091178894043
1,1,10.31,"tensor(55.3062, device='cuda:0', grad_fn=<AddBackward0>)",92.18287801742554
2,2,10.31,"tensor(55.2896, device='cuda:0', grad_fn=<AddBackward0>)",92.15721774101256
3,3,10.32,"tensor(55.2791, device='cuda:0', grad_fn=<AddBackward0>)",92.1324017047882
4,4,10.32,"tensor(55.2685, device='cuda:0', grad_fn=<AddBackward0>)",92.10817766189577
5,5,10.34,"tensor(55.2491, device='cuda:0', grad_fn=<AddBackward0>)",92.08464789390564
6,6,10.34,"tensor(55.2342, device='cuda:0', grad_fn=<AddBackward0>)",92.06165313720705
7,7,10.33,"tensor(55.2200, device='cuda:0', grad_fn=<AddBackward0>)",92.03895449638368
8,8,10.36,"tensor(55.2069, device='cuda:0', grad_fn=<AddBackward0>)",92.01679372787476
9,9,10.37,"tensor(55.2009, device='cuda:0', grad_fn=<AddBackward0>)",91.99472665786745
10,10,10.44,"tensor(55.1857, device='cuda:0', grad_fn=<AddBackward0>)",91.9729619026184
11,11,10.44,"tensor(55.1741, device='cuda:0', grad_fn=<AddBackward0>)",91.95175409317017
12,12,10.45,"tensor(55.1616, device='cuda:0', grad_fn=<AddBackward0>)",91.9308307170868
13,13,10.48,"tensor(55.1426, device='cuda:0', grad_fn=<AddBackward0>)",91.91027593612672
14,14,10.54,"tensor(55.1381, device='cuda:0', grad_fn=<AddBackward0>)",91.8900191783905
15,15,10.59,"tensor(55.1227, device='cuda:0', grad_fn=<AddBackward0>)",91.8698878288269
16,16,10.65,"tensor(55.1095, device='cuda:0', grad_fn=<AddBackward0>)",91.84971642494202
17,17,10.78,"tensor(55.0996, device='cuda:0', grad_fn=<AddBackward0>)",91.82976412773132
18,18,10.91,"tensor(55.0858, device='cuda:0', grad_fn=<AddBackward0>)",91.80972456932068
19,19,11.03,"tensor(55.0744, device='cuda:0', grad_fn=<AddBackward0>)",91.78983283042908
20,20,11.11,"tensor(55.0609, device='cuda:0', grad_fn=<AddBackward0>)",91.76970863342284
21,21,11.25,"tensor(55.0540, device='cuda:0', grad_fn=<AddBackward0>)",91.74940848350523
22,22,11.4,"tensor(55.0400, device='cuda:0', grad_fn=<AddBackward0>)",91.72901654243468
23,23,11.62,"tensor(55.0305, device='cuda:0', grad_fn=<AddBackward0>)",91.70840907096864
24,24,11.86,"tensor(55.0199, device='cuda:0', grad_fn=<AddBackward0>)",91.68778228759766
25,25,12.06,"tensor(55.0013, device='cuda:0', grad_fn=<AddBackward0>)",91.66712141036987
26,26,12.31,"tensor(54.9955, device='cuda:0', grad_fn=<AddBackward0>)",91.64620327949524
27,27,12.52,"tensor(54.9791, device='cuda:0', grad_fn=<AddBackward0>)",91.62518572807312
28,28,12.82,"tensor(54.9703, device='cuda:0', grad_fn=<AddBackward0>)",91.60386419296265
29,29,13.05,"tensor(54.9602, device='cuda:0', grad_fn=<AddBackward0>)",91.58219885826112
30,30,13.18,"tensor(54.9346, device='cuda:0', grad_fn=<AddBackward0>)",91.56055855751038
31,31,13.39,"tensor(54.9310, device='cuda:0', grad_fn=<AddBackward0>)",91.53872895240784
32,32,13.64,"tensor(54.9152, device='cuda:0', grad_fn=<AddBackward0>)",91.51668405532835
33,33,13.9,"tensor(54.8988, device='cuda:0', grad_fn=<AddBackward0>)",91.49417400360107
34,34,14.02,"tensor(54.8891, device='cuda:0', grad_fn=<AddBackward0>)",91.47158885002136
35,35,14.17,"tensor(54.8741, device='cuda:0', grad_fn=<AddBackward0>)",91.44870400428772
36,36,14.27,"tensor(54.8595, device='cuda:0', grad_fn=<AddBackward0>)",91.425541639328
37,37,14.39,"tensor(54.8408, device='cuda:0', grad_fn=<AddBackward0>)",91.40217471122742
38,38,14.57,"tensor(54.8307, device='cuda:0', grad_fn=<AddBackward0>)",91.3787043094635
39,39,14.76,"tensor(54.8210, device='cuda:0', grad_fn=<AddBackward0>)",91.35524129867554
40,40,15.03,"tensor(54.8092, device='cuda:0', grad_fn=<AddBackward0>)",91.3314859867096
41,41,15.2,"tensor(54.7941, device='cuda:0', grad_fn=<AddBackward0>)",91.30766439437866
42,42,15.34,"tensor(54.7786, device='cuda:0', grad_fn=<AddBackward0>)",91.28366565704346
43,43,15.45,"tensor(54.7588, device='cuda:0', grad_fn=<AddBackward0>)",91.25959372520448
44,44,15.58,"tensor(54.7482, device='cuda:0', grad_fn=<AddBackward0>)",91.23543930053712
45,45,15.77,"tensor(54.7326, device='cuda:0', grad_fn=<AddBackward0>)",91.21096777915956
46,46,15.99,"tensor(54.7096, device='cuda:0', grad_fn=<AddBackward0>)",91.1863124370575
47,47,16.05,"tensor(54.7052, device='cuda:0', grad_fn=<AddBackward0>)",91.1614384651184
48,48,16.23,"tensor(54.6861, device='cuda:0', grad_fn=<AddBackward0>)",91.1363890171051
49,49,16.35,"tensor(54.6736, device='cuda:0', grad_fn=<AddBackward0>)",91.11108565330504
50,50,16.5,"tensor(54.6599, device='cuda:0', grad_fn=<AddBackward0>)",91.08540105819702
51,51,16.6,"tensor(54.6472, device='cuda:0', grad_fn=<AddBackward0>)",91.05962896347046
52,52,16.83,"tensor(54.6312, device='cuda:0', grad_fn=<AddBackward0>)",91.03375959396362
53,53,17.1,"tensor(54.6157, device='cuda:0', grad_fn=<AddBackward0>)",91.00760316848756
54,54,17.32,"tensor(54.5959, device='cuda:0', grad_fn=<AddBackward0>)",90.98134326934814
55,55,17.51,"tensor(54.5781, device='cuda:0', grad_fn=<AddBackward0>)",90.95499539375304
56,56,17.9,"tensor(54.5697, device='cuda:0', grad_fn=<AddBackward0>)",90.92836093902588
57,57,18.28,"tensor(54.5517, device='cuda:0', grad_fn=<AddBackward0>)",90.90146803855896
