,epoch,test_accuracy,train_loss,test_loss
0,0,15.16,"tensor(54.9169, device='cuda:4', grad_fn=<AddBackward0>)",91.13353228569032
1,1,19.29,"tensor(54.5023, device='cuda:4', grad_fn=<AddBackward0>)",90.44423007965088
2,2,24.57,"tensor(54.1214, device='cuda:4', grad_fn=<AddBackward0>)",89.76241064071655
3,3,29.49,"tensor(53.7190, device='cuda:4', grad_fn=<AddBackward0>)",89.10377597808838
4,4,33.93,"tensor(53.3433, device='cuda:4', grad_fn=<AddBackward0>)",88.45828557014465
5,5,38.35,"tensor(52.9609, device='cuda:4', grad_fn=<AddBackward0>)",87.8077986240387
6,6,41.06,"tensor(52.5779, device='cuda:4', grad_fn=<AddBackward0>)",87.15425491333008
7,7,43.72,"tensor(52.2056, device='cuda:4', grad_fn=<AddBackward0>)",86.49456143379211
8,8,46.47,"tensor(51.8224, device='cuda:4', grad_fn=<AddBackward0>)",85.82272219657898
9,9,48.66,"tensor(51.4143, device='cuda:4', grad_fn=<AddBackward0>)",85.13856410980225
10,10,50.54,"tensor(51.0151, device='cuda:4', grad_fn=<AddBackward0>)",84.4420268535614
11,11,52.55,"tensor(50.6011, device='cuda:4', grad_fn=<AddBackward0>)",83.73152112960815
12,12,53.55,"tensor(50.1905, device='cuda:4', grad_fn=<AddBackward0>)",83.00787448883057
13,13,54.78,"tensor(49.7617, device='cuda:4', grad_fn=<AddBackward0>)",82.26869082450867
14,14,56.36,"tensor(49.3270, device='cuda:4', grad_fn=<AddBackward0>)",81.51451587677002
15,15,57.41,"tensor(48.8772, device='cuda:4', grad_fn=<AddBackward0>)",80.74492084980011
16,16,58.36,"tensor(48.4297, device='cuda:4', grad_fn=<AddBackward0>)",79.95797121524811
17,17,59.07,"tensor(47.9546, device='cuda:4', grad_fn=<AddBackward0>)",79.15067207813263
18,18,59.85,"tensor(47.4807, device='cuda:4', grad_fn=<AddBackward0>)",78.32098114490509
19,19,60.4,"tensor(46.9922, device='cuda:4', grad_fn=<AddBackward0>)",77.46377742290497
20,20,60.4,"tensor(46.4668, device='cuda:4', grad_fn=<AddBackward0>)",76.59426379203796
21,21,61.02,"tensor(45.9655, device='cuda:4', grad_fn=<AddBackward0>)",75.71785259246826
22,22,61.99,"tensor(45.4513, device='cuda:4', grad_fn=<AddBackward0>)",74.83383846282959
23,23,62.87,"tensor(44.9407, device='cuda:4', grad_fn=<AddBackward0>)",73.93991267681122
24,24,63.41,"tensor(44.4201, device='cuda:4', grad_fn=<AddBackward0>)",73.03518855571747
25,25,63.89,"tensor(43.8743, device='cuda:4', grad_fn=<AddBackward0>)",72.12312245368958
26,26,64.24,"tensor(43.3354, device='cuda:4', grad_fn=<AddBackward0>)",71.20021784305573
27,27,65.07,"tensor(42.8330, device='cuda:4', grad_fn=<AddBackward0>)",70.27495503425598
28,28,65.64,"tensor(42.2453, device='cuda:4', grad_fn=<AddBackward0>)",69.34469449520111
29,29,66.05,"tensor(41.6825, device='cuda:4', grad_fn=<AddBackward0>)",68.4121960401535
30,30,66.67,"tensor(41.1974, device='cuda:4', grad_fn=<AddBackward0>)",67.47992098331451
31,31,67.26,"tensor(40.5977, device='cuda:4', grad_fn=<AddBackward0>)",66.54565620422363
32,32,67.74,"tensor(40.0907, device='cuda:4', grad_fn=<AddBackward0>)",65.61507427692413
33,33,68.11,"tensor(39.5034, device='cuda:4', grad_fn=<AddBackward0>)",64.68652832508087
34,34,68.53,"tensor(38.9734, device='cuda:4', grad_fn=<AddBackward0>)",63.76076197624207
35,35,69.06,"tensor(38.4303, device='cuda:4', grad_fn=<AddBackward0>)",62.84499299526215
36,36,69.13,"tensor(37.8609, device='cuda:4', grad_fn=<AddBackward0>)",61.929834842681885
37,37,69.69,"tensor(37.3553, device='cuda:4', grad_fn=<AddBackward0>)",61.0279586315155
38,38,70.66,"tensor(36.8256, device='cuda:4', grad_fn=<AddBackward0>)",60.13232469558716
39,39,70.82,"tensor(36.2916, device='cuda:4', grad_fn=<AddBackward0>)",59.24694609642029
40,40,71.33,"tensor(35.8077, device='cuda:4', grad_fn=<AddBackward0>)",58.37098968029022
41,41,71.79,"tensor(35.2811, device='cuda:4', grad_fn=<AddBackward0>)",57.50924277305603
42,42,72.15,"tensor(34.7538, device='cuda:4', grad_fn=<AddBackward0>)",56.65887010097504
43,43,72.3,"tensor(34.2143, device='cuda:4', grad_fn=<AddBackward0>)",55.81553256511688
44,44,72.77,"tensor(33.7807, device='cuda:4', grad_fn=<AddBackward0>)",54.98532390594482
