,epoch,test_accuracy,train_loss,test_loss
0,0,45.41,"tensor(54.1081, device='cuda:0', grad_fn=<AddBackward0>)",87.90991258621216
1,1,62.09,"tensor(51.7223, device='cuda:0', grad_fn=<AddBackward0>)",84.07402968406677
2,2,66.7,"tensor(49.3745, device='cuda:0', grad_fn=<AddBackward0>)",79.96657955646515
3,3,70.96,"tensor(46.9224, device='cuda:0', grad_fn=<AddBackward0>)",75.74196481704712
4,4,73.54,"tensor(44.4252, device='cuda:0', grad_fn=<AddBackward0>)",71.50355994701385
5,5,73.52,"tensor(41.9065, device='cuda:0', grad_fn=<AddBackward0>)",67.2927896976471
6,6,73.65,"tensor(39.4681, device='cuda:0', grad_fn=<AddBackward0>)",63.20936477184296
7,7,75.1,"tensor(37.0777, device='cuda:0', grad_fn=<AddBackward0>)",59.279839634895325
8,8,75.46,"tensor(34.8197, device='cuda:0', grad_fn=<AddBackward0>)",55.59834158420563
9,9,76.62,"tensor(32.7621, device='cuda:0', grad_fn=<AddBackward0>)",52.2525976896286
10,10,78.16,"tensor(30.8467, device='cuda:0', grad_fn=<AddBackward0>)",49.12369936704636
11,11,80.74,"tensor(29.0957, device='cuda:0', grad_fn=<AddBackward0>)",46.284749031066895
12,12,80.76,"tensor(27.4922, device='cuda:0', grad_fn=<AddBackward0>)",43.74833804368973
13,13,81.15,"tensor(26.0634, device='cuda:0', grad_fn=<AddBackward0>)",41.40417742729187
14,14,81.91,"tensor(24.6414, device='cuda:0', grad_fn=<AddBackward0>)",39.3662571310997
15,15,82.54,"tensor(23.5095, device='cuda:0', grad_fn=<AddBackward0>)",37.41203832626343
16,16,83.46,"tensor(22.3980, device='cuda:0', grad_fn=<AddBackward0>)",35.70151489973068
17,17,83.62,"tensor(21.4022, device='cuda:0', grad_fn=<AddBackward0>)",34.11862498521805
18,18,83.69,"tensor(20.5026, device='cuda:0', grad_fn=<AddBackward0>)",32.71803870797157
19,19,84.25,"tensor(19.6438, device='cuda:0', grad_fn=<AddBackward0>)",31.42324423789978
20,20,84.98,"tensor(18.9636, device='cuda:0', grad_fn=<AddBackward0>)",30.216322630643845
21,21,85.32,"tensor(18.3118, device='cuda:0', grad_fn=<AddBackward0>)",29.149953484535217
22,22,85.25,"tensor(17.6532, device='cuda:0', grad_fn=<AddBackward0>)",28.21180871129036
23,23,85.72,"tensor(17.1149, device='cuda:0', grad_fn=<AddBackward0>)",27.3018756210804
24,24,86.05,"tensor(16.5969, device='cuda:0', grad_fn=<AddBackward0>)",26.513833910226825
25,25,86.3,"tensor(16.1742, device='cuda:0', grad_fn=<AddBackward0>)",25.825290501117703
26,26,86.47,"tensor(15.7093, device='cuda:0', grad_fn=<AddBackward0>)",25.12858617305756
27,27,86.49,"tensor(15.2712, device='cuda:0', grad_fn=<AddBackward0>)",24.543129831552505
28,28,86.83,"tensor(15.0569, device='cuda:0', grad_fn=<AddBackward0>)",23.94179867208004
29,29,86.9,"tensor(14.6635, device='cuda:0', grad_fn=<AddBackward0>)",23.40556569397449
30,30,86.82,"tensor(14.3681, device='cuda:0', grad_fn=<AddBackward0>)",22.9562995582819
31,31,87.0,"tensor(14.0684, device='cuda:0', grad_fn=<AddBackward0>)",22.49829761683941
32,32,87.07,"tensor(13.6918, device='cuda:0', grad_fn=<AddBackward0>)",22.08477789163589
33,33,87.23,"tensor(13.4884, device='cuda:0', grad_fn=<AddBackward0>)",21.69515335559845
34,34,87.43,"tensor(13.2801, device='cuda:0', grad_fn=<AddBackward0>)",21.311228722333908
35,35,87.57,"tensor(13.0036, device='cuda:0', grad_fn=<AddBackward0>)",20.96516413986683
36,36,87.47,"tensor(12.8649, device='cuda:0', grad_fn=<AddBackward0>)",20.71319879591465
37,37,87.89,"tensor(12.7235, device='cuda:0', grad_fn=<AddBackward0>)",20.336695700883865
38,38,87.8,"tensor(12.4607, device='cuda:0', grad_fn=<AddBackward0>)",20.066693425178528
39,39,87.78,"tensor(12.3244, device='cuda:0', grad_fn=<AddBackward0>)",19.813108816742897
40,40,87.99,"tensor(12.0953, device='cuda:0', grad_fn=<AddBackward0>)",19.525587499141693
41,41,88.17,"tensor(12.0425, device='cuda:0', grad_fn=<AddBackward0>)",19.34665982425213
42,42,88.16,"tensor(11.7981, device='cuda:0', grad_fn=<AddBackward0>)",19.07177795469761
43,43,88.09,"tensor(11.6805, device='cuda:0', grad_fn=<AddBackward0>)",18.90586802363396
44,44,88.08,"tensor(11.5130, device='cuda:0', grad_fn=<AddBackward0>)",18.688891351222992
45,45,88.4,"tensor(11.4234, device='cuda:0', grad_fn=<AddBackward0>)",18.42914780974388
46,46,88.38,"tensor(11.3452, device='cuda:0', grad_fn=<AddBackward0>)",18.246592789888386
47,47,88.35,"tensor(11.2200, device='cuda:0', grad_fn=<AddBackward0>)",18.13478352874517
48,48,88.61,"tensor(11.0622, device='cuda:0', grad_fn=<AddBackward0>)",17.962053030729294
49,49,88.73,"tensor(10.9886, device='cuda:0', grad_fn=<AddBackward0>)",17.735026143491268
50,50,88.79,"tensor(10.9457, device='cuda:0', grad_fn=<AddBackward0>)",17.57609736174345
51,51,88.8,"tensor(10.8104, device='cuda:0', grad_fn=<AddBackward0>)",17.442049138247967
52,52,88.92,"tensor(10.6186, device='cuda:0', grad_fn=<AddBackward0>)",17.299302846193314
53,53,89.0,"tensor(10.5644, device='cuda:0', grad_fn=<AddBackward0>)",17.143423475325108
54,54,88.92,"tensor(10.4822, device='cuda:0', grad_fn=<AddBackward0>)",17.080931201577187
55,55,88.8,"tensor(10.5062, device='cuda:0', grad_fn=<AddBackward0>)",16.934586085379124
56,56,89.07,"tensor(10.3492, device='cuda:0', grad_fn=<AddBackward0>)",16.78900344669819
57,57,89.1,"tensor(10.2303, device='cuda:0', grad_fn=<AddBackward0>)",16.708707362413406
58,58,89.19,"tensor(10.1917, device='cuda:0', grad_fn=<AddBackward0>)",16.568594351410866
59,59,89.08,"tensor(10.0794, device='cuda:0', grad_fn=<AddBackward0>)",16.47299115359783
60,60,88.98,"tensor(10.0554, device='cuda:0', grad_fn=<AddBackward0>)",16.417073257267475
61,61,89.24,"tensor(9.8978, device='cuda:0', grad_fn=<AddBackward0>)",16.23510342091322
62,62,89.14,"tensor(9.8574, device='cuda:0', grad_fn=<AddBackward0>)",16.16107138246298
63,63,89.15,"tensor(9.9231, device='cuda:0', grad_fn=<AddBackward0>)",16.077877327799797
