,epoch,test_accuracy,train_loss,test_loss
0,0,13.48,"tensor(55.2700, device='cuda:0', grad_fn=<AddBackward0>)",92.13532567024232
1,1,13.51,"tensor(55.2580, device='cuda:0', grad_fn=<AddBackward0>)",92.11019110679626
2,2,13.56,"tensor(55.2466, device='cuda:0', grad_fn=<AddBackward0>)",92.08519625663756
3,3,13.63,"tensor(55.2280, device='cuda:0', grad_fn=<AddBackward0>)",92.06031084060668
4,4,13.74,"tensor(55.2115, device='cuda:0', grad_fn=<AddBackward0>)",92.03541016578674
5,5,13.82,"tensor(55.1993, device='cuda:0', grad_fn=<AddBackward0>)",92.01069974899292
6,6,13.87,"tensor(55.1829, device='cuda:0', grad_fn=<AddBackward0>)",91.9859893321991
7,7,13.95,"tensor(55.1668, device='cuda:0', grad_fn=<AddBackward0>)",91.96152997016908
8,8,14.05,"tensor(55.1560, device='cuda:0', grad_fn=<AddBackward0>)",91.93707418441772
9,9,14.19,"tensor(55.1451, device='cuda:0', grad_fn=<AddBackward0>)",91.91257190704346
10,10,14.24,"tensor(55.1225, device='cuda:0', grad_fn=<AddBackward0>)",91.8883581161499
11,11,14.33,"tensor(55.1196, device='cuda:0', grad_fn=<AddBackward0>)",91.86422657966614
12,12,14.41,"tensor(55.1018, device='cuda:0', grad_fn=<AddBackward0>)",91.8401575088501
13,13,14.51,"tensor(55.0835, device='cuda:0', grad_fn=<AddBackward0>)",91.81616187095642
14,14,14.59,"tensor(55.0753, device='cuda:0', grad_fn=<AddBackward0>)",91.792249917984
15,15,14.61,"tensor(55.0697, device='cuda:0', grad_fn=<AddBackward0>)",91.7682740688324
16,16,14.69,"tensor(55.0559, device='cuda:0', grad_fn=<AddBackward0>)",91.74441528320312
17,17,14.69,"tensor(55.0369, device='cuda:0', grad_fn=<AddBackward0>)",91.72073817253111
18,18,14.82,"tensor(55.0236, device='cuda:0', grad_fn=<AddBackward0>)",91.69728112220764
19,19,14.9,"tensor(55.0049, device='cuda:0', grad_fn=<AddBackward0>)",91.67386746406557
20,20,14.97,"tensor(54.9859, device='cuda:0', grad_fn=<AddBackward0>)",91.65068769454956
21,21,15.05,"tensor(54.9765, device='cuda:0', grad_fn=<AddBackward0>)",91.62749361991882
22,22,15.12,"tensor(54.9590, device='cuda:0', grad_fn=<AddBackward0>)",91.60414481163023
23,23,15.24,"tensor(54.9448, device='cuda:0', grad_fn=<AddBackward0>)",91.5811004638672
24,24,15.34,"tensor(54.9405, device='cuda:0', grad_fn=<AddBackward0>)",91.55788064002992
25,25,15.37,"tensor(54.9169, device='cuda:0', grad_fn=<AddBackward0>)",91.53492069244383
26,26,15.51,"tensor(54.9102, device='cuda:0', grad_fn=<AddBackward0>)",91.51201558113098
27,27,15.55,"tensor(54.8990, device='cuda:0', grad_fn=<AddBackward0>)",91.48916530609132
28,28,15.61,"tensor(54.8755, device='cuda:0', grad_fn=<AddBackward0>)",91.4664433002472
29,29,15.65,"tensor(54.8658, device='cuda:0', grad_fn=<AddBackward0>)",91.44371342658997
30,30,15.77,"tensor(54.8552, device='cuda:0', grad_fn=<AddBackward0>)",91.421067237854
