,epoch,test_accuracy,train_loss,test_loss
0,0,29.34,"tensor(54.4178, device='cuda:4', grad_fn=<AddBackward0>)",88.61242127418518
1,1,41.29,"tensor(52.1943, device='cuda:4', grad_fn=<AddBackward0>)",85.09468173980713
2,2,51.98,"tensor(50.2014, device='cuda:4', grad_fn=<AddBackward0>)",81.79089653491974
3,3,58.97,"tensor(48.3244, device='cuda:4', grad_fn=<AddBackward0>)",78.57606041431427
4,4,64.49,"tensor(46.4349, device='cuda:4', grad_fn=<AddBackward0>)",75.43309962749481
5,5,67.7,"tensor(44.6323, device='cuda:4', grad_fn=<AddBackward0>)",72.44783699512482
6,6,70.21,"tensor(42.9452, device='cuda:4', grad_fn=<AddBackward0>)",69.62027966976166
7,7,72.0,"tensor(41.3130, device='cuda:4', grad_fn=<AddBackward0>)",66.97863447666168
8,8,73.48,"tensor(39.8262, device='cuda:4', grad_fn=<AddBackward0>)",64.49080562591553
9,9,74.85,"tensor(38.4150, device='cuda:4', grad_fn=<AddBackward0>)",62.15794062614441
10,10,75.61,"tensor(37.0628, device='cuda:4', grad_fn=<AddBackward0>)",59.969228625297546
11,11,76.58,"tensor(35.8647, device='cuda:4', grad_fn=<AddBackward0>)",57.91619539260864
12,12,76.92,"tensor(34.6716, device='cuda:4', grad_fn=<AddBackward0>)",56.01384007930756
13,13,77.86,"tensor(33.6015, device='cuda:4', grad_fn=<AddBackward0>)",54.245041608810425
14,14,78.65,"tensor(32.5764, device='cuda:4', grad_fn=<AddBackward0>)",52.59392535686493
15,15,79.25,"tensor(31.6417, device='cuda:4', grad_fn=<AddBackward0>)",51.03269290924072
16,16,79.45,"tensor(30.7017, device='cuda:4', grad_fn=<AddBackward0>)",49.57946527004242
17,17,80.04,"tensor(29.9136, device='cuda:4', grad_fn=<AddBackward0>)",48.2152983546257
18,18,80.26,"tensor(29.0930, device='cuda:4', grad_fn=<AddBackward0>)",46.942602694034576
19,19,80.69,"tensor(28.3720, device='cuda:4', grad_fn=<AddBackward0>)",45.729585111141205
20,20,81.11,"tensor(27.7100, device='cuda:4', grad_fn=<AddBackward0>)",44.6130074262619
21,21,81.44,"tensor(27.0137, device='cuda:4', grad_fn=<AddBackward0>)",43.544806241989136
22,22,81.52,"tensor(26.3669, device='cuda:4', grad_fn=<AddBackward0>)",42.53136533498764
23,23,82.0,"tensor(25.7772, device='cuda:4', grad_fn=<AddBackward0>)",41.57656764984131
24,24,82.18,"tensor(25.2818, device='cuda:4', grad_fn=<AddBackward0>)",40.67476278543472
25,25,82.31,"tensor(24.6957, device='cuda:4', grad_fn=<AddBackward0>)",39.82884705066681
26,26,82.43,"tensor(24.2589, device='cuda:4', grad_fn=<AddBackward0>)",39.02858674526215
27,27,82.77,"tensor(23.7657, device='cuda:4', grad_fn=<AddBackward0>)",38.268721759319305
28,28,83.1,"tensor(23.3726, device='cuda:4', grad_fn=<AddBackward0>)",37.5410350561142
29,29,83.43,"tensor(22.9706, device='cuda:4', grad_fn=<AddBackward0>)",36.86641591787338
30,30,83.34,"tensor(22.5127, device='cuda:4', grad_fn=<AddBackward0>)",36.20324629545212
31,31,83.67,"tensor(22.1533, device='cuda:4', grad_fn=<AddBackward0>)",35.58722627162933
32,32,83.72,"tensor(21.7564, device='cuda:4', grad_fn=<AddBackward0>)",34.99972474575043
33,33,83.94,"tensor(21.4650, device='cuda:4', grad_fn=<AddBackward0>)",34.43854856491089
34,34,84.01,"tensor(21.0973, device='cuda:4', grad_fn=<AddBackward0>)",33.90163001418114
35,35,84.12,"tensor(20.8164, device='cuda:4', grad_fn=<AddBackward0>)",33.39492693543434
36,36,84.21,"tensor(20.5596, device='cuda:4', grad_fn=<AddBackward0>)",32.93386855721474
37,37,84.24,"tensor(20.2607, device='cuda:4', grad_fn=<AddBackward0>)",32.46058547496796
38,38,84.32,"tensor(19.8752, device='cuda:4', grad_fn=<AddBackward0>)",32.00046157836914
