,epoch,test_accuracy,train_loss,test_loss
0,0,8.54,"tensor(55.8890, device='cuda:0', grad_fn=<AddBackward0>)",93.42051410675047
1,1,26.22,"tensor(54.7244, device='cuda:0', grad_fn=<AddBackward0>)",89.27433729171753
2,2,37.72,"tensor(52.5931, device='cuda:0', grad_fn=<AddBackward0>)",86.02586102485657
3,3,47.5,"tensor(50.8076, device='cuda:0', grad_fn=<AddBackward0>)",83.07272696495056
4,4,55.57,"tensor(49.1447, device='cuda:0', grad_fn=<AddBackward0>)",80.32023072242737
5,5,59.88,"tensor(47.5679, device='cuda:0', grad_fn=<AddBackward0>)",77.69905459880829
6,6,64.67,"tensor(46.0440, device='cuda:0', grad_fn=<AddBackward0>)",75.193976521492
7,7,66.51,"tensor(44.6169, device='cuda:0', grad_fn=<AddBackward0>)",72.78199887275696
8,8,68.45,"tensor(43.2249, device='cuda:0', grad_fn=<AddBackward0>)",70.46935594081879
9,9,70.82,"tensor(41.9440, device='cuda:0', grad_fn=<AddBackward0>)",68.27527022361755
10,10,71.79,"tensor(40.5924, device='cuda:0', grad_fn=<AddBackward0>)",66.15746986865997
11,11,72.65,"tensor(39.4242, device='cuda:0', grad_fn=<AddBackward0>)",64.1447365283966
12,12,74.07,"tensor(38.3299, device='cuda:0', grad_fn=<AddBackward0>)",62.25917160511017
13,13,74.52,"tensor(37.1789, device='cuda:0', grad_fn=<AddBackward0>)",60.460853815078735
14,14,75.26,"tensor(36.1418, device='cuda:0', grad_fn=<AddBackward0>)",58.76985967159271
15,15,75.83,"tensor(35.1987, device='cuda:0', grad_fn=<AddBackward0>)",57.15623891353607
16,16,76.45,"tensor(34.2726, device='cuda:0', grad_fn=<AddBackward0>)",55.62008714675903
17,17,77.1,"tensor(33.3857, device='cuda:0', grad_fn=<AddBackward0>)",54.17460262775421
18,18,77.54,"tensor(32.5866, device='cuda:0', grad_fn=<AddBackward0>)",52.81872260570526
19,19,77.77,"tensor(31.7224, device='cuda:0', grad_fn=<AddBackward0>)",51.5303418636322
20,20,78.55,"tensor(31.0489, device='cuda:0', grad_fn=<AddBackward0>)",50.31891286373138
21,21,78.68,"tensor(30.3141, device='cuda:0', grad_fn=<AddBackward0>)",49.166494607925415
22,22,78.96,"tensor(29.6305, device='cuda:0', grad_fn=<AddBackward0>)",48.08282661437988
23,23,79.32,"tensor(29.0325, device='cuda:0', grad_fn=<AddBackward0>)",47.05720007419586
24,24,79.91,"tensor(28.4574, device='cuda:0', grad_fn=<AddBackward0>)",46.07931250333786
25,25,80.19,"tensor(27.8573, device='cuda:0', grad_fn=<AddBackward0>)",45.15052103996277
26,26,80.55,"tensor(27.3516, device='cuda:0', grad_fn=<AddBackward0>)",44.2717267870903
27,27,80.69,"tensor(26.7684, device='cuda:0', grad_fn=<AddBackward0>)",43.43786281347275
28,28,80.89,"tensor(26.2709, device='cuda:0', grad_fn=<AddBackward0>)",42.639164686203
29,29,81.07,"tensor(25.8103, device='cuda:0', grad_fn=<AddBackward0>)",41.88481736183167
30,30,81.18,"tensor(25.3597, device='cuda:0', grad_fn=<AddBackward0>)",41.16090136766434
31,31,81.33,"tensor(24.9437, device='cuda:0', grad_fn=<AddBackward0>)",40.47495889663696
32,32,81.65,"tensor(24.5463, device='cuda:0', grad_fn=<AddBackward0>)",39.807408690452576
33,33,81.81,"tensor(24.1936, device='cuda:0', grad_fn=<AddBackward0>)",39.18034762144089
34,34,82.02,"tensor(23.8010, device='cuda:0', grad_fn=<AddBackward0>)",38.583418905735016
35,35,82.05,"tensor(23.4715, device='cuda:0', grad_fn=<AddBackward0>)",38.00993722677231
36,36,82.45,"tensor(23.1395, device='cuda:0', grad_fn=<AddBackward0>)",37.46309405565262
37,37,82.5,"tensor(22.7720, device='cuda:0', grad_fn=<AddBackward0>)",36.929612040519714
38,38,82.76,"tensor(22.4390, device='cuda:0', grad_fn=<AddBackward0>)",36.42097246646881
39,39,82.9,"tensor(22.1953, device='cuda:0', grad_fn=<AddBackward0>)",35.94153946638107
40,40,83.17,"tensor(21.8260, device='cuda:0', grad_fn=<AddBackward0>)",35.4774432182312
41,41,83.17,"tensor(21.5409, device='cuda:0', grad_fn=<AddBackward0>)",35.0341232419014
42,42,83.26,"tensor(21.3084, device='cuda:0', grad_fn=<AddBackward0>)",34.604490250349045
43,43,83.38,"tensor(21.0821, device='cuda:0', grad_fn=<AddBackward0>)",34.19362735748291
44,44,83.39,"tensor(20.8258, device='cuda:0', grad_fn=<AddBackward0>)",33.798743814229965
45,45,83.75,"tensor(20.6129, device='cuda:0', grad_fn=<AddBackward0>)",33.41600960493088
46,46,83.77,"tensor(20.3487, device='cuda:0', grad_fn=<AddBackward0>)",33.04498729109764
47,47,84.0,"tensor(20.1421, device='cuda:0', grad_fn=<AddBackward0>)",32.689942449331284
48,48,83.94,"tensor(19.9689, device='cuda:0', grad_fn=<AddBackward0>)",32.34579163789749
49,49,84.02,"tensor(19.6791, device='cuda:0', grad_fn=<AddBackward0>)",32.01274514198303
50,50,84.28,"tensor(19.5837, device='cuda:0', grad_fn=<AddBackward0>)",31.69205206632614
51,51,84.34,"tensor(19.3631, device='cuda:0', grad_fn=<AddBackward0>)",31.3791778087616
52,52,84.39,"tensor(19.1894, device='cuda:0', grad_fn=<AddBackward0>)",31.07504990696907
53,53,84.55,"tensor(18.9638, device='cuda:0', grad_fn=<AddBackward0>)",30.78203856945038
54,54,84.59,"tensor(18.7887, device='cuda:0', grad_fn=<AddBackward0>)",30.505390912294388
55,55,84.59,"tensor(18.6709, device='cuda:0', grad_fn=<AddBackward0>)",30.228304833173752
56,56,84.75,"tensor(18.4925, device='cuda:0', grad_fn=<AddBackward0>)",29.963218241930008
57,57,84.76,"tensor(18.2682, device='cuda:0', grad_fn=<AddBackward0>)",29.70529517531395
58,58,84.9,"tensor(18.1008, device='cuda:0', grad_fn=<AddBackward0>)",29.45556804537773
59,59,84.96,"tensor(18.0157, device='cuda:0', grad_fn=<AddBackward0>)",29.20777761936188
60,60,85.1,"tensor(17.8515, device='cuda:0', grad_fn=<AddBackward0>)",28.97534903883934
61,61,85.14,"tensor(17.6691, device='cuda:0', grad_fn=<AddBackward0>)",28.742385029792786
62,62,85.25,"tensor(17.5509, device='cuda:0', grad_fn=<AddBackward0>)",28.51999109983444
63,63,85.24,"tensor(17.3914, device='cuda:0', grad_fn=<AddBackward0>)",28.304010838270187
64,64,85.33,"tensor(17.2904, device='cuda:0', grad_fn=<AddBackward0>)",28.09318658709526
65,65,85.37,"tensor(17.1639, device='cuda:0', grad_fn=<AddBackward0>)",27.892735958099365
66,66,85.46,"tensor(17.0739, device='cuda:0', grad_fn=<AddBackward0>)",27.68853893876076
67,67,85.45,"tensor(16.8951, device='cuda:0', grad_fn=<AddBackward0>)",27.497723758220676
68,68,85.47,"tensor(16.8177, device='cuda:0', grad_fn=<AddBackward0>)",27.30593290925026
69,69,85.51,"tensor(16.7653, device='cuda:0', grad_fn=<AddBackward0>)",27.121893852949142
70,70,85.61,"tensor(16.5632, device='cuda:0', grad_fn=<AddBackward0>)",26.949194818735123
71,71,85.61,"tensor(16.5211, device='cuda:0', grad_fn=<AddBackward0>)",26.770022839307785
72,72,85.68,"tensor(16.4179, device='cuda:0', grad_fn=<AddBackward0>)",26.597047805786133
73,73,85.61,"tensor(16.2691, device='cuda:0', grad_fn=<AddBackward0>)",26.435498535633087
74,74,85.66,"tensor(16.1737, device='cuda:0', grad_fn=<AddBackward0>)",26.26955366134644
75,75,85.68,"tensor(16.0617, device='cuda:0', grad_fn=<AddBackward0>)",26.10909843444824
76,76,85.79,"tensor(15.9729, device='cuda:0', grad_fn=<AddBackward0>)",25.954912453889847
77,77,85.79,"tensor(15.8430, device='cuda:0', grad_fn=<AddBackward0>)",25.80425038933754
78,78,85.79,"tensor(15.8078, device='cuda:0', grad_fn=<AddBackward0>)",25.65816831588745
79,79,85.83,"tensor(15.6879, device='cuda:0', grad_fn=<AddBackward0>)",25.515975177288052
80,80,85.82,"tensor(15.5394, device='cuda:0', grad_fn=<AddBackward0>)",25.373430907726288
81,81,85.86,"tensor(15.5440, device='cuda:0', grad_fn=<AddBackward0>)",25.23365119099617
82,82,85.95,"tensor(15.3702, device='cuda:0', grad_fn=<AddBackward0>)",25.095995128154755
83,83,85.94,"tensor(15.3698, device='cuda:0', grad_fn=<AddBackward0>)",24.96309500932693
84,84,85.98,"tensor(15.2578, device='cuda:0', grad_fn=<AddBackward0>)",24.837800085544583
85,85,85.99,"tensor(15.1823, device='cuda:0', grad_fn=<AddBackward0>)",24.708106338977814
86,86,86.13,"tensor(15.1328, device='cuda:0', grad_fn=<AddBackward0>)",24.581463620066643
87,87,86.11,"tensor(15.0472, device='cuda:0', grad_fn=<AddBackward0>)",24.46228104829788
88,88,86.17,"tensor(14.9273, device='cuda:0', grad_fn=<AddBackward0>)",24.340687945485115
89,89,86.21,"tensor(14.9183, device='cuda:0', grad_fn=<AddBackward0>)",24.227342754602432
90,90,86.29,"tensor(14.7919, device='cuda:0', grad_fn=<AddBackward0>)",24.116757676005363
91,91,86.3,"tensor(14.6934, device='cuda:0', grad_fn=<AddBackward0>)",23.998288810253143
92,92,86.27,"tensor(14.5994, device='cuda:0', grad_fn=<AddBackward0>)",23.887559071183205
93,93,86.28,"tensor(14.5997, device='cuda:0', grad_fn=<AddBackward0>)",23.779988676309586
94,94,86.27,"tensor(14.5496, device='cuda:0', grad_fn=<AddBackward0>)",23.66661089658737
95,95,86.32,"tensor(14.3984, device='cuda:0', grad_fn=<AddBackward0>)",23.565224766731266
96,96,86.43,"tensor(14.4410, device='cuda:0', grad_fn=<AddBackward0>)",23.46191895008087
97,97,86.47,"tensor(14.3207, device='cuda:0', grad_fn=<AddBackward0>)",23.35996331274509
98,98,86.49,"tensor(14.2788, device='cuda:0', grad_fn=<AddBackward0>)",23.26107415556908
99,99,86.53,"tensor(14.2221, device='cuda:0', grad_fn=<AddBackward0>)",23.17119288444519
100,100,86.56,"tensor(14.1465, device='cuda:0', grad_fn=<AddBackward0>)",23.07126423716545
101,101,86.56,"tensor(14.0945, device='cuda:0', grad_fn=<AddBackward0>)",22.97732885181904
102,102,86.66,"tensor(13.9802, device='cuda:0', grad_fn=<AddBackward0>)",22.885783284902573
103,103,86.74,"tensor(13.9956, device='cuda:0', grad_fn=<AddBackward0>)",22.797201842069622
104,104,86.71,"tensor(13.9568, device='cuda:0', grad_fn=<AddBackward0>)",22.70731185376644
105,105,86.77,"tensor(13.8665, device='cuda:0', grad_fn=<AddBackward0>)",22.61819836497307
106,106,86.8,"tensor(13.8661, device='cuda:0', grad_fn=<AddBackward0>)",22.531238928437237
107,107,86.85,"tensor(13.7211, device='cuda:0', grad_fn=<AddBackward0>)",22.446213945746425
108,108,86.85,"tensor(13.7010, device='cuda:0', grad_fn=<AddBackward0>)",22.365197032690048
109,109,86.89,"tensor(13.6088, device='cuda:0', grad_fn=<AddBackward0>)",22.281883150339127
110,110,86.91,"tensor(13.6039, device='cuda:0', grad_fn=<AddBackward0>)",22.200389117002487
111,111,86.91,"tensor(13.4891, device='cuda:0', grad_fn=<AddBackward0>)",22.12294453382492
112,112,86.92,"tensor(13.5488, device='cuda:0', grad_fn=<AddBackward0>)",22.042155280709267
113,113,86.94,"tensor(13.4762, device='cuda:0', grad_fn=<AddBackward0>)",21.965396761894223
114,114,87.04,"tensor(13.4899, device='cuda:0', grad_fn=<AddBackward0>)",21.88755898177624
115,115,87.0,"tensor(13.3391, device='cuda:0', grad_fn=<AddBackward0>)",21.8154786080122
116,116,87.02,"tensor(13.2922, device='cuda:0', grad_fn=<AddBackward0>)",21.74166715145111
117,117,87.01,"tensor(13.2612, device='cuda:0', grad_fn=<AddBackward0>)",21.67102493345737
118,118,87.05,"tensor(13.1538, device='cuda:0', grad_fn=<AddBackward0>)",21.601873472332954
