,epoch,test_accuracy,train_loss,test_loss
0,0,8.14,"tensor(55.8890, device='cuda:0', grad_fn=<AddBackward0>)",93.26918864250185
1,1,8.18,"tensor(55.8050, device='cuda:0', grad_fn=<AddBackward0>)",93.12036991119383
2,2,8.33,"tensor(55.6999, device='cuda:0', grad_fn=<AddBackward0>)",92.9745523929596
3,3,8.5,"tensor(55.6273, device='cuda:0', grad_fn=<AddBackward0>)",92.8313090801239
4,4,8.65,"tensor(55.5384, device='cuda:0', grad_fn=<AddBackward0>)",92.69102549552916
5,5,8.71,"tensor(55.4748, device='cuda:0', grad_fn=<AddBackward0>)",92.55221509933472
6,6,8.84,"tensor(55.3874, device='cuda:0', grad_fn=<AddBackward0>)",92.4161295890808
7,7,8.95,"tensor(55.3202, device='cuda:0', grad_fn=<AddBackward0>)",92.28142237663268
8,8,9.18,"tensor(55.2245, device='cuda:0', grad_fn=<AddBackward0>)",92.14938616752625
9,9,9.42,"tensor(55.1489, device='cuda:0', grad_fn=<AddBackward0>)",92.01995849609376
10,10,9.79,"tensor(55.0600, device='cuda:0', grad_fn=<AddBackward0>)",91.89151215553284
11,11,10.24,"tensor(55.0083, device='cuda:0', grad_fn=<AddBackward0>)",91.76562595367432
12,12,10.61,"tensor(54.9345, device='cuda:0', grad_fn=<AddBackward0>)",91.64153790473938
13,13,11.17,"tensor(54.8567, device='cuda:0', grad_fn=<AddBackward0>)",91.51777052879332
14,14,11.71,"tensor(54.7839, device='cuda:0', grad_fn=<AddBackward0>)",91.39597368240356
15,15,12.37,"tensor(54.7077, device='cuda:0', grad_fn=<AddBackward0>)",91.27677607536316
16,16,13.0,"tensor(54.6472, device='cuda:0', grad_fn=<AddBackward0>)",91.15783882141112
17,17,13.79,"tensor(54.5825, device='cuda:0', grad_fn=<AddBackward0>)",91.04081654548644
18,18,14.62,"tensor(54.5099, device='cuda:0', grad_fn=<AddBackward0>)",90.92557430267334
19,19,15.56,"tensor(54.4341, device='cuda:0', grad_fn=<AddBackward0>)",90.81045269966124
20,20,16.34,"tensor(54.3695, device='cuda:0', grad_fn=<AddBackward0>)",90.69780445098876
21,21,17.02,"tensor(54.3186, device='cuda:0', grad_fn=<AddBackward0>)",90.58523106575012
22,22,17.64,"tensor(54.2570, device='cuda:0', grad_fn=<AddBackward0>)",90.473552942276
23,23,18.23,"tensor(54.1914, device='cuda:0', grad_fn=<AddBackward0>)",90.3629560470581
24,24,18.98,"tensor(54.1160, device='cuda:0', grad_fn=<AddBackward0>)",90.25423002243042
25,25,19.74,"tensor(54.0573, device='cuda:0', grad_fn=<AddBackward0>)",90.14577579498292
26,26,20.46,"tensor(53.9967, device='cuda:0', grad_fn=<AddBackward0>)",90.03873658180237
27,27,21.29,"tensor(53.9235, device='cuda:0', grad_fn=<AddBackward0>)",89.9328281879425
28,28,22.13,"tensor(53.8609, device='cuda:0', grad_fn=<AddBackward0>)",89.82685351371765
29,29,22.88,"tensor(53.8119, device='cuda:0', grad_fn=<AddBackward0>)",89.72206163406372
30,30,23.39,"tensor(53.7568, device='cuda:0', grad_fn=<AddBackward0>)",89.61776757240295
31,31,24.12,"tensor(53.6846, device='cuda:0', grad_fn=<AddBackward0>)",89.51375579833984
32,32,24.82,"tensor(53.6259, device='cuda:0', grad_fn=<AddBackward0>)",89.41077160835266
33,33,25.48,"tensor(53.5748, device='cuda:0', grad_fn=<AddBackward0>)",89.30865526199341
34,34,26.21,"tensor(53.5115, device='cuda:0', grad_fn=<AddBackward0>)",89.20718550682068
35,35,26.67,"tensor(53.4514, device='cuda:0', grad_fn=<AddBackward0>)",89.10613441467285
36,36,27.22,"tensor(53.3972, device='cuda:0', grad_fn=<AddBackward0>)",89.00611567497253
37,37,27.93,"tensor(53.3286, device='cuda:0', grad_fn=<AddBackward0>)",88.90600156784058
38,38,28.48,"tensor(53.2825, device='cuda:0', grad_fn=<AddBackward0>)",88.80639505386353
39,39,28.98,"tensor(53.2239, device='cuda:0', grad_fn=<AddBackward0>)",88.70744299888611
40,40,29.5,"tensor(53.1625, device='cuda:0', grad_fn=<AddBackward0>)",88.60834836959839
41,41,29.93,"tensor(53.0882, device='cuda:0', grad_fn=<AddBackward0>)",88.51005935668945
42,42,30.43,"tensor(53.0462, device='cuda:0', grad_fn=<AddBackward0>)",88.41222524642944
43,43,30.74,"tensor(53.0001, device='cuda:0', grad_fn=<AddBackward0>)",88.3153018951416
44,44,31.06,"tensor(52.9224, device='cuda:0', grad_fn=<AddBackward0>)",88.2180233001709
45,45,31.35,"tensor(52.8850, device='cuda:0', grad_fn=<AddBackward0>)",88.12164855003357
46,46,31.63,"tensor(52.8300, device='cuda:0', grad_fn=<AddBackward0>)",88.0259120464325
47,47,31.84,"tensor(52.7689, device='cuda:0', grad_fn=<AddBackward0>)",87.93048763275146
48,48,32.23,"tensor(52.7208, device='cuda:0', grad_fn=<AddBackward0>)",87.83539509773254
49,49,32.38,"tensor(52.6425, device='cuda:0', grad_fn=<AddBackward0>)",87.74051308631897
50,50,32.64,"tensor(52.5958, device='cuda:0', grad_fn=<AddBackward0>)",87.64600491523743
51,51,32.93,"tensor(52.5492, device='cuda:0', grad_fn=<AddBackward0>)",87.55175757408142
52,52,33.17,"tensor(52.5001, device='cuda:0', grad_fn=<AddBackward0>)",87.45820474624634
53,53,33.37,"tensor(52.4408, device='cuda:0', grad_fn=<AddBackward0>)",87.36454010009766
54,54,33.66,"tensor(52.3915, device='cuda:0', grad_fn=<AddBackward0>)",87.27161741256714
55,55,33.87,"tensor(52.3269, device='cuda:0', grad_fn=<AddBackward0>)",87.17860698699951
56,56,34.1,"tensor(52.2956, device='cuda:0', grad_fn=<AddBackward0>)",87.08627653121948
57,57,34.25,"tensor(52.2132, device='cuda:0', grad_fn=<AddBackward0>)",86.99356865882874
58,58,34.63,"tensor(52.1597, device='cuda:0', grad_fn=<AddBackward0>)",86.9013159275055
59,59,34.86,"tensor(52.1280, device='cuda:0', grad_fn=<AddBackward0>)",86.80951452255249
60,60,35.09,"tensor(52.0789, device='cuda:0', grad_fn=<AddBackward0>)",86.71812415122986
61,61,35.37,"tensor(52.0073, device='cuda:0', grad_fn=<AddBackward0>)",86.62666964530945
62,62,35.59,"tensor(51.9606, device='cuda:0', grad_fn=<AddBackward0>)",86.53566312789917
