,epoch,test_accuracy,train_loss,test_loss
0,0,15.41,"tensor(539.6980, device='cuda:4', grad_fn=<AddBackward0>)",91.50083923339844
1,1,24.07,"tensor(535.8697, device='cuda:4', grad_fn=<AddBackward0>)",90.83054041862488
2,2,34.28,"tensor(532.0175, device='cuda:4', grad_fn=<AddBackward0>)",90.1420271396637
3,3,36.9,"tensor(527.9869, device='cuda:4', grad_fn=<AddBackward0>)",89.40858602523804
4,4,40.19,"tensor(523.6056, device='cuda:4', grad_fn=<AddBackward0>)",88.60167622566223
5,5,44.99,"tensor(518.7450, device='cuda:4', grad_fn=<AddBackward0>)",87.6935670375824
6,6,50.12,"tensor(513.2094, device='cuda:4', grad_fn=<AddBackward0>)",86.65851330757141
7,7,53.9,"tensor(506.9021, device='cuda:4', grad_fn=<AddBackward0>)",85.47929096221924
8,8,56.84,"tensor(499.7498, device='cuda:4', grad_fn=<AddBackward0>)",84.1545250415802
9,9,59.41,"tensor(491.7874, device='cuda:4', grad_fn=<AddBackward0>)",82.69987630844116
10,10,61.39,"tensor(483.1659, device='cuda:4', grad_fn=<AddBackward0>)",81.14883303642273
11,11,62.79,"tensor(474.0829, device='cuda:4', grad_fn=<AddBackward0>)",79.54460108280182
12,12,64.3,"tensor(464.8183, device='cuda:4', grad_fn=<AddBackward0>)",77.93038749694824
13,13,65.78,"tensor(455.5489, device='cuda:4', grad_fn=<AddBackward0>)",76.34339988231659
14,14,67.26,"tensor(446.5152, device='cuda:4', grad_fn=<AddBackward0>)",74.81277525424957
15,15,68.74,"tensor(437.8264, device='cuda:4', grad_fn=<AddBackward0>)",73.35722732543945
16,16,70.09,"tensor(429.5209, device='cuda:4', grad_fn=<AddBackward0>)",71.99508130550385
17,17,71.26,"tensor(421.7928, device='cuda:4', grad_fn=<AddBackward0>)",70.73039436340332
18,18,72.13,"tensor(414.6161, device='cuda:4', grad_fn=<AddBackward0>)",69.5674649477005
19,19,73.08,"tensor(408.0552, device='cuda:4', grad_fn=<AddBackward0>)",68.50190567970276
20,20,73.99,"tensor(401.9594, device='cuda:4', grad_fn=<AddBackward0>)",67.52425873279572
21,21,74.73,"tensor(396.4285, device='cuda:4', grad_fn=<AddBackward0>)",66.62650728225708
22,22,75.32,"tensor(391.2735, device='cuda:4', grad_fn=<AddBackward0>)",65.79434525966644
23,23,76.02,"tensor(386.5413, device='cuda:4', grad_fn=<AddBackward0>)",65.02346241474152
