,epoch,test_accuracy,train_loss,test_loss
0,0,43.83,"tensor(523.9360, device='cuda:4', grad_fn=<AddBackward0>)",87.0754759311676
1,1,56.49,"tensor(501.5239, device='cuda:4', grad_fn=<AddBackward0>)",83.25969696044922
2,2,65.95,"tensor(480.0060, device='cuda:4', grad_fn=<AddBackward0>)",79.57772600650787
3,3,71.05,"tensor(459.3861, device='cuda:4', grad_fn=<AddBackward0>)",76.12517857551575
4,4,74.95,"tensor(440.3257, device='cuda:4', grad_fn=<AddBackward0>)",73.00293850898743
5,5,76.65,"tensor(423.2698, device='cuda:4', grad_fn=<AddBackward0>)",70.26062607765198
6,6,78.45,"tensor(408.4106, device='cuda:4', grad_fn=<AddBackward0>)",67.89586663246155
7,7,79.52,"tensor(395.5860, device='cuda:4', grad_fn=<AddBackward0>)",65.87276542186737
8,8,80.36,"tensor(384.5722, device='cuda:4', grad_fn=<AddBackward0>)",64.14006733894348
9,9,80.98,"tensor(375.1230, device='cuda:4', grad_fn=<AddBackward0>)",62.64731991291046
10,10,81.53,"tensor(366.9779, device='cuda:4', grad_fn=<AddBackward0>)",61.34696793556213
11,11,81.93,"tensor(359.7680, device='cuda:4', grad_fn=<AddBackward0>)",60.20546579360962
12,12,82.37,"tensor(353.4225, device='cuda:4', grad_fn=<AddBackward0>)",59.18356239795685
13,13,82.79,"tensor(347.7181, device='cuda:4', grad_fn=<AddBackward0>)",58.26532971858978
14,14,83.28,"tensor(342.6163, device='cuda:4', grad_fn=<AddBackward0>)",57.432253241539
15,15,83.37,"tensor(337.9142, device='cuda:4', grad_fn=<AddBackward0>)",56.67027032375336
16,16,83.7,"tensor(333.6500, device='cuda:4', grad_fn=<AddBackward0>)",55.96836614608765
17,17,83.78,"tensor(329.7708, device='cuda:4', grad_fn=<AddBackward0>)",55.31898808479309
18,18,84.12,"tensor(326.0339, device='cuda:4', grad_fn=<AddBackward0>)",54.715672731399536
19,19,84.44,"tensor(322.6518, device='cuda:4', grad_fn=<AddBackward0>)",54.15060460567474
20,20,84.75,"tensor(319.4750, device='cuda:4', grad_fn=<AddBackward0>)",53.62546920776367
21,21,85.02,"tensor(316.4937, device='cuda:4', grad_fn=<AddBackward0>)",53.130950927734375
22,22,85.27,"tensor(313.6715, device='cuda:4', grad_fn=<AddBackward0>)",52.66436290740967
23,23,85.45,"tensor(311.0524, device='cuda:4', grad_fn=<AddBackward0>)",52.22984707355499
24,24,85.58,"tensor(308.6080, device='cuda:4', grad_fn=<AddBackward0>)",51.8142786026001
25,25,85.81,"tensor(306.1961, device='cuda:4', grad_fn=<AddBackward0>)",51.42293059825897
26,26,85.9,"tensor(303.9975, device='cuda:4', grad_fn=<AddBackward0>)",51.0548882484436
27,27,86.01,"tensor(301.8702, device='cuda:4', grad_fn=<AddBackward0>)",50.70479249954224
28,28,86.24,"tensor(299.8736, device='cuda:4', grad_fn=<AddBackward0>)",50.37513482570648
29,29,86.26,"tensor(298.0067, device='cuda:4', grad_fn=<AddBackward0>)",50.05702471733093
30,30,86.53,"tensor(296.1860, device='cuda:4', grad_fn=<AddBackward0>)",49.75996541976929
31,31,86.65,"tensor(294.5001, device='cuda:4', grad_fn=<AddBackward0>)",49.47307205200195
32,32,86.86,"tensor(292.8639, device='cuda:4', grad_fn=<AddBackward0>)",49.2001543045044
33,33,86.98,"tensor(291.3269, device='cuda:4', grad_fn=<AddBackward0>)",48.94369554519653
34,34,87.23,"tensor(289.8353, device='cuda:4', grad_fn=<AddBackward0>)",48.69766259193421
35,35,87.32,"tensor(288.4105, device='cuda:4', grad_fn=<AddBackward0>)",48.46092069149017
36,36,87.37,"tensor(287.0323, device='cuda:4', grad_fn=<AddBackward0>)",48.23364567756653
37,37,87.47,"tensor(285.7890, device='cuda:4', grad_fn=<AddBackward0>)",48.01865136623383
38,38,87.51,"tensor(284.4998, device='cuda:4', grad_fn=<AddBackward0>)",47.81282699108124
39,39,87.58,"tensor(283.2758, device='cuda:4', grad_fn=<AddBackward0>)",47.60937964916229
40,40,87.68,"tensor(282.1073, device='cuda:4', grad_fn=<AddBackward0>)",47.418808937072754
41,41,87.75,"tensor(281.0379, device='cuda:4', grad_fn=<AddBackward0>)",47.23077130317688
42,42,87.82,"tensor(279.9228, device='cuda:4', grad_fn=<AddBackward0>)",47.050986528396606
43,43,87.89,"tensor(278.9279, device='cuda:4', grad_fn=<AddBackward0>)",46.87970590591431
44,44,88.01,"tensor(277.9106, device='cuda:4', grad_fn=<AddBackward0>)",46.71476036310196
45,45,88.06,"tensor(276.9522, device='cuda:4', grad_fn=<AddBackward0>)",46.55530899763107
46,46,88.11,"tensor(275.9957, device='cuda:4', grad_fn=<AddBackward0>)",46.40310341119766
47,47,88.26,"tensor(275.0929, device='cuda:4', grad_fn=<AddBackward0>)",46.248332142829895
48,48,88.28,"tensor(274.2361, device='cuda:4', grad_fn=<AddBackward0>)",46.10538542270661
49,49,88.36,"tensor(273.3755, device='cuda:4', grad_fn=<AddBackward0>)",45.961770594120026
50,50,88.43,"tensor(272.5667, device='cuda:4', grad_fn=<AddBackward0>)",45.83130222558975
51,51,88.52,"tensor(271.7930, device='cuda:4', grad_fn=<AddBackward0>)",45.69071400165558
52,52,88.55,"tensor(270.9887, device='cuda:4', grad_fn=<AddBackward0>)",45.56272703409195
53,53,88.6,"tensor(270.2188, device='cuda:4', grad_fn=<AddBackward0>)",45.43805664777756
54,54,88.73,"tensor(269.4391, device='cuda:4', grad_fn=<AddBackward0>)",45.31511265039444
55,55,88.76,"tensor(268.8228, device='cuda:4', grad_fn=<AddBackward0>)",45.19590348005295
56,56,88.78,"tensor(268.0602, device='cuda:4', grad_fn=<AddBackward0>)",45.0775426030159
57,57,88.83,"tensor(267.4182, device='cuda:4', grad_fn=<AddBackward0>)",44.96713626384735
58,58,88.87,"tensor(266.7548, device='cuda:4', grad_fn=<AddBackward0>)",44.85530710220337
59,59,88.96,"tensor(266.0819, device='cuda:4', grad_fn=<AddBackward0>)",44.744456470012665
60,60,89.06,"tensor(265.3822, device='cuda:4', grad_fn=<AddBackward0>)",44.6392525434494
61,61,89.07,"tensor(264.7705, device='cuda:4', grad_fn=<AddBackward0>)",44.53604453802109
62,62,89.1,"tensor(264.1581, device='cuda:4', grad_fn=<AddBackward0>)",44.43660908937454
63,63,89.18,"tensor(263.5566, device='cuda:4', grad_fn=<AddBackward0>)",44.33490610122681
64,64,89.26,"tensor(263.0223, device='cuda:4', grad_fn=<AddBackward0>)",44.240142822265625
65,65,89.27,"tensor(262.4240, device='cuda:4', grad_fn=<AddBackward0>)",44.14730316400528
66,66,89.27,"tensor(261.9025, device='cuda:4', grad_fn=<AddBackward0>)",44.05883872509003
67,67,89.3,"tensor(261.3353, device='cuda:4', grad_fn=<AddBackward0>)",43.96700394153595
68,68,89.38,"tensor(260.8170, device='cuda:4', grad_fn=<AddBackward0>)",43.88144445419312
69,69,89.45,"tensor(260.2981, device='cuda:4', grad_fn=<AddBackward0>)",43.78626638650894
70,70,89.44,"tensor(259.8042, device='cuda:4', grad_fn=<AddBackward0>)",43.70662659406662
71,71,89.5,"tensor(259.2626, device='cuda:4', grad_fn=<AddBackward0>)",43.62399059534073
72,72,89.59,"tensor(258.8187, device='cuda:4', grad_fn=<AddBackward0>)",43.54127657413483
73,73,89.61,"tensor(258.3369, device='cuda:4', grad_fn=<AddBackward0>)",43.46765869855881
74,74,89.7,"tensor(257.8611, device='cuda:4', grad_fn=<AddBackward0>)",43.38466507196426
75,75,89.65,"tensor(257.4053, device='cuda:4', grad_fn=<AddBackward0>)",43.307753682136536
