,epoch,test_accuracy,train_loss,test_loss
0,0,30.56,"tensor(3239.6748, device='cuda:2', grad_fn=<AddBackward0>)",88.73613023757935
1,1,51.4,"tensor(3137.6218, device='cuda:2', grad_fn=<AddBackward0>)",85.07356095314026
2,2,61.26,"tensor(3040.2917, device='cuda:2', grad_fn=<AddBackward0>)",81.75499153137207
3,3,66.11,"tensor(2946.5649, device='cuda:2', grad_fn=<AddBackward0>)",78.75764954090118
4,4,68.81,"tensor(2856.3789, device='cuda:2', grad_fn=<AddBackward0>)",76.104523062706
5,5,70.65,"tensor(2769.7500, device='cuda:2', grad_fn=<AddBackward0>)",73.79822218418121
6,6,72.39,"tensor(2686.5037, device='cuda:2', grad_fn=<AddBackward0>)",71.82656383514404
7,7,73.31,"tensor(2606.4771, device='cuda:2', grad_fn=<AddBackward0>)",70.15562534332275
8,8,74.21,"tensor(2529.3572, device='cuda:2', grad_fn=<AddBackward0>)",68.74561047554016
9,9,75.22,"tensor(2454.9380, device='cuda:2', grad_fn=<AddBackward0>)",67.55121445655823
10,10,76.14,"tensor(2382.9756, device='cuda:2', grad_fn=<AddBackward0>)",66.53146409988403
11,11,76.95,"tensor(2313.1765, device='cuda:2', grad_fn=<AddBackward0>)",65.65285658836365
12,12,77.56,"tensor(2245.3877, device='cuda:2', grad_fn=<AddBackward0>)",64.88726341724396
13,13,77.76,"tensor(2179.4431, device='cuda:2', grad_fn=<AddBackward0>)",64.21820795536041
14,14,78.42,"tensor(2115.3203, device='cuda:2', grad_fn=<AddBackward0>)",63.62744843959808
15,15,78.9,"tensor(2052.7898, device='cuda:2', grad_fn=<AddBackward0>)",63.10155951976776
16,16,79.32,"tensor(1991.9332, device='cuda:2', grad_fn=<AddBackward0>)",62.63375437259674
17,17,79.69,"tensor(1932.6440, device='cuda:2', grad_fn=<AddBackward0>)",62.21956551074982
18,18,79.96,"tensor(1874.9426, device='cuda:2', grad_fn=<AddBackward0>)",61.84658908843994
19,19,80.28,"tensor(1818.8009, device='cuda:2', grad_fn=<AddBackward0>)",61.513664960861206
20,20,80.6,"tensor(1764.0747, device='cuda:2', grad_fn=<AddBackward0>)",61.215370178222656
21,21,80.93,"tensor(1710.8051, device='cuda:2', grad_fn=<AddBackward0>)",60.948649644851685
22,22,81.27,"tensor(1658.9904, device='cuda:2', grad_fn=<AddBackward0>)",60.71338653564453
23,23,81.56,"tensor(1608.6434, device='cuda:2', grad_fn=<AddBackward0>)",60.50515234470368
24,24,81.62,"tensor(1559.7244, device='cuda:2', grad_fn=<AddBackward0>)",60.321024656295776
25,25,81.83,"tensor(1512.2333, device='cuda:2', grad_fn=<AddBackward0>)",60.16144585609436
26,26,81.92,"tensor(1466.1548, device='cuda:2', grad_fn=<AddBackward0>)",60.02042543888092
27,27,81.91,"tensor(1421.4696, device='cuda:2', grad_fn=<AddBackward0>)",59.89963459968567
28,28,82.02,"tensor(1378.1909, device='cuda:2', grad_fn=<AddBackward0>)",59.80180978775024
29,29,82.13,"tensor(1336.3411, device='cuda:2', grad_fn=<AddBackward0>)",59.71919310092926
30,30,82.31,"tensor(1295.8728, device='cuda:2', grad_fn=<AddBackward0>)",59.65283226966858
31,31,82.38,"tensor(1256.7766, device='cuda:2', grad_fn=<AddBackward0>)",59.60286784172058
32,32,82.44,"tensor(1219.0846, device='cuda:2', grad_fn=<AddBackward0>)",59.56799042224884
33,33,82.59,"tensor(1182.7708, device='cuda:2', grad_fn=<AddBackward0>)",59.55009615421295
34,34,82.6,"tensor(1147.8936, device='cuda:2', grad_fn=<AddBackward0>)",59.54385006427765
35,35,82.54,"tensor(1114.3544, device='cuda:2', grad_fn=<AddBackward0>)",59.54927456378937
36,36,82.69,"tensor(1082.1295, device='cuda:2', grad_fn=<AddBackward0>)",59.56759679317474
