,epoch,test_accuracy,train_loss,test_loss
0,0,79.2,"tensor(440.3747, device='cuda:5', grad_fn=<AddBackward0>)",64.04187035560608
1,1,83.74,"tensor(355.6544, device='cuda:5', grad_fn=<AddBackward0>)",56.89636933803558
2,2,85.23,"tensor(327.6096, device='cuda:5', grad_fn=<AddBackward0>)",53.66646206378937
3,3,85.84,"tensor(312.8878, device='cuda:5', grad_fn=<AddBackward0>)",51.71617078781128
4,4,86.39,"tensor(303.3765, device='cuda:5', grad_fn=<AddBackward0>)",50.39891660213471
5,5,86.57,"tensor(296.5822, device='cuda:5', grad_fn=<AddBackward0>)",49.399651288986206
6,6,87.02,"tensor(291.4067, device='cuda:5', grad_fn=<AddBackward0>)",48.623549938201904
7,7,87.12,"tensor(287.3083, device='cuda:5', grad_fn=<AddBackward0>)",48.00364369153976
8,8,87.42,"tensor(283.8754, device='cuda:5', grad_fn=<AddBackward0>)",47.47387212514877
9,9,87.5,"tensor(280.9722, device='cuda:5', grad_fn=<AddBackward0>)",47.02265727519989
10,10,87.79,"tensor(278.4807, device='cuda:5', grad_fn=<AddBackward0>)",46.62645995616913
11,11,87.95,"tensor(276.3174, device='cuda:5', grad_fn=<AddBackward0>)",46.28106129169464
12,12,88.03,"tensor(274.3976, device='cuda:5', grad_fn=<AddBackward0>)",45.99151521921158
13,13,88.14,"tensor(272.6624, device='cuda:5', grad_fn=<AddBackward0>)",45.697847843170166
14,14,88.18,"tensor(271.0579, device='cuda:5', grad_fn=<AddBackward0>)",45.46124160289765
15,15,88.44,"tensor(269.6544, device='cuda:5', grad_fn=<AddBackward0>)",45.239783227443695
16,16,88.44,"tensor(268.3835, device='cuda:5', grad_fn=<AddBackward0>)",45.018234729766846
17,17,88.48,"tensor(267.2101, device='cuda:5', grad_fn=<AddBackward0>)",44.8425350189209
18,18,88.68,"tensor(266.1130, device='cuda:5', grad_fn=<AddBackward0>)",44.65582621097565
19,19,88.72,"tensor(265.1373, device='cuda:5', grad_fn=<AddBackward0>)",44.50393462181091
20,20,88.77,"tensor(264.1713, device='cuda:5', grad_fn=<AddBackward0>)",44.34309267997742
21,21,88.84,"tensor(263.2523, device='cuda:5', grad_fn=<AddBackward0>)",44.19647860527039
22,22,88.94,"tensor(262.3848, device='cuda:5', grad_fn=<AddBackward0>)",44.058845579624176
23,23,88.97,"tensor(261.6742, device='cuda:5', grad_fn=<AddBackward0>)",43.93443948030472
24,24,88.96,"tensor(260.9077, device='cuda:5', grad_fn=<AddBackward0>)",43.83755362033844
25,25,89.01,"tensor(260.1798, device='cuda:5', grad_fn=<AddBackward0>)",43.707941234111786
26,26,89.06,"tensor(259.5819, device='cuda:5', grad_fn=<AddBackward0>)",43.59679156541824
27,27,89.1,"tensor(258.9073, device='cuda:5', grad_fn=<AddBackward0>)",43.49625116586685
28,28,89.16,"tensor(258.3491, device='cuda:5', grad_fn=<AddBackward0>)",43.40749114751816
29,29,89.13,"tensor(257.7988, device='cuda:5', grad_fn=<AddBackward0>)",43.29797279834747
30,30,89.27,"tensor(257.2044, device='cuda:5', grad_fn=<AddBackward0>)",43.21366024017334
31,31,89.34,"tensor(256.7185, device='cuda:5', grad_fn=<AddBackward0>)",43.13968133926392
32,32,89.27,"tensor(256.1830, device='cuda:5', grad_fn=<AddBackward0>)",43.0451043844223
33,33,89.35,"tensor(255.7012, device='cuda:5', grad_fn=<AddBackward0>)",42.97125297784805
34,34,89.42,"tensor(255.2261, device='cuda:5', grad_fn=<AddBackward0>)",42.89854794740677
35,35,89.48,"tensor(254.8388, device='cuda:5', grad_fn=<AddBackward0>)",42.83821982145309
36,36,89.48,"tensor(254.3688, device='cuda:5', grad_fn=<AddBackward0>)",42.760159373283386
