,epoch,test_accuracy,train_loss,test_loss
0,0,86.88,"tensor(924.9867, device='cuda:3', grad_fn=<AddBackward0>)",47.938924074172974
1,1,88.17,"tensor(827.5865, device='cuda:3', grad_fn=<AddBackward0>)",46.11449480056763
2,2,88.83,"tensor(773.0029, device='cuda:3', grad_fn=<AddBackward0>)",45.34370994567871
3,3,89.0,"tensor(731.1246, device='cuda:3', grad_fn=<AddBackward0>)",45.21661895513535
4,4,88.48,"tensor(698.8019, device='cuda:3', grad_fn=<AddBackward0>)",45.32390975952149
5,5,88.76,"tensor(674.8488, device='cuda:3', grad_fn=<AddBackward0>)",45.58851152658463
6,6,88.42,"tensor(658.0759, device='cuda:3', grad_fn=<AddBackward0>)",45.54127639532089
7,7,88.37,"tensor(647.6277, device='cuda:3', grad_fn=<AddBackward0>)",45.71837592124939
8,8,88.36,"tensor(641.1490, device='cuda:3', grad_fn=<AddBackward0>)",45.79416370391846
9,9,88.53,"tensor(637.0566, device='cuda:3', grad_fn=<AddBackward0>)",45.92755430936813
10,10,88.11,"tensor(633.8872, device='cuda:3', grad_fn=<AddBackward0>)",45.8653815984726
11,11,88.13,"tensor(631.4172, device='cuda:3', grad_fn=<AddBackward0>)",45.88156354427338
12,12,88.34,"tensor(629.4127, device='cuda:3', grad_fn=<AddBackward0>)",45.87529134750366
13,13,88.32,"tensor(627.6165, device='cuda:3', grad_fn=<AddBackward0>)",45.83883309364319
14,14,87.73,"tensor(625.9814, device='cuda:3', grad_fn=<AddBackward0>)",45.88222521543503
15,15,88.09,"tensor(624.5000, device='cuda:3', grad_fn=<AddBackward0>)",45.85793840885162
16,16,88.08,"tensor(623.0749, device='cuda:3', grad_fn=<AddBackward0>)",45.74872815608978
17,17,88.1,"tensor(621.7779, device='cuda:3', grad_fn=<AddBackward0>)",45.69134587049484
18,18,88.11,"tensor(620.5679, device='cuda:3', grad_fn=<AddBackward0>)",45.72297263145447
19,19,88.29,"tensor(619.3560, device='cuda:3', grad_fn=<AddBackward0>)",45.70529568195343
20,20,88.05,"tensor(618.2128, device='cuda:3', grad_fn=<AddBackward0>)",45.83202850818634
21,21,87.8,"tensor(617.1664, device='cuda:3', grad_fn=<AddBackward0>)",45.63254743814469
22,22,88.37,"tensor(616.0020, device='cuda:3', grad_fn=<AddBackward0>)",45.67542678117752
23,23,87.89,"tensor(615.0239, device='cuda:3', grad_fn=<AddBackward0>)",45.574282228946686
24,24,88.36,"tensor(614.0495, device='cuda:3', grad_fn=<AddBackward0>)",45.66467881202698
25,25,88.01,"tensor(613.0386, device='cuda:3', grad_fn=<AddBackward0>)",45.58855885267258
26,26,88.31,"tensor(612.0751, device='cuda:3', grad_fn=<AddBackward0>)",45.529300570487976
27,27,88.32,"tensor(611.1488, device='cuda:3', grad_fn=<AddBackward0>)",45.62610852718353
28,28,88.0,"tensor(610.1979, device='cuda:3', grad_fn=<AddBackward0>)",45.52863919734955
29,29,88.35,"tensor(609.2852, device='cuda:3', grad_fn=<AddBackward0>)",45.54634255170822
30,30,88.39,"tensor(608.3143, device='cuda:3', grad_fn=<AddBackward0>)",45.51944798231125
31,31,88.48,"tensor(607.4695, device='cuda:3', grad_fn=<AddBackward0>)",45.50719177722931
32,32,88.34,"tensor(606.6144, device='cuda:3', grad_fn=<AddBackward0>)",45.56474685668945
33,33,88.12,"tensor(605.7130, device='cuda:3', grad_fn=<AddBackward0>)",45.496298134326935
34,34,88.46,"tensor(604.9115, device='cuda:3', grad_fn=<AddBackward0>)",45.49356347322464
35,35,87.83,"tensor(604.0286, device='cuda:3', grad_fn=<AddBackward0>)",45.52223879098892
36,36,88.0,"tensor(603.2189, device='cuda:3', grad_fn=<AddBackward0>)",45.4671196937561
37,37,88.29,"tensor(602.4199, device='cuda:3', grad_fn=<AddBackward0>)",45.45983427762985
38,38,88.37,"tensor(601.5806, device='cuda:3', grad_fn=<AddBackward0>)",45.49817758798599
39,39,88.36,"tensor(600.7812, device='cuda:3', grad_fn=<AddBackward0>)",45.41706085205078
